"family_name","copies","representative_path","size_kb","mechanism_keywords","uses_iCustom","rough_family","already_known"
"gator","6","D:\Forex\10_EA_PROJECTS\.Final EA\. MQL5\Indicators\Examples\Gator.mq5","10","iMA","n","trend","y"
"joboteacountmacd","4","D:\Forex\50_KNOWLEDGE\02_Courses\File\2. Course_AI_GEN\EA_For_AIGen_Video\08 - Count MACD\(Jobot) EA03 Count MACD.mq5","243.7","MACD","y","trend","n"
"colorline","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\ColorLine.mq5","5.1","iMA","n","trend","y"
"bulls","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Bulls.mq5","3.6","iMA","n","trend","y"
"forceindex","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Force_Index.mq5","3.8","iMA","n","trend","y"
"custommovingaverage","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Custom Moving Average.mq5","7.2","iMA","n","trend","y"
"dema","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\DEMA.mq5","2.9","iMA","n","trend","y"
"adxw","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\ADXW.mq5","6.7","ADX","n","trend","y"
"dpo","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\DPO.mq5","2.8","iMA","n","trend","y"
"osma","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\OsMA.mq5","5.1","iMA;MACD","n","trend","y"
"awesomeoscillator","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Awesome_Oscillator.mq5","4.5","iMA;AO/AC","n","trend","y"
"ama","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\AMA.mq5","4.9","iMA","n","trend","y"
"bears","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Bears.mq5","3.6","iMA","n","trend","y"
"parabolicsar","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\ParabolicSAR.mq5","6.9","SAR","n","trend","y"
"nseavpiprsi","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\NS_EA_V18_PIP_RSI.mq5","398.5","ATR;SAR","y","trend","y"
"tema","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\TEMA.mq5","3.2","iMA","n","trend","y"
"evotradebillionairetest","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Evotrade billionaire test 2.mq5","363","SAR","y","trend","y"
"accelerator","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Accelerator.mq5","5.2","iMA","n","trend","y"
"rhymemacdsnowball","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\(Rhyme) MACD Snow Ball .mq5","510.4","MACD","y","trend","y"
"peeradoubleenvtfcheckpiptrieabiglot","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Peera Double ENV  TF Check  PIP  8.7 Tri EA Big Lot.mq5","831.1","ADX","y","trend","y"
"downtherykeeplast","3","D:\Forex\10_EA_PROJECTS\1. review EA\wait_Fxdreema MT5\Down thery keeplast V1.0 (15) (1).mq5","1142.7","MACD;ATR","y","trend","y"
"alligator","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Alligator.mq5","5.9","iMA","n","trend","y"
"adx","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\ADX.mq5","5.5","ADX","n","trend","y"
"parabolicchannel","3","D:\Forex\10_EA_PROJECTS\.Final EA\. MQL5\Indicators\Free Indicators\Parabolic Channel.mq5","7.4","SAR","n","trend","y"
"joboteaparabolicsar","3","D:\Forex\50_KNOWLEDGE\02_Courses\File\1. Course_EA\! JOBOT Week\EA Week1\(Jobot) EA Parabolic Sar .mq5","480.9","SAR","n","trend","n"
"macd","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\MACD.mq5","4.8","iMA;MACD","n","trend","y"
"envelopes","3","D:\Forex\10_EA_PROJECTS\2. wait for test\2025-07  _all done\Indicators\Examples\Envelopes.mq5","4.2","iMA","n","trend","y"
