"token","name","realm","price","sym","tf","days","trades","pf","dd","ai"
"MZE0187","TRENDRA_SAR","TRENDRA","39599","XAUUSD","15","908","431","1.96","0.15605","96.2940138462304"
"UAG2579","SCALPION_BULLBEAR_POWER","SCALPION","39599","XAUUSD","60","420","646","1.88","0.18014","95.7865973093464"
"BVG6419","HEDGATRON_AD","HEDGATRON","39599","XAUUSD","60","313","311","1.69","0.2373","94.3304804514562"
"CRC4394","SCALPION_ATR","SCALPION","39599","XAUUSD","15","313","741","1.38","0.34446","92.3761532816227"
"VIY3893","1-17-2 BB RSI Log Lot Indy DualStar mq5","Others","19599","EURUSD","60","263","514","2.19","0.20593","92.1615233061005"
"HBW3915","4.3.4-ICHIMOKU+ADX Log ATR Tower Master","Others","19599","EURUSD","60","263","340","2.92","0.24887","91.5286534816385"
"JSN4768","1-13-35 BB RSI X Pyramid Adaptive Trail mq5","Others","19599","GBPUSD","60","242","468","2.95","0.23046","90.6871728148246"
"VED7323","11-1-8 Alligator+AO x ATR Guard mq5","Others","19599","EURUSD","60","263","406","2.9","0.2664","90.6367152774111"
"VMU7648","MARTINGATE_ADX","MARTINGATE",,"XAUUSD","5","279","250","2.53","0.3406","90.3342503047334"
"ESQ1004","1-13-17 BB RSI X Pyramid All Perfect mq5","Others","19599","GBPUSD","60","242","446","2.89","0.25374","90.2008629092002"
"CCN6903","11-1-14 Alligator+AO x ATR BB Master mq5","Others","19599","EURUSD","60","263","269","2.57","0.31064","89.8411015268373"
"CSY9216","1-14-16 BB RSI X After Profit BS Multi Close mq5","Others","19599","GBPUSD","60","242","364","2.99","0.16732","87.910758658729"
"QLS2393","4.2.9-ICHIMOKU+ADX Plus ATR BE Combine","Others","19599","EURUSD","60","263","624","2.07","0.30557","87.3543523660085"
"ITM1788","1-14-35 BB RSI X After Profit Adaptive Trail mq5","Others","19599","GBPUSD","60","242","504","2.42","0.34822","87.1778662228077"
"MTP7402","1-14-1 BB RSI X After Profit Engulfing Pro mq5","Others","19599","EURUSD","60","242","738","2.26","0.31171","86.890795379591"
"EBM3342","4.2.17-ICHIMOKU+ADX Plus ATR All Perfect","Others","19599","USDJPY","60","263","393","2.2","0.26714","86.8078138363196"
"DYH6407","1-13-16 BB RSI X Pyramid BS Multi Close mq5","Others","19599","GBPUSD","60","242","424","2.58","0.25671","86.444402549452"
"THN0047","MARTINGATE_ATR","MARTINGATE",,"XAUUSD","60","172","859","2.53","0.20396","86.1180168867436"
"CJC9616","11-1-33 Alligator+AO x ATR PercentTrail mq5","Others","19599","EURUSD","60","263","344","2.82","0.18192","86.1050227594244"
"SNJ4313","3-13-1 STO+SAR X Pyramid Engulfing Pro mq5","","19599","USDJPY","60","378","402","1.56","0.16142","84.4718682435394"
"BES6736","1-21-34 BB RSI Log Pyramid Trail Harmony mq5","Others","19599","XAUUSD","15","24","482","2.49","0.07541","83.8335736853282"
"VYH4707","TRENDRA_ALLIGATOR","TRENDRA","19599","XAUUSD","60","151","371","1.62","0.14324","83.4822761482429"
"FSJ9548","HEDGATRON_AO","HEDGATRON","39599","XAUUSD","60","274","200","1.83","0.07991","83.1476754826223"
"NQI3757","1-22-18 BB RSI Plus Pyramid LossControl mq5","Others","19599","XAUUSD","15","24","487","2.51","0.12465","82.9382592802083"
"YMU7240","1-16-29 BB RSI Fractional ATR Range Guard mq5","Others","19599","XAUUSD","15","24","727","2.09","0.17812","81.7868243189614"
"HNJ2704","1-18-8 BB RSI Multi Lot Indy ATR Guard mq5","Others","19599","GBPUSD","60","242","448","2.62","0.1867","81.7787653791755"
"BZZ7515","1-22-34 BB RSI Plus Pyramid Trail Harmony mq5","Others","19599","XAUUSD","15","24","541","2.54","0.18047","81.73805010866"
"COJ0517","11-13-4 Alligator+AO X Pyramid Tower Master mq5","Others","19599","EURUSD","60","263","318","2.83","0.17311","81.1840453028627"
"JUI0116","11-5-8 Alligator+AO Lot Fix ATR Guard mq5","Others","19599","EURUSD","60","263","394","2.6","0.25151","81.180918229454"
"HKT3596","3-13-3 STO+SAR X Pyramid Doji Master mq5","Others","19599","USDJPY","60","263","290","2.54","0.08676","80.8437609068181"
"AOP0511","11-1-1 Alligator+AO x ATR Engulfing Pro mq5","Others","19599","GBPJPY","60","262","196","2.68","0.14616","79.6273731544507"
"GVM4252","1-22-33 BB RSI Plus Pyramid PercentTrail mq5","Others","19599","XAUUSD","15","24","309","2.12","0.14827","79.015260705921"
"DTO5477","1-1-13 BB RSI x ATR Time Master mq5","Others","19599","XAUUSD","15","24","416","1.31","0.28845","78.8144707711157"
"LXT9377","11-4-35 Alligator+AO FIX Adaptive Trail mq5","Others","19599","EURUSD","60","263","285","2.85","0.30401","78.806582451566"
"UWJ0210","1-14-22 BB RSI X After Profit Flex Trail mq5","Others","19599","GBPUSD","60","242","533","2.58","0.19657","78.7507257124162"
"TSN8124","4.1.31-Martingale TP Grouping for Buy and Sell.mq4","Others","19599","AUDUSD","60","259","384","2.88","0.32157","77.369982961871"
"MJH7198","1-18-2 BB RSI Multi Lot Indy DualStar mq5","Others","19599","GBPUSD","60","242","424","2.06","0.24131","77.1454423575102"
"WOK2041","1-18-1 BB RSI Multi Lot Indy Engulfing Pro mq5","Others","19599","EURGBP","60","242","421","1.94","0.2739","77.030381379545"
"WDL1141","1-18-34 BB RSI Multi Lot Indy Trail Harmony mq5","Others","19599","XAUUSD","15","24","270","2.82","0.05025","76.6528003194328"
"EXJ9087","TRENDRA_ENV","TRENDRA","39599","XAUUSD","60","363","575","1.57","0.23259","76.3306739204782"
"BWN2616","4.3.6-ICHIMOKU+ADX Log ATR Inverse Trigger","Others","19599","GBPUSD","60","263","363","2.31","0.24305","74.5856503621928"
"CFB4404","11-13-20 Alligator+AO X Pyramid DynamicClose mq5","Others","19599","EURUSD","60","263","237","2.67","0.13926","74.3848996502032"
"MFH6784","1-13-33 BB RSI X Pyramid PercentTrail mq5","Others","19599","XAUUSD","15","24","214","1.68","0.18953","73.8119374475143"
"KTT3264","11-5-9 Alligator+AO Lot Fix BE Combine mq5","Others","19599","EURUSD","60","263","324","2.76","0.17749","73.7862745551595"
"PVG4772","11-18-18 Alligator+AO Multi Lot Indy LossControl mq5","Others","19599","EURUSD","60","263","300","2.82","0.08808","73.7766320261276"
"AZJ4993","1-17-3 BB RSI Log Lot Indy Doji Master mq5","Others","19599","EURUSD","60","263","548","1.84","0.14113","73.6563374385683"
"ZZZ3668","1-14-21 BB RSI X After Profit Trend Split Pro mq5","Others","19599","GBPUSD","60","242","380","2.41","0.19116","73.5255023710262"
"WHF5676","4.2.20-ICHIMOKU+ADX Plus ATR DynamicClose","Others","19599","EURUSD","60","263","427","2.77","0.15632","73.2849977694101"
"ZLE6821","1-17-33 BB RSI Log Lot Indy PercentTrail mq5","Others","19599","AUDUSD","60","263","520","2.34","0.26025","73.1696024826977"
"JFL9090","11-13-19 Alligator+AO X Pyramid DualGuard mq5","Others","19599","EURUSD","60","263","261","2.54","0.1716","72.299372109853"
"VRH0284","11-18-19 Alligator+AO Multi Lot Indy DualGuard mq5","Others","19599","EURUSD","60","263","226","2.6","0.1035","72.26812682079"
"EAU5747","1-13-1 BB RSI X Pyramid Engulfing Pro mq5","Others","19599","EURGBP","60","242","399","2.38","0.13218","71.7730557790049"
"VYW8348","4.2.19-ICHIMOKU+ADX Plus ATR DualGuard","Others","19599","EURUSD","60","263","578","2.11","0.3276","71.5944803707735"
"RJG2766","1-18-7 BB RSI Multi Lot Indy MACD Master mq5","Others","19599","EURGBP","60","242","415","2.49","0.14479","70.2546161970344"
"WFW3096","11-13-2 Alligator+AO X Pyramid DualStar mq5","Others","19599","EURUSD","60","263","205","2.15","0.24931","69.4707459040569"
"LAL0213","4.2.8-ICHIMOKU+ADX Plus ATR ATR Guard","Others","19599","EURUSD","60","263","589","2.03","0.33665","68.7530664022596"
"SVM4880","1-17-18 BB RSI Log Lot Indy LossControl mq5","Others","19599","EURUSD","60","263","380","2.23","0.34251","67.6431696490808"
"CHP4678","3-14-14 STO+SAR X After Profit BB Master mq5","Others","19599","XAUUSD","60","309","303","1.57","0.29026","67.6196377722961"
"PQM9826","1-18-17 BB RSI Multi Lot Indy All Perfect mq5","Others","19599","GBPUSD","60","242","353","2.42","0.14915","67.5939560296117"
"OLI6094","4.2.26-ICHIMOKU+ADX Plus ATR MoneyWise Trail","Others","19599","USDJPY","60","263","260","1.83","0.21924","67.0869683695783"
"XVX5452","11-18-2 Alligator+AO Multi Lot Indy DualStar mq5","Others","19599","EURUSD","60","263","216","1.85","0.26193","67.0289810778951"
