platform,hash,path,guess_symbol,guess_type
ex5,76457d2014ea0cf99d49dea15a38cf2e,(OH) EA\(OH) 2way EA v05G.ex5,basket,unknown-ea
ex5,561f841f372811bd0244fda43f1b3ee3,(OH) EA\(Oh) Arbitrage Super Profit V04.ex5,basket,unknown-ea
ex5,e715d33f9d5dbd27416a29396bab07e1,(OH) EA\(Oh) CCI Currencies Strength ATR  Ranking Nearby  V09.ex5,basket,unknown-ea
ex5,78d2d1e6f21781aec512f2568081309e,(OH) EA\(oh) continue v06.ex5,basket,unknown-ea
ex5,d700112a0f8139746fc25040d40f5268,(OH) EA\(Oh) Elliott Wave 14 Correction Price Action v01.ex5,basket,unknown-ea
ex5,cc8296305e724e9b4123bc57a075acbe,(OH) EA\(oh) fibo gold v06.ex5,XAUUSD,unknown-ea
ex5,ed9e675bf5cee47710c4f2c87bfbe998,(OH) EA\(oh) Grid Lot Full Hedging Snowball EA .ex5,basket,grid-recovery
ex5,bec999339ffd490cac70cda803461569,(OH) EA\(Oh) Grid Upper lower V23.ex5,basket,grid-recovery
ex5,882ea5da0665dbdcfad5c92f3f9fcfae,(OH) EA\(oh) grid v04A.ex5,basket,grid-recovery
ex5,94a082a1754e256fcbd885cb45c85327,(OH) EA\(oh) grid v05.ex5,basket,grid-recovery
ex5,ca6a311dbb438f270f1b4c04f9fd0332,(OH) EA\(OH) Grid Lot Dif Hedging EA V04.ex5,basket,grid-recovery
ex5,e9b61ee75a442c8bdef9d6b620f98727,(OH) EA\(oh) Master GRID ATR Accumulative Deduction -B V23.ex5,basket,grid-recovery
ex5,ff2493c47d78a659aeadd46afcf8a366,(OH) EA\(oh) pun fix lot v05.ex5,basket,unknown-ea
ex5,14fb5e1cae4585ab8cc7477abbdaadf2,(OH) EA\(oh) pun lot hedging v15.ex5,basket,grid-recovery
ex5,2aebacc6fb9f56824f7c2547d64a4f98,(OH) EA\(oh) TP Revenge v06.ex5,basket,unknown-ea
ex5,270d677d2d7e218bf66a1d4e6473dbcd,(OH) EA\(Oh) ZZ EA V05A.ex5,basket,unknown-ea
ex5,cda93fd159731455b70af6e924ba64e1,(OH) EA\(Oh) ZZ EA V05B.ex5,basket,unknown-ea
ex5,2a32c823002a869158dc05b759a252a4,(OH) EA\(oh)  Bot V00.ex5,basket,unknown-ea
ex5,cffb6edee0892c13bf9fd0e5815dc9d1,(OH) EA\(oh)  Partial Arbitage add on lossing V04.ex5,basket,unknown-ea
ex5,1b38ce9da7a4cd45de5bd6f15d94cca6,(OH) EA\(OH) Price Action - Trend Line -Fibo -Martingale  V20.ex5,basket,grid-recovery
ex5,ead43265d6d374c68465b485bacf12d2,(OH) EA\(OH) Recovery Hedging System with SL V05.ex5,basket,grid-recovery
ex4,d82528c9a4d21cbe7d178c50ca460029,.EA OK\Broker Killer V2.2 by @SoftechFX_Robot\EA\Broker Killer v 2 .2 by @SoftechFX_Robot.ex4,basket,unknown-ea
ex4,2bdb2e814a3e6a207b636ee28c546192,.EA OK\BuRengNong201_FiniteLaser8.ex4,basket,unknown-ea
ex4,f01ac43903557d4c1b76aa48def39c7b,.EA OK\ClevrFX\ClevrFX_EA.ex4,basket,unknown-ea
ex4,df32053d28c1f31e074f6d58cee44349,.EA OK\CODE EA0608 EA_FLy_HiGhEr\EA\EA_FLy_HiGhEr.ex4,basket,unknown-ea
ex4,d0457840907e6fcca107f7bbacfb0fc4,.EA OK\EA_Golden_Elephant\EA_Golden_Elephant.ex4,XAUUSD,unknown-ea
ex4,78d9dc7f9e1f00bf81d87c0b5b7e88c3,.EA OK\eu95.ex4,basket,unknown-ea
ex4,2cb5ba92a7ccc1d35e4e1fbe378808cb,.EA OK\Forex Hacked Pro.ex4,basket,unknown-ea
