"id","port_number","ea_token","bt_time","time_frame","symbols","platform","days","bal_start","bal_end","profit_percent","profit_factor","expected_payoff","max_dd","trades","profit_trades","loss_trades","new_total_ai","new_a_val","new_b_val","new_c_val","new_d_val","new_e_val","total_ai","equity_dd_percent","balance_dd_percent"
"769394","365605","RSA6736","2026-06-15T12:37:57","15","XAUUSD","MT5","375","10000","123270.87","1132.71","8.54","189.47","0.0396","598","413","185","98.9864793180713","20","20","18.9864793180713","20","20","1.1923","4.01","3.23"
"767166","415630425","OAE8974","2026-06-10T21:51:10","15","XAUUSDm5y7jun69","MT5","422","40000","161215.6","303.04","12.54","142.12","0.0455","853","673","180","98.8399359221977","20","20","18.8399359221977","20","20","0.37433","3.86","1.01"
"771131","100007578","ZAO4785","2026-07-07T21:35:38","15","GBF.USGOLD","MT5","313","1000000","2766973.95","176.7","2.6","19236.2","0.136","90","51","39","96.414282553914","20","19.685534591195","16.7287479627191","20","20","0.23929","12.94","10.74"
"699605","100006219","MZE0187","2026-02-23T12:51:07","15","XAUUSD","MT5","908","100000","412641.82","306.22","1.96","727.69","0.15605","431","169","262","96.2940138462304","20","20","16.2940138462304","20","20","0.36963","14.61","12.46"
"770978","100007578","ZAE8990","2026-07-04T18:27:52","15","GBF.USGOLD","MT5","313","1000000","2446695.71","170.9","1.16","1238.8","0.15708","1350","488","862","95.8890502307533","19.9315271054409","19.685534591195","16.2719885341174","20","20","0.2317","15.71","19.07"
"757627","415630425","UAG2579","2026-05-16T07:42:23","60","XAUUSDm5y7jun69","MT5","420","40000","110568.92","179.3","1.88","107.34","0.18014","646","314","332","95.7865973093464","20","20","15.7865973093464","20","20","0.24553","18.01","12.39"
"771891","100007578","CLK0679","2026-07-08T17:32:48","15","GBF.USGOLD","MT5","313","1000000","2917234.39","221.01","1.19","1175.61","0.16974","1911","365","1546","95.6892230829255","20","19.685534591195","16.0036884917306","20","20","0.2726","14.45","22.76"
"770759","100007578","ARX7651","2026-07-04T09:58:47","15","GBF.USGOLD","MT5","313","1000000","2893732.7","189.37","1.31","1570.67","0.18263","1186","498","688","95.4205937197355","20","19.685534591195","15.7350591285405","20","20","0.24409","18.26","17.63"
"394946","200392475","BPF5786","2025-06-13T20:15:24","5","EURUSDm","MT5","450","1000","2843.04","184.3","28.37","6.4","0.21824","288","248","40","95.0161464512585","20","20","15.0161464512586","20","20","Infinity","11.25","1.24"
"772185","100007578","DKF0647","2026-07-09T13:22:19","15","GBF.USGOLD","MT5","313","1000000","2829223.63","216.26","1.24","2749.65","0.20654","815","340","475","94.9341880309753","20","19.685534591195","15.2486534397804","20","20","0.26319","17.77","21.82"
