duration_sec,duration_hms,video_id,title
2487,00:41:27,I94GSiBXOHg,"?   Volume "
1580,00:26:20,2xlDHGLowC4,"  Static vs Dynamic Overlays "
281,00:04:41,6ly7-_QV3xQ,"  sma20,50 """"  C  sma 20  sma20  sma 50"
739,00:12:19,6Eie-WprEbM," ipo  25   SET index ?"
1172,00:19:32,FT_hHkBuhEE,"  RSI  70   RSI  30"
1030,00:17:10,JOaBuUpCv64," Sell in May and Go Away 2026"
1285,00:21:25,eAA7DOqjoc4,"Ep.12    RSI   30 ,   RSI   70"
1063,00:17:43,T8zTR-xWoCI,"SET index  sma200  "
800,00:13:20,-k7S5Jcnl_8,"  MAI  Market Breadth  MAI  "
1518,00:25:18,N2FQzP_jbVU,"Ep.11 sma ema tma "
2048,00:34:08,KRmgtfh2tl0," market filter   SET index  sma 20, 50 , 90, 200"
303,00:05:03,e0LKCNOxZEk,"     price momentum blueprint"
1365,00:22:45,OTJVGdy1fc4,"Ep.10 :  sma 20, sma 50  """" "
1422,00:23:42,YJmXmIBugdA,"Ep9.  Bollinger Bands  2"
1183,00:19:43,dcndVNgiy6Y,"  Bollinger Bands"
1247,00:20:47,WbyRNf8lrfU,"backtest    50  200  sma50 200. [Ep.7]"
279,00:04:39,VR9O0oDYioc,"26 February AD 2026"
1512,00:25:12,qeT7wFccq3o,"Ep.6    20  50  "
1245,00:20:45,JLN3oWfxyLQ,"   50  SMA 50 days. Mini Backtesting Project Ep.4"
1320,00:22:00,M-7kEZyM8Ag,""" sma200  +      "
1393,00:23:13,FoggJ3rDM10,"    250  (HHV250)"
1675,00:27:55,AltJ1iXpTCw,"  HHV55,LLV20 & HHV55, LLV20 [ bull bear and monkey ] ep2"
1438,00:23:58,7TfeMCVz1eI,"  ""Stream : Multi Asset Rotation Trend Following"""
1602,00:26:42,SsB8y2FA-Fo,"bull bear monkey ep1   HHV20"
282,00:04:42,J9vxT8ts37k,"Pain Threshold   trader mindset mini podcast ep.6"
285,00:04:45,x740jdBI8KY,"   - Trader mindset podcast Ep.5 "
359,00:05:59,7ZqbK8mPh_M,"15 �69  set index  market breadth, ichimoku multi time frame "
244,00:04:04,sS-4OdqUXQk,"  - trader mindset podcast Ep.1 "
923,00:15:23,XDp4tysL7CI,"Market Breadth   sideway  SET index "
663,00:11:03,907UcxzM5Ok,"Ep.14  Pivot + MACD Histogram + SlowSto.  Trend Following "
1422,00:23:42,YCmBm-KYyK0,"Ep.13 Pivot & Oscillators [Supapong's Momentum Talk Ep.13]"
1449,00:24:09,sqx9WayvZqU,"Ep.12  3/10 Oscillator    +  [SMT Ep.12]"
1785,00:29:45,5ESn7k9f8Z8,"Ep.11    ema 20, ema50"
1388,00:23:08,1NuvmPhQQfA,"Ep.10  RSI (21)  Divergence"
1613,00:26:53,ghvcCFI7Vx8,"Ep.9 High-Tight Flag Breakout [Momentum Talk Ep.9]"
1083,00:18:03,SzIiroWqRBg,"Ep.8  TTM Squeeze  John F. Carter   ABL Trading Research"
734,00:12:14,loqT9iNlifw,"Real Case Study  SET index   ""Price Momentum Blueprint"" "
1800,00:30:00,PyHjrrpiJgQ,"Ep.3  : �Range Expansion Breakout(REB)�  Brian Lund. Shuhari Trader Ep.3"
1168,00:19:28,vveV0km5cN0,"Ep2 Rule Based Trend Following"
1023,00:17:03,gTXLO3ISPec,"Ep.1   ""SMA 10 Months""  Mark Faber"
1104,00:18:24,Lac0JGbwArI,"Momentum Talk Ep.2 : 4+1   DR"
1565,00:26:05,aEkMfz8EWoM,"Ep4 Multi Timeframe Analysis + Vwap by Pro Trader Tools & Mindset + Brian Shannon"
1883,00:31:23,VIeFZ4y4uyQ,"Ep3  Pro Trader Mindset ""Peter Brandt"""
1029,00:17:09,7DjMM0Hbh4s,"Ep16  percent premium"
911,00:15:11,e4ZvlI3-6Og,"Ep 15 Climax Top and Sideway of Death"
1409,00:23:29,_gEFJOFKuLc,"momentum talk Ep 1 gap and MKB confirmation"
1396,00:23:16,-C0ILY_7WhM,"Ep 19 Cup with handle & Inverted Cup with handle"
1206,00:20:06,e-yO7LWB7Yg,"Ep18  Watchlist DR    [2  tradingview]"
1193,00:19:53,Sl5S-hReh1o,"Ep.17 : DR   watchlist  DR  [ 1]"
1029,00:17:09,7PegEjWihF0,"Ep16 percent premium"
911,00:15:11,TJlK3bnh060,"Ep 15 Climax Top and Sideway of Death"
