duration_sec,duration_hms,video_id,title
579,00:09:39,Ay2HObxoENg,"ELLIOTTWAVE101 EP.8 Diagonal Triangle ()"
495,00:08:15,F2M9HfUWEnQ,"ELLIOTTWAVE101 EP.7 Contracting Triangle"
1407,00:23:27,iK9l5HRtfAs,"ELLIOTTWAVE101 EP.6 Correction Flat ()"
1115,00:18:35,6VldXjaFqwY,"ELLIOTTWAVE101 EP.5 Correction Zigzag ()"
823,00:13:43,VXPY2PkPYJg,"ELLIOTTWAVE101 : EP4. Extension Rule ()"
1588,00:26:28,gWsNVxu6KRU,"ELLIOTTWAVE101 : EP3. Trending Impulse Wave"
561,00:09:21,N1K99WMyDCU,"ELLIOTT WAVE101 : EP2. Elliott Wave Structure"
583,00:09:43,DMWe9E280eo,"ELLIOTTWAVE101 : EP1. Introduction to Elliott Wave Theory"
477,00:07:57,KMLuT-lx18M,"BASIC101 : EP.10 QMC"
719,00:11:59,iFNMHsPBTak,"BASIC101 : EP.9 QMR"
512,00:08:32,To8wI7VellQ,"BASIC101 : EP.8 EMA"
534,00:08:54,hLkB-cgreGA,"BASIC101 : EP.7 LQ(LIQUIDITY)"
1281,00:21:21,dY-S4l3HYpo,"BASIC101 : EP.6 BACKTEST ORDERBLOCK"
530,00:08:50,HnaUZppkIJ0,"BASIC101 : EP.5 ORDERBLOCK"
660,00:11:00,42MGNXSolqs,"BASIC101 : EP.4 POI OF INTEREST"
1222,00:20:22,RNs1hcmQRqY,"BASIC101 : EP3. Fibonacci Extension"
1111,00:18:31,oRZcVRPxJcc,"BASIC101 : EP.2 Fibonacci Retracement"
693,00:11:33,vcmKo5Mldnk,"BASIC101 : EP.1 Fibonacci Retracement & Fibonacci Extension"
272,00:04:32,kIt6eayTarI,""
662,00:11:02,KmPrwJ88rlM,"POI & Fibonacci"
577,00:09:37,jgp505Ju-18,"Weekly Update EW XAUUSD : Mr.Adisorn FX Trader"
362,00:06:02,AUZvNApj12M,"Elliott Wave x SMC"
592,00:09:52,S57IMNzfpmA,"SK System EP.6 Risk management"
479,00:07:59,YhnqS1cEFWg,"QM 101 EP.2 QMC"
602,00:10:02,HAnolumkdOA,"QM 101 EP.1 QMR"
395,00:06:35,hdnJ6BspGFQ,"SMC 101 EP.3 Fair Value Gap(FVG)"
536,00:08:56,jyO5s-QJM0U,"SMC 101 EP.2 Liquidity"
301,00:05:01,LuHtuTLmav0," Elliott Wave"
556,00:09:16,poVjNYueM9g,"Weekly Update btcusd 7/7/2567"
573,00:09:33,IxoEjIZxduc,"Weekly Update XAUUSD"
532,00:08:52,V93esG84AB4,"SMC 101 EP.1 Orderblock"
136,00:02:16,b4NiQMAOpCA,"SK system 101 EP5 SK x SMC"
590,00:09:50,8CyxhEokykw,"SK SYSTEM EP4 CHoCH-BOS"
366,00:06:06,HyI48OcjDcU,"SK SYSTEM 101 EP3 Market Structure"
593,00:09:53,hp8GcAX6K1I,"SK SYSTEM101 EP2 Market Structure"
1588,00:26:28,D0aAp3mXLLo,"Elliott Wave EP1 Trending Impulse Wave"
