duration_sec,duration_hms,video_id,title
1728,00:28:48,6zCpxOkk97Q,"AI Agent + Bayesian Optimization: Automating Dynamic Grid Trading Hyperparameters"
2292,00:38:12,ox6GHbBseKw,"From Backtest to Verdict: AI Agents Evaluate a Bitcoin Dynamic Grid Trading System"
1900,00:31:40,vM1B_ekRycg,"Introduction to Dynamic Grid Trading Strategy"
2283,00:38:03,rqYFRQQ9oqk," Global Macrooeconomic"
1553,00:25:53,Lt8aUPqtm8o," Global Macrooeconomic"
1616,00:26:56,OytXNomxIvQ,"AI Agent  Robot Trading ! "
4154,01:09:14,troOe-XBfb0,"(Big Debt Crisis)"
527,00:08:47,vEu8M2K3UHc," MQL5 Robot Trading  AI Agent"
3319,00:55:19,mVuueK3VYeU," Deleveraging"
1246,00:20:46,GElQV3i0-oE,"(Quant Trading System)  AI Agent"
3380,00:56:20,9u_YmHLNyhM,"AI Agent (Quant Trading System)"
1665,00:27:45,BKdmay6iIc4,"The Financial & Economic Force: "
2204,00:36:44,Z8Vdm-ury3M,"The Economic Machine | "
898,00:14:58,Gsr-bFetR2k,"Bitcoin Market Update 09-06-2026"
1151,00:19:11,AZdeiHiSg6Y," Antigravity 2.0"
467,00:07:47,Am7l0QIwgpM,"Learn Anything Faster With AI |  Claude Code and Obsidian"
495,00:08:15,aSNpeQQ2G4g,"Adaptive Leverage Strategy : Leverage "
446,00:07:26,Mt7je1_s8Zk,"Risk Management:  Leverage "
319,00:05:19,jsQxSJlyVaE,"Risk Management |  Leverage"
1330,00:22:10,f8_v6Ct6WA0,"I Built an AI Investment Council with Gemini 3.0 :  AI Agen "
366,00:06:06,FvLta_qjStc," "
1639,00:27:19,M-W5q0gMiZs," Manus Agent Skill"
1789,00:29:49,pAyWhmk1_hw,"Agentic Workflow for FX Market Analysis"
1184,00:19:44,_F9DXAbOiB8,"Secure f Money Management | "
1673,00:27:53,lQI_L0hvUZE,"Optimal f Money Management | "
1761,00:29:21,_sVfl8OWQJU,"Kelly Criterion Position Sizing | "
826,00:13:46,63f9e0O8vdQ,"Fixed fractional Position Sizing | "
779,00:12:59,O7pX0hiKe5A,"Fixed Percent Position Sizing | "
968,00:16:08,QAkscMlthn0,"5 Minute Paper: Trade Sizing Techniques for Drawdown and Tail Risk Control"
835,00:13:55,oyLn1MF2u_w,"5 Minute Paper: The Retail FX Trader: Rising Above Random"
905,00:15:05,9vcegTzwYsE," All Weather Strategies "
633,00:10:33,Durdkk66sOs," Non-Zero-Sum Game"
784,00:13:04,DaxHs7ea_Ks,"Currency Market Update : "
797,00:13:17,FmF7_e0Wxuw," Grok AI"
2089,00:34:49,Vbzd8ay6Uwc,"Treat It Like a Game | "
777,00:12:57,xY7Zwy61EZs," Volume Price Analysis"
475,00:07:55,3NYcqmkAiis," John Arnold (The King of Natural Gas)"
1433,00:23:53,Vq4uXyCLCqM,"Fixed Dollar Position Sizing Strategy | "
507,00:08:27,wNw7_8tKhgc,"Fixed Value Position Sizing Strategy | "
1223,00:20:23,t_4aTfDULxE," | Position Sizing Strategy"
767,00:12:47,ve80biLPvnQ," "
755,00:12:35,0zxacDItN_I," Python for Finance and Algorithmic trading"
1268,00:21:08,yLx5DGR0J0o,"Introduction to Money Mangement | "
1213,00:20:13,4_N8pCx0WuA,"Capital Mangement & Equity Model"
1009,00:16:49,Cs3ZqTO2gls," Volatility-Based Technical Analysis"
870,00:14:30,943vMYiw5Yg," Generative AI for Trading & Asset Management"
591,00:09:51,yxbVFZb2PV4,"Bitcoin Market Update :  Bitcoin"
360,00:06:00,OtKy9OXgZVw," | "
3749,01:02:29,xfxgkDhaizk,": Forex Market Outlook 2026"
2657,00:44:17,TnBuwFt8Gfg,": Gold Market Outlook 2026"
3025,00:50:25,Y2YazJEDl3g,": US Stock Market Outlook 2026"
3594,00:59:54,xcVaOzhZkkA,": Economic & Market Risk Factor 2026"
3403,00:56:43,mESQ73S1PWs,":  Global Macro Economic 2026"
1576,00:26:16,kDhJq9vPI54," Paper Trading"
345,00:05:45,fwaP4vWEEyI,"Currency Market Update : "
770,00:12:50,GdwXSESwlzQ," Max Pain Gravity Model"
423,00:07:03,7viFHZyywBg," Reinforcement Learning  Multi Strategy Trading"
477,00:07:57,mBxLtIfOAf0,"How to Hedge a Portfolio | "
6994,01:56:34,fYRjuDdLujI,"Risk Management Strategy for Trading | "
2292,00:38:12,lgG75HMjMZk," 2025"
476,00:07:56,eDxjGZa-_UI," Multi-Timeframe "
453,00:07:33,vQ1jh7ad5bI," Rebalancing Strategies"
940,00:15:40,mQoXBUY4_0I,"Gold Market Update : "
789,00:13:09,dBsPa--ihC0,"Trading system development workflow()"
726,00:12:06,OTvfai2Bq2s,"Advance Passive Trading Class15 | Time Arbitrage Strategies"
483,00:08:03,mMbPC3NiA94,"Commodity Market Update : "
595,00:09:55,E0bBXULmu-Y,"Advance Passive Trading Class14 | Multi-Strategy Trading Model"
1027,00:17:07,pmwLFj2b8YU,"Advance Passive Trading Class13 |  CDM Framework"
933,00:15:33,SOPH2lx97RM,"Advance Passive Trading Class12 | Hybrid Passive Trading System"
347,00:05:47,ZZxozViBeKE,"Advance Passive Trading Class11 |  Passive Trading"
1060,00:17:40,2BQ9ERyQupU,"Advance Passive Trading Class10 | "
544,00:09:04,H27a9xB5JmA,"! 4 "
176,00:02:56,YRRb8nmOTYk," !"
2224,00:37:04,3NPBDiCIOHA," Grid Trading System I (Grid Component)"
1995,00:33:15,DslTgDvWxAI,"Advance Passive Trading Class09 | "
2244,00:37:24,VeUftwN3dhI,"Advance Passive Trading Class08 | (Exit Strategy)"
1486,00:24:46,0z5AdpFtZro," Grid Trading System I Capital Management"
556,00:09:16,H5yeV7Uykd0," Grid Trading System I "
1345,00:22:25,Ls2kmqgU6D0," Grid Trading System I "
1293,00:21:33,bL-XxwgvsVY,"Bitcoin Market Update :  Bitcoin"
1071,00:17:51,QEDyEa6tn98," "
435,00:07:15,NUcXwQ9tOU0,"Loss Management 101: ?"
2496,00:41:36,486G-8Uu1K4,"Advance Passive Trading Class07 | How To Use Volume Profile"
288,00:04:48,sU3gwcDCCzs," Algorithmic Trading (Robot Trade) ?"
482,00:08:02,F03Z4fl5GTQ,""
1506,00:25:06,clVjeoUSuKg,"Advance Passive Trading Class06 | Market breadth analysis"
532,00:08:52,sexQhWO9nLo,"? "
92,00:01:32,pyw5WXmc880," cwayinvestment"
95,00:01:35,As9Ym1fKHMg,"GRID Robot Simulation & Testing App with Gemini 3.0 Pro"
286,00:04:46,EUVWZQOIDlU,"-Start with Why"
837,00:13:57,CYo7r86Hs7Y,"FX Market Update : - USD"
1945,00:32:25,o5VmafxP0DI,"Advance Passive Trading Class05 | Price & Volume Analysis"
659,00:10:59,7caJS1yrxzc," Dynamic leverage adjustment(DLA Strategy)"
236,00:03:56,LV13iT6RAvE,""
3522,00:58:42,XZq5fnTFF-I," CEO:  ''  '' "
338,00:05:38,6h_WHKIfHaE,"5  Money Management "
2183,00:36:23,-oP-zxeeq7E,"Advance Passive Trading Class04 | Momentum Analysis"
885,00:14:45,KiayzXXI8CU,""
1147,00:19:07,1IBSfXH-N14,"Generative AI for Cryptocurrency News Analysis"
1387,00:23:07,u1xI4k5Lo7Y,"7 (Volatile Market Survival Guide)"
617,00:10:17,SHdZ1aXwxrg," Timeframe"
164,00:02:44,trMMFWOvwCg,"(Pricing Model)"
1211,00:20:11,YHRCckKc5T0,"Advance Passive Trading Class03"
521,00:08:41,CGvHExtwEF0," Technical Analysis  (Technical Analysis & Trading Strategy)"
7174,01:59:34,APGLF5sVvWQ,"Generative AI for Trading Research"
633,00:10:33,DSUNYVrX9g8," (Technical Analysis for Beginner)"
1798,00:29:58,o-kqXKjr3qA,"Optimized Trend Tracker (OTT)  Scalping Strategy"
213,00:03:33,rbxlCehvFk4," Stanley Druckenmiller"
1730,00:28:50,yh5yzi1s8Kg,"Advance Passive Trading Class02"
705,00:11:45,jGMxzxIsCPo,"Trend Following vs Momentum Trading ?"
1454,00:24:14,GjgkzDknAUM," Guru Stock  GenAI"
1288,00:21:28,T80JgB5Jjr4," Cross-sectional Momentum Strategy"
2289,00:38:09,_EYBiuINMsk,"Advance Passive Trading Class01"
893,00:14:53,pVhDjZcLqSU,"How I Use GenAI to Find Gold Price Targets (Step-by-Step Tutorial)"
1210,00:20:10,1LhzlJz_N6A,"GenAI (GPT5 for Trading Coach)"
523,00:08:43,23Al1GBkGqU,"How to Deal with Trading Failure | "
318,00:05:18,qPFxSBNZV0E,""
1561,00:26:01,S_h6zrrXTWI,"Relative Volatility Index (RVI) Tutorial: Complete Guide for Traders"
1364,00:22:44,Z_elizBoszw," 10% ???"
874,00:14:34,GgsvVNMs5ws,"? |  2025"
1279,00:21:19,bJ-BzqO-XSk,""
750,00:12:30,ihnX61bq1_k,"Volatility Based Support & Resistance(VBSR)"
772,00:12:52,UyNYw0jM3ls,"Variable Moving Average (VMA) Band: The Dynamic Indicator for Volatile Markets"
286,00:04:46,1a78Y2-LlUY," Technical Analysis "
5603,01:33:23,3cLI3ENeG5I,"Introduction to Quantitative Trading in Python"
470,00:07:50,GoMPJrcTrvc," Brian Shannon"
843,00:14:03,g6ZfVXrEofA,"Why the Hull Moving Average is BETTER Than Traditional Moving Averages"
1949,00:32:29,Ddl4e00bF6Q,"MACD-V (Volatility normalised Momentum)"
2097,00:34:57,YEbFfJTxGXE," Market Breadth Analysis"
377,00:06:17,fKWsO8NRA1c,"? "
267,00:04:27,KP1YzIZ25uo,"Trader Mindset 101 "
