duration_sec,duration_hms,video_id,title
1070,00:17:50,Wpmd40NGoBs,"MT5 - EX212 : Semi Auto EA [Best Martingale Stategy and Trailing Stop]"
795,00:13:15,QUUv5ZD0Lr0,"MT5 - EX211 : Custom Sequence"
833,00:13:53,aZhCOTskaL4,"MT5 - EX210 : Semi Auto EA [Grid Trading System]"
706,00:11:46,EZmD4IJgZn8,"MT5 - EX209 : Gold Robot Scalping EA [MACD TrendAlign Scalper]"
863,00:14:23,GeGatIRx45s,"MT5 - EX208 : Semi Auto EA [Pending Orders in Grid]"
1040,00:17:20,Ld4_RFmqs3I,"MT5 - EX207 : Breakout Master Bar and Pending Orders in Grid"
954,00:15:54,cv8iZyXIsxM,"MT5 - EX206 : Semi Auto EA [Dynamic Grid Distance and Auto Lots Size]"
1426,00:23:46,NQY_g5o8IdQ,"MT5 - EX205RV1 : Semi Auto EA [Modify TP]"
1411,00:23:31,APzkgJoKhNM,"MT5 - EX196 : Multi Group Scalping EA [FVG]"
1269,00:21:09,LbLc9Ndnu2E,"MT5 - EX192 : Multi Group Scalping EA [Engulfing Pattern]"
1303,00:21:43,dLU_px9H8fk,"MT5 - EX180 : Gold Robot Auto Trade [ICT Price Action Concept]"
407,00:06:47,ntcCOquUPCs,"MT5 - EX178 : Gold Robot EA [EMA and Price Pattern]"
839,00:13:59,OVGwP8QaJNM,"MT5 - EX170 Gold Robot EA [Martingale and Dynamic Risk Management]"
1002,00:16:42,OPXl5HHO7Hs,"MT5 - EX21 : Best Martingale Stategy and Trailing Stop"
1092,00:18:12,zWTkN8GP-e8,"MT5 - EX204 : Dynamic Grid Distance and Hedging Strategy"
929,00:15:29,fpbUYcwVOPs,"MT5 - EX20 : Grid Trading System and EMA Concept"
981,00:16:21,ZnV77nW2otM,"MT5 - EX188 : Gold Robot EA [Recovery Factor Strategy]"
102,00:01:42,adne_qorLGs," EA  !! :  !!"
1772,00:29:32,qoII84ixew4,"MT5 - EX171 : Gold Robot EA [EMA High-Low]"
902,00:15:02,fypX8h3soyY,"MT5 - EX203 : Gold Robot EA [Grid Trading System]"
1316,00:21:56,JerltSf4IOc,"MT5 - EX183 : Gold Robot EA [EMA and Price Pattern]"
1132,00:18:52,kAJ1hjSYTn4,"MT5 - EX184 : Gold Robot EA [Trendline Breakout and Modify TP]"
1140,00:19:00,V97AWoljY20,"MT5 - EX182 : Gold Robot EA [Breakout Master Bar]"
909,00:15:09,sVKNDwOz9eI,"MT5 - EX185 : Gold Robot EA [EMA Cross Over and Modify TP]"
1492,00:24:52,G5Hp3sSK_7E,"MT5 - EX127 : Gold Robot EA [Dynamic Grid Zone and Hedging Strategy]"
1054,00:17:34,5OgZ_Tucns8,"MT5 - EX173 : Gold Robot EA [Throwback and Pullback Strategy]"
889,00:14:49,eBaRWynVj-g,"MT5 - EX172 : Gold Robot EA [Double RSI and Switching Mode]"
908,00:15:08,__uaZ4oaVcE,"MT5 - EX159 : Gold Robot EA [STO 933]"
1439,00:23:59,aaUSMa66s00,"MT5 - EX157 : Gold Robot EA [RSI and Trendline Breakout]"
1330,00:22:10,6HZ091AY-KQ,"MT5 - EX155 : Multi Group Scalping EA [Inside Bar Strategy]"
816,00:13:36,d8_TWoRtUeo,"MT5 - EX154 : MACD Divergence and Price Pattern Strategy"
933,00:15:33,XQnmxZLbuC0,"MT5 - EX153 : H1-M1 Trend Synchronizer"
1351,00:22:31,KhyIUDRkWn0,"QuantDataManager125 : M1 Data and Tick Data for MT5"
1690,00:28:10,ZW-A376BfI0,"MT5 - EX145 : Gold Robot  [H1 - M1 Nexus Scalper]"
1385,00:23:05,D95A4yUnQ9w,"MT5 - EX144 : Gold Robot EA [Smart Structure H1]"
