video_id,tag,status,lines,ts
Wpmd40NGoBs,EX212,ok,360,2026-07-12T09:00:30
QUUv5ZD0Lr0,EX211,ok,263,2026-07-12T09:00:37
aZhCOTskaL4,EX210,ok,278,2026-07-12T09:00:45
EZmD4IJgZn8,EX209,ok,226,2026-07-12T09:01:08
GeGatIRx45s,EX208,ok,294,2026-07-12T09:01:18
Ld4_RFmqs3I,EX207,ok,372,2026-07-12T09:01:29
cv8iZyXIsxM,EX206,ok,325,2026-07-12T09:01:39
NQY_g5o8IdQ,EX205,ok,477,2026-07-12T09:01:49
APzkgJoKhNM,EX196,ok,498,2026-07-12T09:01:59
LbLc9Ndnu2E,EX192,ok,436,2026-07-12T09:02:09
dLU_px9H8fk,EX180,ok,438,2026-07-12T09:02:19
ntcCOquUPCs,EX178,ok,135,2026-07-12T09:02:29
OVGwP8QaJNM,EX170,ok,291,2026-07-12T09:02:38
OPXl5HHO7Hs,EX021,ok,338,2026-07-12T09:02:48
zWTkN8GP-e8,EX204,ok,376,2026-07-12T09:02:58
fpbUYcwVOPs,EX020,ok,311,2026-07-12T09:03:08
ZnV77nW2otM,EX188,ok,348,2026-07-12T09:03:18
adne_qorLGs,EA,ok,26,2026-07-12T09:03:28
qoII84ixew4,EX171,ok,603,2026-07-12T09:03:37
fypX8h3soyY,EX203,ok,319,2026-07-12T09:03:47
JerltSf4IOc,EX183,ok,452,2026-07-12T09:03:57
kAJ1hjSYTn4,EX184,ok,398,2026-07-12T09:04:08
V97AWoljY20,EX182,ok,398,2026-07-12T09:04:18
sVKNDwOz9eI,EX185,ok,319,2026-07-12T09:04:28
G5Hp3sSK_7E,EX127,ok,522,2026-07-12T09:04:39
5OgZ_Tucns8,EX173,ok,360,2026-07-12T09:04:49
eBaRWynVj-g,EX172,ok,287,2026-07-12T09:04:59
__uaZ4oaVcE,EX159,ok,297,2026-07-12T09:05:09
aaUSMa66s00,EX157,ok,473,2026-07-12T09:05:19
6HZ091AY-KQ,EX155,ok,446,2026-07-12T09:05:29
d8_TWoRtUeo,EX154,ok,268,2026-07-12T09:05:39
XQnmxZLbuC0,EX153,ok,306,2026-07-12T09:05:49
KhyIUDRkWn0,QuantDataManager125_M1_Data_an,ok,481,2026-07-12T09:05:59
ZW-A376BfI0,EX145,ok,588,2026-07-12T09:06:09
D95A4yUnQ9w,EX144,ok,496,2026-07-12T09:06:19
9KGDTXgdL2I,EX142,ok,250,2026-07-12T09:06:29
