file,kb,category,topic_hint,worth_deep_read
2024-03\HW3 แปลโฆสก8-9สามาวดี_240321_090303.pdf,2507,unknown,PDF-1.7 1 0 obj Pages 2 0 R /PieceInfo SPenSDK_PAGE_LIST LastModified(D:20240321171353)/Private Bin0 39 0,N
2024-03\NAVA Panal MM (Mark-A)-User guide.pdf,185,ea-manual,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en) /StructTreeRoot 24 0 R/MarkInfo Marked true,N
2025-04\Your Electronic Ticket-EMD Receipt_241108_140533.pdf,157,junk,"Travel/payment receipt, not trading research",N
2025-06\6 ท่าไม้ตาย SMC.pdf,7222,strategy-book,SMC / smart-money trading lesson,Y
2025-07  _all done\TMX-Trend Indicator (User manual).pdf,128,ea-manual,Manual/setup guide: TMX-Trend Indicator (User manual),N
2025-11\Profit Lock ใน fxDreema” แบบเป็นคู่มือทีละขั้น 👇.pdf,376,strategy-book,Profit-lock / trade-management rule guide,Y
2026-4\คู่มือใช้งาน THAMTHAU_EA_Input_Parameters.pdf,72,ea-manual,PDF-1.4 ReportLab Generated PDF document (opensource) 1 0 obj F1 2 0 R /F2+0,N
.EA OK\North East Way EA\How to install MT4 files.pdf,1054,ea-manual,PDF-1.4 1 0 obj Title (How to install) Producer (Skia/PDF m93 Google Docs Renderer),N
.EA OK\North East Way EA\Useful Information for Forex Traders (Read Me).pdf,732,strategy-book,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R /Metadata 9 0 R /AcroForm 11,N
.EA OK\Scalper Inside PRO v4.4 (no dll)\Useful Information for a Trader!-1.pdf,82,junk,Scalping strategy or EA guide,N
.EA OK\Money Tree EA\MQL4\Read.pdf,76,junk,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(ru-BY) /StructTreeRoot 21 0 R/MarkInfo Marked true,N
.EA OK\Money Tree EA\MQL4\Useful Information for a Trader.pdf,13,junk,PDF-1.6 1 0 obj Type/Catalog/Pages 2 0 R/Lang(Fi i/[]j4 StructTreeRoot 22 0 R/MarkInfo 82,N
.EA OK\TPS SUPER FIGHTER FIX @FinTechFx\EA\TPS EA USER GUIDE.pdf,1206,ea-manual,PDF-1.4 2 0 obj Type /Catalog Pages 1 0 R Dests 3 0 R,N
.Forexbookthai\.EA\2-Equity Sentry\Equity Sentry manual.pdf,227,ea-manual,Manual/setup guide: Equity Sentry manual,N
.Forexbookthai\.EA\3-Rescue Bot\คู่มือ RescueBot.pdf,1549,ea-manual,PDF-1.6 81 0 obj Filter/FlateDecode/First 18/Length 366/N 3/Type/ObjStm stream endstream endobj 82 0 obj,N
.Forexbookthai\.EA\1-AW Recovery\Manual AW\คู่มือ AW recovery-THAI.pdf,7421,ea-manual,Manual/setup guide: คู่มือ AW recovery-THAI,N
.Forexbookthai\.EA\EA Simulator v2\Link download EA Simulator v2\คู่มือ MT4 ภาษาไทย.pdf,3529,ea-manual,PDF-1.6 1075 0 obj Filter/FlateDecode/First 163/Length 2123/N 19/Type/ObjStm stream mtNFD 0ITi@F endstream endobj 1076,N
.Forexbookthai\.EA\EA Simulator v2\Link download EA Simulator v2\คู่มือการใช้งาน EA Simulator v2.pdf,3586,ea-manual,PDF-1.4 190 0 obj Linearized 1/L 3672657/O 192/E 1857215/N 8/T 3668736/H [ 25996 2751],N
.Forexbookthai\.EA\EA Simulator v2\Link download EA Simulator v2\วิธีการโหลดข้อมูลย้อนหลังเพื่อทำ Backtest.pdf,1569,course,PDF-1.4 200 0 obj Linearized 1/L 1532901/O 202/E 132360/N 6/T 1528780/H [ 669 292],N
.Forexbookthai\.EA\EA Simulator v2\Link download EA Simulator v2\Bonus\40 Simple and Complex Strategies.pdf,1260,ea-manual,PDF-1.6 405 0 obj Filter/FlateDecode/First 378/Length 1610/N 43/Type/ObjStm stream m7#mdF h6n&xS endstream endobj 406,Y
.Forexbookthai\.EA\Link DL Forex4Pip\Link DL Forex4Pip\---คู่มือการลงอีเอ-อินดิเคเตอร์-เทมเพลตOK---\แอดไลน์ เพิ่มเพื่อน สอบถามปัญหา.pdf,47,strategy-book,PDF-1.5 4 0 obj Filter/FlateDecode/Length 124 stream endstream endobj 6 0 obj Contents 4,N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\เพิ่มเพือนเพื่อสอบถาม.pdf,46,strategy-book,PDF-1.5 4 0 obj Filter/FlateDecode/Length 125 stream endstream endobj 6 0 obj Contents 4,N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\คู่มือ Fibonacci พื้นฐาน.pdf,7591,strategy-book,Fibonacci trading material,N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\วิธีการดูและวิเคราะห์ข่าวเว็บ forexfactory.pdf,545,course,PDF-1.6 224 0 obj Filter/FlateDecode/First 1078/Length 1897/N 124/Type/ObjStm stream K]hZn{ endstream endobj 225 0,N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\The Black Book of Secret Data\The Black Book (35).pdf,14526,course,PDF-1.5 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 140 0 R/MarkInfo Marked true,Y
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\สอนเขียนโปรแกรม\EA Programming(212).pdf,1292,course,PDF-1.4 1 0 obj Type/Page/Parent 672 0 R /Resources 729 0 R /MediaBox[ 0,N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\สอนเขียนโปรแกรม\mql4 manual.pdf,840,course,Manual/setup guide: mql4 manual,N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\สอนเขียนโปรแกรม\คู่มือการเขียนอีเอ ภาษาไทย.pdf,5585,course,PDF-1.6 6912 0 obj Filter/FlateDecode/First 495/Length 778/N 51/Type/ObjStm stream J/kk[k;n endstream endobj 6913 0,N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\0-Forex ชั้นเตรียมอนุบาล(41).pdf,582,course,PDF-1.6 1827 0 obj Linearized 1/L 596911/O 1829/E 252948/N 41/T 596165/H [ 561 813],N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\1-Forex ชั้นอนุบาล(10).pdf,437,course,PDF-1.6 255 0 obj Linearized 1/L 448231/O 257/E 298030/N 10/T 447774/H [ 615 382],N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Forex เกรด10-สภาวะตลาด(19).pdf,1196,course,PDF-1.6 482 0 obj Linearized 1/L 1163312/O 484/E 286484/N 19/T 1162748/H [ 558 467],N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Forex เกรด11-Breakout(32).pdf,1667,strategy-book,Breakout trading rules or indicator guide,Y
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Forex เกรด12-การวิเคราะห์โดยใช้ปัจจัยพื้นฐาน(30).pdf,625,course,PDF-1.6 718 0 obj Linearized 1/L 640282/O 720/E 250674/N 30/T 639685/H [ 558 581],N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Forex เกรด13-Advance(388).pdf,10644,course,PDF-1.6 11298 0 obj Linearized 1/L 10899860/O 11300/E 278713/N 388/T 10896165/H [ 564 4122],Y
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Forex เกรด1แท่งเทียน+เกรด2แนวรับแนวต้าน(19).pdf,494,course,PDF-1.6 520 0 obj Linearized 1/L 506106/O 522/E 250067/N 19/T 505505/H [ 558 494],N
.Forexbookthai\.EA\Link Download EA+VPS set 6990-20241008T104328Z-001\Link Download EA+VPS set 6990\Bonus E-book\เรียนฟอเร็กซ์ตามระดับชั้น\Forex เกรด3Fibo+เกรด4MA(18).pdf,465,strategy-book,Fibonacci trading material,N
