boss,symbol,tf,main_pf,bwd_pf,main_trades,bwd_trades,main_dd,bwd_dd,eligible,dual_positive,min_pf
16,XAUUSD,H4,4.08,1.44,79,148,636.50 (6.27%),873.12 (8.29%),True,True,1.44
16,USDJPY,H1,1.53,1.11,275,267,396.11 (3.85%),244.65 (2.40%),True,True,1.11
16,XAUUSD,M15,1.25,1.1,1577,1463,1 215.85 (11.88%),1 733.95 (14.86%),True,True,1.1
15,GBPUSD,H4,1.1,1.07,214,218,98.06 (0.97%),185.13 (1.83%),True,True,1.07
13,XAUUSD,M15,1.06,1.02,3929,3300,696.10 (6.32%),377.02 (3.72%),True,True,1.02
13,GBPUSD,H4,1.05,1.02,256,272,164.50 (1.63%),267.64 (2.65%),True,True,1.02
13,GBPUSD,M15,1.02,0.99,3451,3542,167.85 (1.64%),277.73 (2.77%),True,False,0.99
13,EURUSD,H1,0.98,0.98,1131,1104,229.23 (2.26%),198.25 (1.96%),True,False,0.98
13,EURUSD,H4,1.15,0.98,231,267,147.07 (1.46%),210.54 (2.10%),True,False,0.98
13,GBPUSD,H1,1.04,0.98,1129,1137,210.21 (2.05%),258.91 (2.58%),True,False,0.98
11,USDJPY,H4,0.97,1.05,728,731,397.51 (3.86%),428.41 (4.23%),True,False,0.97
15,USDJPY,H4,1.24,0.97,199,204,148.07 (1.45%),161.08 (1.61%),True,False,0.97
15,EURUSD,H4,0.96,1.25,206,217,96.82 (0.97%),93.80 (0.92%),True,False,0.96
16,XAUUSD,H1,1.49,0.96,426,505,1 245.90 (10.95%),2 383.63 (21.11%),True,False,0.96
12,USDJPY,H4,1.0,0.95,238,281,172.51 (1.70%),177.94 (1.76%),True,False,0.95
11,USDJPY,H1,0.95,0.93,2841,2848,436.73 (4.36%),605.89 (5.95%),True,False,0.93
12,USDJPY,H1,0.93,1.15,970,956,225.27 (2.25%),70.71 (0.70%),True,False,0.93
15,XAUUSD,M15,0.94,0.93,2423,2415,1 065.08 (10.51%),843.60 (8.29%),True,False,0.93
16,EURUSD,H1,1.25,0.93,193,217,206.47 (2.05%),266.96 (2.64%),True,False,0.93
12,XAUUSD,H1,0.95,0.92,965,929,785.68 (7.72%),634.74 (6.25%),True,False,0.92
11,GBPUSD,H4,0.91,0.94,674,684,496.66 (4.89%),458.66 (4.52%),True,False,0.91
12,XAUUSD,H4,1.26,0.91,250,233,303.94 (2.96%),559.40 (5.45%),True,False,0.91
11,EURUSD,H4,0.9,0.95,672,663,399.31 (3.93%),419.76 (4.12%),True,False,0.9
13,XAUUSD,H1,0.91,0.9,1257,1126,1 392.56 (13.49%),936.88 (9.26%),True,False,0.9
13,USDJPY,M15,1.0,0.9,4032,3908,163.24 (1.62%),364.02 (3.64%),True,False,0.9
15,XAUUSD,H1,0.99,0.89,778,731,748.08 (7.44%),791.74 (7.81%),True,False,0.89
11,XAUUSD,H1,1.02,0.88,2822,2657,1 971.07 (19.57%),2 335.26 (22.88%),True,False,0.88
12,EURUSD,H1,0.88,0.91,997,963,208.54 (2.08%),213.61 (2.13%),True,False,0.88
12,GBPUSD,H1,0.87,0.88,1010,1030,302.35 (3.02%),407.62 (4.05%),True,False,0.87
12,XAUUSD,M15,0.93,0.84,3326,3287,1 145.54 (11.38%),1 781.78 (17.74%),True,False,0.84
12,EURUSD,H4,0.84,1.01,249,229,185.98 (1.86%),156.49 (1.55%),True,False,0.84
15,XAUUSD,H4,0.95,0.83,223,185,600.67 (5.95%),537.72 (5.34%),True,False,0.83
15,EURUSD,M15,0.85,0.83,2528,2664,368.56 (3.68%),508.67 (5.08%),True,False,0.83
15,EURUSD,H1,0.9,0.83,792,826,202.75 (2.01%),329.65 (3.29%),True,False,0.83
13,USDJPY,H4,1.06,0.82,325,332,228.20 (2.25%),358.64 (3.55%),True,False,0.82
15,GBPUSD,M15,0.82,0.89,2751,2792,575.19 (5.75%),495.14 (4.93%),True,False,0.82
15,USDJPY,M15,0.95,0.82,2787,2861,185.72 (1.85%),469.41 (4.69%),True,False,0.82
11,XAUUSD,H4,1.02,0.81,733,693,1 873.52 (17.76%),2 264.43 (21.88%),True,False,0.81
11,XAUUSD,M15,0.8,0.8,3727,3003,2 530.44 (25.01%),2 528.84 (25.04%),False,False,0.8
11,USDJPY,M15,0.82,0.8,10683,11252,2 135.99 (21.22%),2 009.68 (20.09%),True,False,0.8
12,EURUSD,M15,0.8,0.8,3397,3407,595.83 (5.95%),693.47 (6.93%),True,False,0.8
15,GBPUSD,H1,0.8,1.0,824,786,364.23 (3.64%),136.38 (1.35%),True,False,0.8
15,USDJPY,H1,0.8,1.03,754,808,382.79 (3.83%),133.91 (1.34%),True,False,0.8
11,EURUSD,H1,0.79,0.92,2992,2893,1 070.99 (10.71%),685.87 (6.71%),True,False,0.79
13,XAUUSD,H4,0.79,1.03,350,312,1 901.30 (18.69%),706.22 (6.93%),True,False,0.79
11,GBPUSD,H1,0.78,0.94,2992,2893,1 388.78 (13.88%),804.29 (7.84%),True,False,0.78
16,USDJPY,M15,1.18,0.76,782,759,283.77 (2.78%),421.72 (4.13%),True,False,0.76
11,EURUSD,M15,0.76,0.75,9534,9362,2 162.65 (21.58%),2 505.89 (25.01%),True,False,0.75
11,GBPUSD,M15,0.73,0.75,7592,6926,2 506.03 (25.01%),2 520.59 (25.00%),False,False,0.73
16,EURUSD,M15,1.13,0.7,717,734,46.25 (0.46%),277.10 (2.75%),True,False,0.7
16,GBPUSD,H1,1.73,0.7,280,253,163.01 (1.61%),553.70 (5.50%),True,False,0.7
12,GBPUSD,H4,0.68,0.97,226,228,392.19 (3.92%),272.69 (2.68%),True,False,0.68
16,USDJPY,H4,0.94,0.59,76,70,743.56 (7.25%),373.57 (3.67%),True,False,0.59
16,GBPUSD,M15,1.6,0.55,772,818,60.24 (0.60%),655.17 (6.54%),True,False,0.55
16,GBPUSD,H4,2.46,0.44,60,61,195.37 (1.93%),1 066.88 (10.61%),True,False,0.44
16,EURUSD,H4,6.39,0.25,64,51,143.33 (1.42%),852.41 (8.46%),True,False,0.25
12,GBPUSD,M15,0.0,0.84,0,3495,0 (0%),825.34 (8.20%),True,False,0.0
12,USDJPY,M15,0.0,0.86,0,3858,0 (0%),538.41 (5.38%),True,False,0.0
13,EURUSD,M15,0.0,1.08,0,3484,0 (0%),90.16 (0.89%),True,False,0.0
13,USDJPY,H1,0.0,0.87,0,1299,0 (0%),340.39 (3.40%),True,False,0.0
