win,dir,slopeThresh,PF,net,eqDDpct,trades,winpct,maxLoss,report
UP1922,BUY,0.01,1.18,776.57,40.97,852.0,78.4,-300.1,AGP1_UP1922_BUY_st0p01
UP1922,BUY,0.02,1.22,939.64,39.75,878.0,78.59,-312.2,AGP1_UP1922_BUY_st0p02
UP1922,BUY,0.04,1.23,1000.0,39.57,890.0,78.76,-312.2,AGP1_UP1922_BUY_st0p04
UP1922,BUY,0.08,1.09,398.67,46.72,821.0,78.32,-312.2,AGP1_UP1922_BUY_st0p08
UP1922,BUY,0.15,0.8,-1234.16,47.57,878.0,78.36,-312.2,AGP1_UP1922_BUY_st0p15
UP1922,SELL,0.01,0.52,-4188.81,54.9,590.0,73.05,-345.89,AGP1_UP1922_SELL_st0p01
UP1922,SELL,0.02,0.53,-4128.05,54.66,596.0,72.65,-345.89,AGP1_UP1922_SELL_st0p02
UP1922,SELL,0.04,0.53,-4186.11,55.13,599.0,72.95,-345.89,AGP1_UP1922_SELL_st0p04
UP1922,SELL,0.08,0.53,-4198.79,55.11,602.0,73.09,-345.89,AGP1_UP1922_SELL_st0p08
UP1922,SELL,0.15,0.53,-4165.5,55.18,608.0,73.19,-345.89,AGP1_UP1922_SELL_st0p15
DN2326,BUY,0.01,0.58,-1927.93,31.52,323.0,76.47,-334.23,AGP1_DN2326_BUY_st0p01
DN2326,BUY,0.02,0.58,-1907.92,31.41,325.0,76.62,-334.23,AGP1_DN2326_BUY_st0p02
DN2326,BUY,0.04,0.58,-1919.77,31.54,331.0,76.44,-334.23,AGP1_DN2326_BUY_st0p04
DN2326,BUY,0.08,0.63,-1681.0,29.55,341.0,78.01,-334.23,AGP1_DN2326_BUY_st0p08
DN2326,BUY,0.15,0.63,-1682.09,29.59,343.0,78.13,-334.23,AGP1_DN2326_BUY_st0p15
DN2326,SELL,0.01,3.21,3708.36,20.89,629.0,75.2,-55.07,AGP1_DN2326_SELL_st0p01
DN2326,SELL,0.02,3.08,3616.15,20.97,626.0,74.44,-55.07,AGP1_DN2326_SELL_st0p02
DN2326,SELL,0.04,3.15,3695.37,20.82,634.0,74.92,-55.07,AGP1_DN2326_SELL_st0p04
DN2326,SELL,0.08,3.17,3715.4,20.77,635.0,74.96,-55.07,AGP1_DN2326_SELL_st0p08
DN2326,SELL,0.15,3.17,3715.4,20.77,635.0,74.96,-55.07,AGP1_DN2326_SELL_st0p15
