win,dir,slopeThresh,PF,net,eqDDpct,trades,winpct,maxLoss,report
UP1922,BUY,0.02,1.07,289.25,27.83,736.0,80.43,-356.64,AGP2_UP1922_BUY_st0p02
UP1922,BUY,0.05,1.96,1131.72,20.67,357.0,81.23,-92.52,AGP2_UP1922_BUY_st0p05
UP1922,BUY,0.1,2.09,785.41,11.35,238.0,82.77,-117.79,AGP2_UP1922_BUY_st0p1
UP1922,SELL,0.02,0.77,-701.49,24.24,255.0,78.04,-666.37,AGP2_UP1922_SELL_st0p02
UP1922,SELL,0.05,0.68,-934.61,24.7,219.0,78.54,-666.37,AGP2_UP1922_SELL_st0p05
UP1922,SELL,0.1,0.56,-989.1,20.72,145.0,80.69,-666.37,AGP2_UP1922_SELL_st0p1
DN2326,BUY,0.02,0.54,-1871.02,29.21,277.0,76.9,-379.31,AGP2_DN2326_BUY_st0p02
DN2326,BUY,0.05,0.51,-1873.46,28.14,251.0,77.29,-357.31,AGP2_DN2326_BUY_st0p05
DN2326,BUY,0.1,0.4,-1197.17,19.09,95.0,84.21,-354.17,AGP2_DN2326_BUY_st0p1
DN2326,SELL,0.02,2.65,2382.79,16.46,433.0,75.75,-56.34,AGP2_DN2326_SELL_st0p02
DN2326,SELL,0.05,2.52,2015.11,15.15,361.0,78.39,-73.47,AGP2_DN2326_SELL_st0p05
DN2326,SELL,0.1,2.44,1523.81,14.03,297.0,80.13,-70.91,AGP2_DN2326_SELL_st0p1
