tag,dist,tp,ema,lr,PF,net,eqDDpct,trades,winpct,maxLoss,recovery,report
d0p7_t0p7,0.7,0.7,50,20,0.82,-1454.18,38.19,897.0,78.82,-616.48,-0.31,AGP3B_d0p7_t0p7
d0p7_t1,0.7,1,50,20,1.4,1784.89,21.77,742.0,81.94,-354.17,0.56,AGP3B_d0p7_t1
d0p7_t1p5,0.7,1.5,50,20,0.45,-7448.5,84.68,629.0,79.65,-757.47,-0.74,AGP3B_d0p7_t1p5
d1_t0p7,1,0.7,50,20,0.8,-1606.53,48.87,946.0,78.12,-616.48,-0.27,AGP3B_d1_t0p7
d1_t1,1,1,50,20,1.38,1630.84,22.0,695.0,82.3,-354.17,0.51,AGP3B_d1_t1
d1_t1p5,1,1.5,50,20,1.59,2777.63,33.25,631.0,80.35,-792.15,0.71,AGP3B_d1_t1p5
d1p5_t0p7,1.5,0.7,50,20,2.62,4047.83,24.65,953.0,78.7,-98.92,1.37,AGP3B_d1p5_t0p7
d1p5_t1,1.5,1,50,20,0.97,-113.16,25.16,518.0,80.31,-354.17,-0.04,AGP3B_d1p5_t1
d1p5_t1p5,1.5,1.5,50,20,,,,,,,,AGP3B_d1p5_t1p5
d2_t0p7,2,0.7,50,20,,,,,,,,AGP3B_d2_t0p7
d2_t1,2,1,50,20,,,,,,,,AGP3B_d2_t1
d2_t1p5,2,1.5,50,20,,,,,,,,AGP3B_d2_t1p5
slow_e100l40,1.0,1.0,100,40,,,,,,,,AGP3B_slow_e100l40
slow_e100l20,1.0,1.0,100,20,,,,,,,,AGP3B_slow_e100l20
slow_e200l40,1.0,1.0,200,40,,,,,,,,AGP3B_slow_e200l40
d1p5_t1p5,1.5,1.5,50,20,1.43,2077.79,39.83,631.0,80.67,-633.87,0.45,AGP3B_d1p5_t1p5
d2_t0p7,2,0.7,50,20,,,,,,,,AGP3B_d2_t0p7
d2_t1,2,1,50,20,,,,,,,,AGP3B_d2_t1
d2_t1p5,2,1.5,50,20,,,,,,,,AGP3B_d2_t1p5
slow_e100l40,1,1,100,40,,,,,,,,AGP3B_slow_e100l40
slow_e100l20,1,1,100,20,,,,,,,,AGP3B_slow_e100l20
slow_e200l40,1,1,200,40,,,,,,,,AGP3B_slow_e200l40
