symbol,dist,tp,PF,net,eqDDpct,trades,winpct,maxLoss,recovery,report
EURUSD,0.7,0.8,1.5,4798.06,31.99,545.0,83.12,-1261.4,0.81,AGP6_EURUSD_d0p7_t0p8
EURUSD,0.7,1.2,1.11,1282.03,45.84,444.0,79.73,-1271.0,0.21,AGP6_EURUSD_d0p7_t1p2
EURUSD,0.7,1.8,4.54,11054.38,22.22,300.0,83.67,-408.38,3.11,AGP6_EURUSD_d0p7_t1p8
EURUSD,1,0.8,1.51,4850.94,31.9,545.0,83.12,-1261.4,0.81,AGP6_EURUSD_d1_t0p8
EURUSD,1,1.2,1.08,995.04,50.57,433.0,79.45,-1271.0,0.15,AGP6_EURUSD_d1_t1p2
EURUSD,1,1.8,4.51,10965.9,22.17,299.0,83.61,-408.38,3.09,AGP6_EURUSD_d1_t1p8
EURUSD,1.5,0.8,1.48,4551.48,32.42,539.0,83.3,-1261.4,0.76,AGP6_EURUSD_d1p5_t0p8
EURUSD,1.5,1.2,1.71,5828.46,29.59,395.0,82.03,-1312.2,1.03,AGP6_EURUSD_d1p5_t1p2
EURUSD,1.5,1.8,4.32,10530.84,22.64,290.0,83.45,-408.38,2.97,AGP6_EURUSD_d1p5_t1p8
AUDNZD,0.7,0.8,1.27,1371.46,18.84,418.0,82.06,-593.01,0.52,AGP6_AUDNZD_d0p7_t0p8
AUDNZD,0.7,1.2,6.47,5954.15,14.01,301.0,86.38,-107.55,3.18,AGP6_AUDNZD_d0p7_t1p2
AUDNZD,0.7,1.8,8.42,5779.24,14.82,207.0,90.82,-105.99,3.06,AGP6_AUDNZD_d0p7_t1p8
AUDNZD,1,0.8,1.26,1344.08,18.88,417.0,82.01,-593.01,0.51,AGP6_AUDNZD_d1_t0p8
AUDNZD,1,1.2,6.35,5827.78,14.01,300.0,86.33,-107.55,3.11,AGP6_AUDNZD_d1_t1p2
AUDNZD,1,1.8,8.42,5779.24,14.82,207.0,90.82,-105.99,3.06,AGP6_AUDNZD_d1_t1p8
AUDNZD,1.5,0.8,1.23,1192.56,19.08,413.0,81.6,-593.01,0.45,AGP6_AUDNZD_d1p5_t0p8
AUDNZD,1.5,1.2,6.4,5875.96,14.1,298.0,86.24,-107.55,3.14,AGP6_AUDNZD_d1p5_t1p2
AUDNZD,1.5,1.8,8.42,5779.24,14.82,207.0,90.82,-105.99,3.06,AGP6_AUDNZD_d1p5_t1p8
BTCUSD,0.7,0.8,0.91,-9928.46,99.5,1861.0,78.88,-1311.29,-0.7,AGP6_BTCUSD_d0p7_t0p8
BTCUSD,0.7,1.2,1.16,17023.33,85.87,1702.0,84.67,-2685.81,1.13,AGP6_BTCUSD_d0p7_t1p2
BTCUSD,0.7,1.8,0.9,-9950.46,99.76,1224.0,79.17,-1186.22,-0.47,AGP6_BTCUSD_d0p7_t1p8
BTCUSD,1,0.8,0.87,-9969.58,99.84,1449.0,77.85,-2107.75,-0.54,AGP6_BTCUSD_d1_t0p8
BTCUSD,1,1.2,1.15,12659.42,76.37,1396.0,83.31,-3466.14,0.97,AGP6_BTCUSD_d1_t1p2
BTCUSD,1,1.8,1.2,16883.14,73.23,1051.0,82.97,-4330.9,0.82,AGP6_BTCUSD_d1_t1p8
BTCUSD,1.5,0.8,1.12,8025.81,82.7,1105.0,80.72,-2444.74,0.62,AGP6_BTCUSD_d1p5_t0p8
BTCUSD,1.5,1.2,1.3,17429.56,36.37,997.0,84.15,-3775.3,1.5,AGP6_BTCUSD_d1p5_t1p2
BTCUSD,1.5,1.8,1.22,14888.88,81.42,828.0,82.85,-4006.12,1.05,AGP6_BTCUSD_d1p5_t1p8
