label,symbol,PF,net,eqDDpct,trades,winpct,maxLoss,recovery,report
AUDNZD_UP_t1p2,AUDNZD,3.96,2397.09,14.01,165.0,86.06,-144.85,1.34,AGP7_AUDNZD_UP_t1p2
AUDNZD_DN_t1p2,AUDNZD,3.19,2182.88,7.53,187.0,86.63,-138.19,2.52,AGP7_AUDNZD_DN_t1p2
AUDNZD_UP_t1p8,AUDNZD,3.07,1702.14,14.82,88.0,86.36,-146.49,0.95,AGP7_AUDNZD_UP_t1p8
AUDNZD_DN_t1p8,AUDNZD,5.49,2674.51,6.63,146.0,90.41,-128.87,3.88,AGP7_AUDNZD_DN_t1p8
EURUSD_UP_t1p8,EURUSD,2.66,2248.3,22.17,95.0,83.16,-411.2,0.78,AGP7_EURUSD_UP_t1p8
EURUSD_DN_t1p8,EURUSD,0.34,-8320.76,85.56,155.0,74.84,-827.61,-0.9,AGP7_EURUSD_DN_t1p8
EURGBP_FULL_t1p2,EURGBP,0.89,-1092.55,54.56,340.0,81.18,-1281.78,-0.16,AGP7_EURGBP_FULL_t1p2
EURGBP_FULL_t1p8,EURGBP,3.57,6751.62,21.07,231.0,81.39,-402.14,2.16,AGP7_EURGBP_FULL_t1p8
AUDCAD_FULL_t1p2,AUDCAD,1.75,3383.2,29.86,301.0,80.07,-777.44,1.04,AGP7_AUDCAD_FULL_t1p2
AUDCAD_FULL_t1p8,AUDCAD,0.49,-7408.84,83.94,320.0,77.81,-827.72,-0.85,AGP7_AUDCAD_FULL_t1p8
NZDCAD_FULL_t1p2,NZDCAD,2.29,3692.13,21.64,306.0,81.05,-351.66,1.15,AGP7_NZDCAD_FULL_t1p2
NZDCAD_FULL_t1p8,NZDCAD,0.84,-1543.11,30.81,303.0,79.87,-819.66,-0.42,AGP7_NZDCAD_FULL_t1p8
EURCHF_FULL_t1p2,EURCHF,2.09,5365.81,31.32,278.0,81.65,-612.9,1.42,AGP7_EURCHF_FULL_t1p2
EURCHF_FULL_t1p8,EURCHF,0.44,-7807.04,85.6,236.0,75.85,-778.34,-0.87,AGP7_EURCHF_FULL_t1p8
