mode,symbol,tf,usePA,PF,net,expPayoff,eqDDpct,trades,winpct,largeWin,largeLoss,report
CONT,XAUUSD,H1,false,0.98,-3706.01,-1.47,88.79,2520.0,40.28,1028.5,-817.67,PA0_CONT_XAUUSD_H1_paf
CONT,XAUUSD,H1,true,1.05,4571.49,3.18,45.22,1439.0,39.82,1206.76,-556.42,PA0_CONT_XAUUSD_H1_pat
CONT,XAUUSD,H4,false,1.01,1467.38,2.13,52.57,690.0,43.19,1589.56,-1278.9,PA0_CONT_XAUUSD_H4_paf
CONT,XAUUSD,H4,true,0.94,-3207.96,-8.46,54.71,379.0,41.42,1093.06,-1257.59,PA0_CONT_XAUUSD_H4_pat
CONT,GBPUSD,H1,false,0.92,-5567.78,-2.01,70.72,2766.0,38.0,225.1,-230.0,PA0_CONT_GBPUSD_H1_paf
CONT,GBPUSD,H1,true,0.94,-2299.38,-1.48,37.78,1551.0,37.78,232.38,-196.32,PA0_CONT_GBPUSD_H1_pat
REV,EURUSD,H1,false,0.9,-3685.64,-1.82,38.71,2029.0,37.26,175.04,-111.6,PA0_REV_EURUSD_H1_paf
REV,EURUSD,H1,true,0.85,-1035.79,-2.98,14.01,347.0,33.72,148.5,-100.11,PA0_REV_EURUSD_H1_pat
REV,AUDNZD,H1,false,0.74,-4252.53,-2.6,43.92,1635.0,33.09,76.87,-61.09,PA0_REV_AUDNZD_H1_paf
REV,AUDNZD,H1,true,0.66,-882.13,-3.84,9.02,230.0,31.3,41.6,-37.35,PA0_REV_AUDNZD_H1_pat
REV,EURGBP,H1,false,0.94,-1932.5,-0.94,28.82,2053.0,38.38,263.44,-137.17,PA0_REV_EURGBP_H1_paf
REV,EURGBP,H1,true,1.03,140.2,0.49,7.63,286.0,38.46,197.2,-85.42,PA0_REV_EURGBP_H1_pat
