time,profit
2025.01.03 15:38:40,13.64
2025.01.06 06:22:40,24.20
2025.01.06 15:44:40,17.90
2025.01.07 07:39:40,32.20
2025.01.07 15:57:40,61.20
2025.01.08 16:31:40,57.78
2025.01.09 13:29:20,29.05
2025.01.10 16:01:20,92.34
2025.01.10 16:18:40,122.15
2025.01.10 16:18:40,156.87
2025.01.10 16:18:40,-226.60
2025.01.16 13:34:40,22.18
2025.01.16 15:50:40,17.56
2025.01.20 01:23:40,18.10
2025.01.21 04:05:40,70.85
2025.01.21 04:12:40,18.57
2025.01.21 18:19:40,110.74
2025.01.22 03:07:40,120.70
2025.01.22 03:08:40,27.16
2025.01.22 07:29:40,51.66
2025.01.24 04:38:40,187.11
2025.01.24 04:38:40,105.93
2025.01.24 05:04:40,43.68
2025.01.24 05:04:40,136.44
2025.01.24 05:04:40,-330.92
2025.01.29 03:02:40,10.76
2025.01.30 10:52:40,26.73
2025.01.30 10:55:40,20.23
2025.01.30 14:04:40,1.80
2025.01.30 15:01:40,19.25
2025.01.30 15:01:40,28.95
2025.01.30 15:01:40,51.36
2025.02.03 03:11:40,12.76
2025.02.03 03:17:20,20.34
2025.02.03 14:42:40,24.40
2025.02.03 16:55:40,38.52
2025.02.04 15:20:40,41.48
2025.02.04 15:23:40,55.50
2025.02.05 07:43:40,19.23
2025.02.05 10:43:40,58.94
2025.02.05 17:46:40,21.88
2025.02.06 17:00:40,69.56
2025.02.07 02:26:40,19.15
2025.02.07 03:18:40,14.30
2025.02.07 17:31:40,36.60
2025.02.07 17:31:40,76.30
2025.02.10 06:13:40,61.25
2025.02.10 10:44:20,103.04
2025.02.10 11:06:40,91.90
2025.02.11 02:51:40,172.17
2025.02.11 03:52:40,238.91
2025.02.12 03:32:40,117.96
2025.02.12 15:30:40,141.48
2025.02.13 05:20:40,196.56
2025.02.14 08:46:40,213.24
2025.02.18 05:11:40,-159.60
2025.02.18 05:11:40,-124.65
2025.02.18 05:11:40,-235.80
2025.02.18 05:11:40,-131.29
2025.02.25 17:21:40,55.29
2025.02.26 03:23:40,39.80
2025.03.13 16:39:40,86.12
2025.03.13 17:41:40,18.90
2025.03.13 17:41:40,14.00
2025.03.14 13:10:40,128.66
2025.03.18 04:57:40,151.36
2025.03.18 07:52:40,47.70
2025.03.18 07:52:40,125.30
2025.03.18 07:52:40,195.30
2025.03.18 07:52:40,-363.15
2025.03.21 16:38:40,23.08
2025.03.21 16:48:40,42.39
2025.03.21 16:50:20,23.26
2025.03.24 13:29:40,7.16
2025.03.25 11:48:20,11.56
2025.03.25 17:03:40,19.04
2025.03.26 06:11:40,-0.15
2025.03.26 10:46:40,8.00
2025.03.27 05:31:20,11.73
2025.03.27 13:07:00,29.10
2025.03.28 05:07:40,74.37
2025.03.28 08:47:20,98.80
2025.03.31 05:22:40,120.82
2025.03.31 07:51:40,187.10
2025.04.01 04:01:40,150.71
2025.04.03 02:07:00,48.72
2025.04.03 13:34:40,-301.45
2025.04.03 13:34:40,-170.16
2025.04.03 13:34:40,-171.12
2025.04.03 13:34:40,-93.24
2025.04.08 16:17:40,18.40
2025.04.09 14:20:40,46.06
2025.04.09 14:20:40,57.54
2025.04.09 14:20:40,44.38
2025.04.10 17:25:20,36.64
2025.04.10 18:29:40,45.09
2025.04.11 03:24:40,39.47
2025.04.11 03:43:40,46.44
2025.04.11 13:14:40,29.43
2025.04.16 01:39:40,38.96
2025.04.16 01:51:20,32.84
2025.04.16 02:36:40,36.99
2025.04.16 02:37:20,13.63
2025.04.16 05:07:40,10.08
2025.04.16 05:07:40,10.63
2025.04.17 03:31:20,10.16
2025.04.17 08:10:20,5.58
2025.04.21 03:43:40,16.02
2025.04.21 12:13:20,143.79
2025.04.21 14:43:40,94.30
2025.04.21 14:43:40,105.68
2025.04.21 14:43:40,-216.22
2025.04.24 04:17:40,113.82
2025.04.25 08:34:40,57.68
2025.05.01 03:24:40,81.90
2025.05.01 03:24:40,236.24
2025.05.01 14:47:20,76.25
2025.05.01 14:49:40,19.80
2025.05.01 14:49:40,129.40
2025.05.01 14:49:40,-454.65
2025.05.01 14:49:40,70.83
2025.05.06 04:08:40,39.68
2025.05.06 10:34:40,39.36
2025.05.06 10:34:40,61.32
2025.05.08 09:14:40,40.50
2025.05.08 19:11:40,108.35
2025.05.08 19:19:40,71.62
2025.05.09 05:13:20,166.05
2025.05.12 10:01:40,236.53
2025.05.12 10:01:40,94.50
2025.05.12 10:01:40,305.24
2025.05.12 10:01:40,-447.24
2025.05.15 09:03:40,22.77
2025.05.15 09:03:40,58.08
2025.05.15 09:03:40,50.28
2025.05.15 15:54:40,10.17
2025.05.16 13:50:40,58.86
2025.05.20 16:59:40,134.07
2025.05.20 20:53:40,25.70
2025.05.20 20:53:40,193.20
2025.05.20 20:53:40,-249.32
2025.05.20 20:53:40,36.40
2025.05.23 12:24:40,14.48
2025.05.23 15:37:40,82.95
2025.05.23 16:01:40,75.28
2025.05.27 08:46:40,94.16
2025.05.27 10:55:20,215.46
2025.06.02 10:16:40,41.20
2025.06.05 14:15:20,137.58
2025.06.05 17:05:40,-420.84
2025.06.05 17:05:40,104.67
2025.06.05 17:05:40,-536.27
2025.06.05 17:05:40,-81.43
2025.06.10 15:27:40,15.32
2025.06.11 15:30:40,59.25
2025.06.11 15:30:40,31.52
2025.06.12 13:36:40,73.28
2025.06.13 03:02:40,82.60
2025.06.13 03:07:40,105.99
2025.06.24 09:34:40,-434.96
2025.06.24 09:34:40,-293.82
2025.06.24 09:34:40,-18.58
2025.06.24 09:34:40,-12.40
2025.06.27 06:41:20,21.35
2025.06.27 06:57:40,43.70
2025.06.27 17:15:00,7.02
2025.06.30 01:22:40,38.12
2025.06.30 22:18:40,24.74
2025.07.01 01:50:40,37.14
2025.07.01 01:50:40,26.00
2025.07.01 01:52:40,24.64
2025.07.01 08:13:40,9.88
2025.07.01 20:18:40,11.07
2025.07.03 01:14:40,23.68
2025.07.03 15:30:40,23.65
2025.07.07 04:12:40,93.70
2025.07.14 02:00:40,31.28
2025.07.14 02:12:40,42.39
2025.07.15 16:26:40,135.90
2025.07.21 15:18:40,58.40
2025.07.21 15:34:40,113.40
2025.07.22 02:36:40,64.00
2025.07.22 02:36:40,97.92
2025.07.22 02:36:40,-510.12
2025.07.22 02:36:40,-419.70
2025.07.25 12:10:40,14.60
2025.07.28 16:53:40,33.38
2025.07.30 18:20:40,37.10
2025.07.30 21:52:40,75.95
2025.07.30 21:52:40,128.70
2025.07.30 21:52:40,80.20
2025.07.30 21:52:40,-174.09
2025.08.04 16:52:40,48.66
2025.08.05 02:32:40,15.54
2025.08.05 09:45:40,13.62
2025.08.05 17:56:20,45.22
2025.08.12 17:15:40,64.36
2025.08.13 11:44:40,36.05
2025.08.14 10:52:40,41.58
2025.08.14 19:16:40,68.16
2025.08.18 02:17:40,124.11
2025.08.22 17:30:40,268.08
2025.08.28 15:08:40,89.80
2025.08.28 19:30:40,73.62
2025.08.29 16:51:40,135.68
2025.08.29 22:51:40,948.24
2025.09.01 01:05:00,329.20
2025.09.01 01:05:00,-719.80
2025.09.01 01:05:00,-1044.90
2025.09.05 15:30:40,24.32
2025.09.05 16:46:40,14.06
2025.09.09 08:40:40,-386.85
2025.09.09 08:40:40,257.20
2025.09.09 08:40:40,-374.46
2025.09.09 08:40:40,-256.18
2025.09.12 15:06:20,8.12
2025.09.15 16:40:40,21.39
2025.09.15 18:48:40,41.18
2025.09.16 03:57:40,113.50
2025.09.16 11:10:40,38.43
2025.09.17 10:29:40,130.77
2025.09.17 21:01:40,87.93
2025.09.18 16:44:40,13.16
2025.09.18 16:44:40,266.13
2025.09.19 03:13:20,39.12
2025.09.19 18:23:40,195.96
2025.09.22 09:34:40,198.80
2025.09.22 09:50:20,522.96
2025.09.22 18:29:40,135.68
2025.09.22 18:29:40,226.68
2025.09.22 18:29:40,-842.58
2025.09.22 18:29:40,-99.70
2025.09.24 22:23:20,41.79
2025.09.25 16:44:40,13.38
2025.09.25 23:47:40,22.05
2025.09.26 17:09:40,62.64
2025.09.29 05:20:40,65.24
2025.09.29 07:38:40,43.40
2025.09.29 09:15:40,116.79
2025.09.29 19:16:40,78.20
2025.09.30 03:25:20,105.92
2025.10.01 05:05:40,78.84
2025.10.01 05:05:40,82.96
2025.10.06 02:02:40,67.68
2025.10.06 08:07:40,151.89
2025.10.06 17:33:40,164.08
2025.10.07 16:02:40,181.90
2025.10.07 18:19:20,194.32
2025.10.08 05:49:40,164.64
2025.10.08 07:02:40,325.98
2025.10.08 12:45:40,311.04
2025.10.08 12:46:40,296.64
2025.10.08 12:46:40,-619.90
2025.10.08 12:46:40,-304.16
2025.10.10 18:25:20,25.85
2025.10.13 16:10:40,42.44
2025.10.13 16:10:40,36.08
2025.10.13 20:23:40,8.68
2025.10.14 02:33:40,21.22
2025.10.14 08:07:40,55.54
2025.10.14 08:10:40,25.23
2025.10.14 08:10:40,38.93
2025.10.15 09:43:40,30.62
2025.10.16 05:06:40,42.56
2025.10.16 05:41:40,27.09
2025.10.17 01:10:40,64.60
2025.10.17 01:19:20,84.72
2025.10.20 22:13:20,61.35
2025.10.20 22:13:20,34.88
2025.10.20 22:13:20,33.96
2025.10.21 15:14:20,149.70
2025.10.21 16:02:40,157.82
2025.10.21 16:37:40,-153.37
2025.10.24 01:03:40,17.28
2025.10.27 11:55:40,122.04
2025.10.27 14:37:40,154.02
2025.10.27 17:16:40,174.32
2025.10.28 09:40:40,127.65
2025.10.28 12:08:40,138.30
2025.10.29 01:01:00,-255.95
2025.10.29 01:01:00,-234.56
2025.10.29 01:01:00,-385.64
2025.10.29 01:01:00,-189.08
2025.11.06 03:04:40,7.41
2025.11.06 09:20:40,73.16
2025.11.10 03:19:40,55.84
2025.11.10 06:09:40,119.73
2025.11.10 14:17:40,277.90
2025.11.10 20:15:40,116.01
2025.11.10 20:17:40,229.18
2025.11.10 20:48:20,-505.92
2025.11.10 20:48:20,-152.09
2025.11.13 10:03:40,51.94
2025.11.13 10:08:40,58.50
2025.11.13 10:08:40,31.96
2025.11.17 21:32:40,59.67
2025.11.17 21:32:40,75.76
2025.11.17 21:32:40,10.67
2025.11.18 22:00:40,41.96
2025.11.19 11:47:40,76.06
2025.11.19 11:57:40,69.75
2025.11.24 20:37:40,48.18
2025.11.25 01:51:40,122.54
2025.11.25 04:44:40,166.30
2025.11.25 06:05:40,23.04
2025.11.28 02:34:40,251.86
2025.11.28 16:19:20,291.60
2025.11.28 18:20:20,125.76
2025.11.28 18:20:20,305.28
2025.11.28 18:20:20,-653.36
2025.11.28 18:20:20,-175.25
2025.12.04 07:53:20,18.92
2025.12.05 10:32:40,2.56
2025.12.05 17:32:40,25.70
2025.12.10 22:07:40,90.00
2025.12.11 20:05:40,211.40
2025.12.12 12:36:40,159.12
2025.12.22 04:51:40,248.68
2025.12.22 05:37:20,19.04
2025.12.22 05:37:20,-638.79
2025.12.22 05:37:20,-419.58
2025.12.22 05:37:20,-185.00
2025.12.29 09:03:40,142.44
2025.12.29 15:43:20,145.95
2025.12.29 15:43:20,-184.30
2025.12.29 15:43:20,38.82
2026.01.02 07:11:40,35.92
2026.01.02 07:11:40,15.24
2026.01.02 07:11:40,51.40
2026.01.02 07:11:40,33.86
2026.01.05 12:38:40,12.12
2026.01.05 12:38:40,73.96
2026.01.05 12:38:40,43.98
2026.01.08 22:25:40,26.84
2026.01.09 17:22:40,128.58
2026.01.12 01:05:40,77.65
2026.01.12 01:29:40,217.44
2026.01.12 15:51:40,185.84
2026.01.13 01:05:40,30.60
2026.01.20 06:35:40,246.40
2026.01.20 11:29:40,426.00
2026.01.20 11:29:40,148.32
2026.01.21 01:44:40,-696.82
2026.01.21 01:44:40,-325.84
2026.01.27 22:05:40,84.62
2026.01.27 22:05:40,51.87
2026.01.28 07:10:40,49.50
2026.01.28 07:10:40,84.79
2026.01.28 09:16:40,7.03
2026.01.30 10:33:40,333.12
2026.01.30 10:33:40,358.02
2026.01.30 10:33:40,-436.45
2026.02.04 04:02:40,30.06
2026.02.04 04:02:40,126.80
2026.02.06 01:49:40,141.85
2026.02.11 13:28:40,86.96
2026.02.12 03:12:40,72.20
2026.02.12 18:14:40,159.09
2026.02.12 18:26:40,-895.60
2026.02.12 18:26:40,-370.78
2026.02.18 09:14:40,23.26
2026.02.18 16:46:40,67.92
2026.02.18 16:46:40,53.81
2026.02.20 11:04:40,45.40
2026.02.20 19:49:40,39.68
2026.02.20 19:49:40,55.54
2026.02.24 15:48:40,20.56
2026.02.27 18:13:40,166.44
2026.02.27 18:13:40,91.64
2026.03.02 01:10:00,169.83
2026.03.02 01:10:00,-1210.80
2026.03.10 11:30:40,246.96
2026.03.10 16:01:40,39.60
2026.03.10 16:26:40,52.18
2026.03.10 21:19:40,-176.40
2026.03.13 17:52:40,94.16
2026.03.13 17:56:40,57.96
2026.03.16 02:22:40,188.90
2026.03.16 12:45:40,63.75
2026.03.16 12:45:40,225.08
2026.03.16 12:45:40,-439.71
2026.03.16 12:45:40,106.51
2026.03.19 09:35:40,58.14
2026.03.19 09:35:40,78.73
2026.03.19 10:25:40,3.90
2026.03.23 03:03:40,428.76
2026.03.23 03:35:40,530.40
2026.03.23 04:22:40,-558.08
2026.03.23 04:22:40,-255.73
2026.03.26 23:06:20,59.34
2026.03.26 23:06:20,71.28
2026.03.31 04:40:40,183.54
2026.03.31 17:00:40,54.95
2026.03.31 17:00:40,186.88
2026.03.31 17:00:40,-369.16
2026.03.31 17:00:40,92.05
2026.04.07 22:20:40,19.38
2026.04.07 22:20:40,101.88
2026.04.08 01:01:00,102.10
2026.04.08 03:01:40,35.04
2026.04.08 03:01:40,195.08
2026.04.08 03:01:40,-186.61
2026.04.14 10:00:40,50.18
2026.04.15 04:11:40,95.68
2026.04.15 04:16:40,84.39
2026.04.17 16:10:40,77.12
2026.04.20 02:39:20,-570.55
2026.04.20 02:39:20,-485.08
2026.04.20 02:39:20,86.55
2026.04.20 02:39:20,-45.17
2026.04.24 17:09:40,53.18
2026.04.28 08:36:40,33.53
2026.04.28 08:40:40,104.36
2026.04.28 08:40:40,135.66
2026.04.28 14:48:40,337.85
2026.04.28 16:08:40,86.50
2026.04.28 16:42:40,-548.56
2026.05.01 05:17:40,17.28
2026.05.01 10:51:40,46.16
2026.05.01 11:25:20,78.51
2026.05.01 12:01:40,11.30
2026.05.01 12:01:40,46.00
2026.05.01 12:01:40,-56.43
2026.05.06 04:31:40,21.69
2026.05.06 04:31:40,63.60
2026.05.06 04:31:40,46.57
2026.05.06 05:13:40,8.31
2026.05.08 01:45:40,54.14
2026.05.11 08:55:40,83.02
2026.05.12 01:46:40,87.00
2026.05.12 01:46:40,43.88
2026.05.12 01:46:40,18.77
2026.05.15 03:40:40,62.54
2026.05.15 11:17:40,118.88
2026.05.15 12:14:40,94.20
2026.05.15 12:14:40,36.54
2026.05.15 12:14:40,-171.24
2026.05.20 04:36:40,29.44
2026.05.25 01:05:40,82.64
2026.05.25 02:07:40,84.32
2026.05.26 21:02:40,75.87
2026.05.27 06:58:40,10.22
2026.05.27 13:39:40,124.46
2026.05.27 13:46:40,48.71
2026.05.27 14:30:40,-712.90
2026.05.27 14:30:40,-534.48
2026.05.29 23:58:59,-30.74
