source_path,source_file,strategy,symbol,Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpSwingPeriod,InpRiskReward,InpLotMultiplier,InpMinGapPts,InpTakeProfitUSD,InpDailyTargetUSD,InpSLBufferPts,InpMaxRecoverySteps,reject_reasons,score,risk_adjusted_score,risk_band,selection_flag,plan_reject_reasons,Result,Custom,InpCooldownBarsAfterStop
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_2_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_2_raw,,1568.0,10074.07,21.711358,1.442046,4.513068,4.146669,10.6026,464.0,5.0,1.8,1.5,300.0,130.0,140.0,25.0,,,,85.9,Conservative,True,,20074.07,0.0,40.0
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2295.0,15819.1,22.992878,1.400321,5.18416,4.277232,11.7964,688.0,7.0,2.0,1.2,200.0,160.0,300.0,45.0,7.0,MAX_RECOVERY_STEPS_GT_3,123.1284,84.57,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2295.0,15819.1,22.992878,1.400321,5.18416,4.277232,11.7964,688.0,7.0,2.0,1.2,200.0,160.0,300.0,45.0,7.0,,173.1284,84.57,Conservative,True,MAX_RECOVERY_STEPS_GT_3;DAILY_TARGET_WAS_OPTIMIZED;SL_BUFFER_OUT_OF_SAFE_RANGE,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,2295.0,15819.1,22.992878,1.400321,5.18416,4.277232,11.7964,688.0,7.0,2.0,1.2,200.0,160.0,300.0,45.0,7.0,MAX_RECOVERY_STEPS_GT_3,123.1284,84.57,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,2295.0,15819.1,22.992878,1.400321,5.18416,4.277232,11.7964,688.0,7.0,2.0,1.2,200.0,160.0,300.0,45.0,7.0,,,84.57,Conservative,True,,25819.1,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_optimizer_parsed.csv,pass_1_optimizer_parsed.csv,analyzed,,2395.0,15817.42,22.957068,1.401633,5.18259,4.297886,11.799,689.0,7.0,2.0,1.2,200.0,160.0,300.0,15.0,7.0,MAX_RECOVERY_STEPS_GT_3,123.3676,84.57,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_plan_rejected.csv,pass_1_plan_rejected.csv,analyzed,,2395.0,15817.42,22.957068,1.401633,5.18259,4.297886,11.799,689.0,7.0,2.0,1.2,200.0,160.0,300.0,15.0,7.0,,173.3676,84.57,Conservative,True,MAX_RECOVERY_STEPS_GT_3;DAILY_TARGET_WAS_OPTIMIZED,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_rejected_risk_violations.csv,pass_1_rejected_risk_violations.csv,analyzed,,2395.0,15817.42,22.957068,1.401633,5.18259,4.297886,11.799,689.0,7.0,2.0,1.2,200.0,160.0,300.0,15.0,7.0,MAX_RECOVERY_STEPS_GT_3,123.3676,84.57,Conservative,True,,,,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\raw_results\pass_1_raw\ReportOptimizer-146237.xml,ReportOptimizer-146237.xml,pass_1_raw,,2395.0,15817.42,22.957068,1.401633,5.18259,4.297886,11.799,689.0,7.0,2.0,1.2,200.0,160.0,300.0,15.0,7.0,,,84.57,Conservative,True,,25817.42,0.0,
C:\Users\patip\OneDrive\.Codex\EA_LAB\ea_projects\Gold SMC continuous\optimization\analyzed\pass_1_valid_candidates.csv,pass_1_valid_candidates.csv,analyzed,,1074.0,8479.05,17.164069,1.285731,4.128932,2.92494,11.3402,494.0,7.0,2.0,2.0,150.0,160.0,260.0,15.0,3.0,,133.8724,83.2,Conservative,True,,,,
