countbars,symbol,tf,window,pf,net,eqdd_pct,trades,quality,report_sha256,eligible
1,GBPUSD,H4,MAIN,1.01,9.1,1.07,210,99%,c75754792fc54b4bac862ba964d406f2767974e35f29ca8f153498a97530f025,True
1,GBPUSD,H4,BWD,1.11,123.58,2.0,217,99%,510fc7c7732e959349d05e522ef3b44a4da8b9422f0c27b30d849c9dbb6da175,True
1,USDJPY,H4,MAIN,1.1,79.13,1.96,199,100%,4808f15f4ffb7065d2f13c1640059d487e4d0501a34e9e23ea8d9155eb60575f,True
1,USDJPY,H4,BWD,0.91,-60.46,1.18,196,99%,fb7c8ea5cb922e9a02546cd09e09a73695f6cd8346947ffd76ffa43bad5536f5,True
1,EURUSD,H4,MAIN,0.87,-95.73,1.5,203,100%,dbcc565e39933a4e338ebbb489a38c34548c96b88a43ce24b67abfa694fa0d4e,True
1,EURUSD,H4,BWD,1.12,91.93,1.11,212,99%,6eef87cfa77e0f3c86fc2744b206aa47fc555651540ddf35a5ba9ce176990260,True
3,GBPUSD,H4,MAIN,1.13,104.81,1.53,213,99%,2f3e5f4941d51a4f4b00cf7e2e2bd660d6428743ad7a8f23227aed73b8d9748c,True
3,GBPUSD,H4,BWD,1.47,424.0,1.03,212,99%,0d9b026aa41771d10e82d9f6f6febe3efb5676fc770a7fa7380af16fea898eda,True
3,USDJPY,H4,MAIN,1.2,144.16,1.71,187,100%,ae70129563d9e723cc9bb44ce72b69c7694eaa47d61a405c3f2291ce3cbe5113,True
3,USDJPY,H4,BWD,0.85,-104.03,1.61,198,99%,2ab515bd680f8e1959c06a966359f479068b7cffc0d3d1c018b357d1ea62643b,True
3,EURUSD,H4,MAIN,0.92,-52.42,1.32,202,100%,1181ab6308b6a99b9f799343af1ccaa92411651ee7fd9ee8d876a19aa68ffa30,True
3,EURUSD,H4,BWD,1.27,184.71,0.86,211,99%,007e07f43bf613b6deb7caefe14892ee480ba7135d6023da5dc753ff7026fcdb,True
