countbars,symbol,window,parent_pf,child_pf,delta_pf,parent_net,child_net,delta_net,parent_eqdd_pct,child_eqdd_pct,parent_trades,child_trades
1,GBPUSD,MAIN,1.1,1.01,-0.09,,9.1,,0.97,1.07,214,210
1,GBPUSD,BWD,1.07,1.11,0.04,,123.58,,1.83,2.0,218,217
1,USDJPY,MAIN,1.24,1.1,-0.14,173.71,79.13,-94.58,1.45,1.96,199,199
1,USDJPY,BWD,0.97,0.91,-0.06,-18.83,-60.46,-41.63,1.61,1.18,204,196
1,EURUSD,MAIN,0.96,0.87,-0.09,-30.63,-95.73,-65.1,0.97,1.5,206,203
1,EURUSD,BWD,1.25,1.12,-0.13,179.25,91.93,-87.32,0.92,1.11,217,212
3,GBPUSD,MAIN,1.1,1.13,0.03,,104.81,,0.97,1.53,214,213
3,GBPUSD,BWD,1.07,1.47,0.4,,424.0,,1.83,1.03,218,212
3,USDJPY,MAIN,1.24,1.2,-0.04,173.71,144.16,-29.55,1.45,1.71,199,187
3,USDJPY,BWD,0.97,0.85,-0.12,-18.83,-104.03,-85.2,1.61,1.61,204,198
3,EURUSD,MAIN,0.96,0.92,-0.04,-30.63,-52.42,-21.79,0.97,1.32,206,202
3,EURUSD,BWD,1.25,1.27,0.02,179.25,184.71,5.46,0.92,0.86,217,211
