countbars,symbol,window,year,trades,pf,net
1,GBPUSD,MAIN,2023,65,0.9612231708561516,-11.4
1,GBPUSD,MAIN,2024,68,0.8676340185409109,-32.84
1,GBPUSD,MAIN,2025,77,1.1786695250217725,53.34
1,GBPUSD,BWD,2020,74,1.1627199708871618,62.6
1,GBPUSD,BWD,2021,68,1.1590476945016637,40.15
1,GBPUSD,BWD,2022,75,1.0473301522381278,20.83
1,USDJPY,MAIN,2023,68,1.31161272562822,79.24
1,USDJPY,MAIN,2024,61,0.7084846823384278,-85.07
1,USDJPY,MAIN,2025,70,1.3409720271300718,84.96
1,USDJPY,BWD,2020,64,0.8889623577197374,-23.51
1,USDJPY,BWD,2021,57,0.9125175432734077,-13.09
1,USDJPY,BWD,2022,75,0.9310643707384721,-23.86
1,EURUSD,MAIN,2023,67,0.886511859759897,-27.32
1,EURUSD,MAIN,2024,67,1.022713490269585,4.12
1,EURUSD,MAIN,2025,69,0.7595318612824083,-72.53
1,EURUSD,BWD,2020,71,1.3239233638521533,76.42
1,EURUSD,BWD,2021,70,0.8484790419161676,-31.63
1,EURUSD,BWD,2022,71,1.1588756698459777,47.14
3,GBPUSD,MAIN,2023,71,1.7591473791695031,178.43
3,GBPUSD,MAIN,2024,70,0.9189760357271024,-20.32
3,GBPUSD,MAIN,2025,72,0.827725524419018,-53.3
3,GBPUSD,BWD,2020,70,1.5027853867224772,163.36
3,GBPUSD,BWD,2021,70,0.9959730560843463,-1.1
3,GBPUSD,BWD,2022,72,1.8461240059481479,261.74
3,USDJPY,MAIN,2023,64,1.5496997998665778,123.6
3,USDJPY,MAIN,2024,65,0.6746136297914725,-101.27
3,USDJPY,MAIN,2025,58,1.6367532535410028,121.83
3,USDJPY,BWD,2020,68,0.7514470842332613,-57.54
3,USDJPY,BWD,2021,66,0.8096399535423927,-32.78
3,USDJPY,BWD,2022,64,0.9549042826129861,-13.71
3,EURUSD,MAIN,2023,77,0.710768703989043,-84.47
3,EURUSD,MAIN,2024,62,0.838523131672598,-29.04
3,EURUSD,MAIN,2025,63,1.2855740463724756,61.09
3,EURUSD,BWD,2020,69,1.5549905274703357,111.32
3,EURUSD,BWD,2021,72,0.9457551826258638,-10.99
3,EURUSD,BWD,2022,70,1.3057689520220321,84.38
