variant,context,window,full_window_eligible,cycle_count,closed_ticket_count,max_simultaneous_positions,max_basket_depth,configured_cap_overlay,cap_contact_overlay,parser_configured_cap_raw,parser_cap_contact_raw,max_aggregate_lots,max_entry_price_span,active_time_share,multi_entry_gp_share,top_profitable_cycle_gp_share,directions
BASKETTP_OFF,EUR_H4,BWD,True,3,12,6,6,10,False,10,False,0.06,0.13888,0.729576,0.997844,0.00192,buy
BASKETTP_OFF,EUR_H4,MAIN,True,49,52,4,4,10,False,10,False,0.04,0.04701,0.320802,0.834992,0.834992,buy
BASKETTP_OFF,GBP_H4,BWD,True,6,24,8,8,10,False,10,False,0.08,0.23811,0.703944,0.989067,0.00262,buy
BASKETTP_OFF,GBP_H4,MAIN,True,1,3,3,3,10,False,10,False,0.03,0.03063,0.726941,1.0,1.0,buy
BASKETTP_OFF,USDJPY_H1,BWD,True,17,21,3,3,10,False,10,False,0.03,7.287,0.720458,0.985535,0.985535,buy
BASKETTP_OFF,USDJPY_H1,MAIN,True,9,10,2,2,10,False,10,False,0.02,1.5,0.742242,0.978185,0.978185,buy
BASKETTP_OFF,XAU_H4,BWD,False,2,8,4,4,10,False,10,False,0.04,118.46,0.593089,0.936804,0.063196,buy
BASKETTP_OFF,XAU_H4,MAIN,True,4,5,2,2,10,False,10,False,0.02,5.84,0.706907,0.997136,0.997136,buy
BASKETTP_OFF,XAU_M15,BWD,True,4,31,7,7,10,False,10,False,0.07,102.43,0.745782,0.980805,0.008075,buy
BASKETTP_OFF,XAU_M15,MAIN,True,1,16,10,10,10,True,10,True,0.1,24.81,0.746804,1.0,1.0,buy
DEEP_SPACING_EQUAL,EUR_H4,BWD,True,33,51,6,6,10,False,10,False,0.06,0.23167,0.372669,0.780536,0.178546,buy
DEEP_SPACING_EQUAL,EUR_H4,MAIN,True,60,64,4,4,10,False,10,False,0.04,0.04701,0.12357,0.618267,0.404733,buy
DEEP_SPACING_EQUAL,GBP_H4,BWD,True,22,61,8,8,10,False,10,False,0.08,0.3042,0.346714,0.952029,0.091176,buy
DEEP_SPACING_EQUAL,GBP_H4,MAIN,True,54,60,4,4,10,False,10,False,0.04,0.06084,0.098897,0.632056,0.167196,buy
DEEP_SPACING_EQUAL,USDJPY_H1,BWD,True,243,267,5,5,10,False,10,False,0.05,13.105,0.239258,0.684343,0.109835,buy
DEEP_SPACING_EQUAL,USDJPY_H1,MAIN,True,239,275,7,7,10,False,10,False,0.07,15.627,0.216811,0.746386,0.066432,buy
DEEP_SPACING_EQUAL,XAU_H4,BWD,True,70,164,10,10,10,True,10,True,0.1,200.63,0.108015,0.885282,0.120493,buy
DEEP_SPACING_EQUAL,XAU_H4,MAIN,True,42,80,10,10,10,True,10,True,0.1,88.91,0.038711,0.791234,0.126442,buy
DEEP_SPACING_EQUAL,XAU_M15,BWD,True,392,1583,10,10,10,True,10,True,0.1,145.41,0.378041,0.967107,0.015162,buy
DEEP_SPACING_EQUAL,XAU_M15,MAIN,True,529,1682,10,10,10,True,10,True,0.1,216.05,0.301575,0.935175,0.012056,buy
DEPTH2,EUR_H4,BWD,True,45,54,2,2,2,True,10,False,0.02,0.07922,0.30176,0.778601,0.144402,buy
DEPTH2,EUR_H4,MAIN,True,60,62,2,2,2,True,10,False,0.02,0.01569,0.124092,0.528103,0.264134,buy
DEPTH2,GBP_H4,BWD,True,32,45,2,2,2,True,10,False,0.02,0.14862,0.263607,0.856314,0.111462,buy
DEPTH2,GBP_H4,MAIN,True,54,58,2,2,2,True,10,False,0.02,0.05707,0.104664,0.587468,0.187457,buy
DEPTH2,USDJPY_H1,BWD,True,160,173,2,2,2,True,10,False,0.02,8.996,0.376355,0.689489,0.100462,buy
DEPTH2,USDJPY_H1,MAIN,True,214,235,2,2,2,True,10,False,0.02,13.122,0.264801,0.709503,0.061589,buy
DEPTH2,XAU_H4,BWD,True,68,95,2,2,2,True,10,False,0.02,105.57,0.144251,0.779737,0.041323,buy
DEPTH2,XAU_H4,MAIN,True,33,46,2,2,2,True,10,False,0.02,97.22,0.126118,0.669304,0.069237,buy
DEPTH2,XAU_M15,BWD,True,305,464,2,2,2,True,10,False,0.02,145.84,0.474636,0.899332,0.013444,buy
