variant,context,symbol,tf,source,mechanically_eligible,verdict,parent_main_net,child_main_net,delta_main_net,parent_bwd_net,child_bwd_net,delta_bwd_net,parent_main_dd,child_main_dd,delta_main_dd_pp,parent_bwd_dd,child_bwd_dd,delta_bwd_dd_pp,child_main_pf,child_bwd_pf,child_main_trades,child_bwd_trades,cage_kill_main,cage_kill_bwd
DEPTH2,XAU_H4,XAUUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,707.78,54.39,-653.39,512.69,242.08,-270.61,6.27,5.7,-0.57,8.29,5.36,-2.93,1.11,1.35,46,95,False,False
DEPTH2,USDJPY_H1,USDJPY,H1,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,252.53,261.51,8.98,44.1,69.27,25.17,3.85,2.37,-1.48,2.4,1.49,-0.91,1.88,1.26,235,173,False,False
DEPTH2,XAU_M15,XAUUSD,M15,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,2643.64,1640.02,-1003.62,1002.69,-884.24,-1886.93,11.88,5.43,-6.45,14.86,13.3,-1.56,1.41,0.79,602,464,False,False
DEPTH2,EUR_H4,EURUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,126.54,121.09,-5.45,-553.81,-41.37,512.44,1.42,0.95,-0.47,8.46,2.22,-6.24,485.36,0.85,62,54,False,False
DEPTH2,GBP_H4,GBPUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,115.98,110.28,-5.7,-736.29,-341.47,394.82,1.93,1.42,-0.51,10.61,5.08,-5.53,2.73,0.46,58,45,False,False
DEPTH4,XAU_H4,XAUUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_NOT_FALSIFIED,707.78,667.05,-40.73,512.69,430.67,-82.02,6.27,3.55,-2.72,8.29,7.03,-1.26,7.32,1.46,71,133,False,False
DEPTH4,USDJPY_H1,USDJPY,H1,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,252.53,225.34,-27.19,44.1,-2.84,-46.94,3.85,3.28,-0.57,2.4,2.28,-0.12,1.49,0.99,268,265,False,False
DEPTH4,XAU_M15,XAUUSD,M15,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,2643.64,1969.98,-673.66,1002.69,-324.71,-1327.4,11.88,6.73,-5.15,14.86,17.54,2.68,1.27,0.96,1153,1008,False,False
DEPTH4,EUR_H4,EURUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,126.54,126.54,0.0,-553.81,-448.7,105.11,1.42,1.42,0.0,8.46,6.74,-1.72,6.39,0.28,64,54,False,False
DEPTH4,GBP_H4,GBPUSD,H4,NEW_MATRIX_OR_EXTENSION,True,HYPOTHESIS_FALSIFIED,115.98,115.98,0.0,-736.29,-873.63,-137.34,1.93,1.93,0.0,10.61,11.97,1.36,2.46,0.3,60,50,False,False
