variant,context,window,year,full_window_eligible,cycles,trades,pf,net,active_share,realized_balance_dd
BASKETTP_OFF,EUR_H4,BWD,2020,True,2,2,,0.64,0.006555,0.0
BASKETTP_OFF,EUR_H4,BWD,2021,True,0,0,,0,0.0,0.0
BASKETTP_OFF,EUR_H4,BWD,2022,True,1,10,0.6807,-138.97,0.965325,138.97
BASKETTP_OFF,EUR_H4,MAIN,2023,True,23,23,,23.77,0.015922,0.0
BASKETTP_OFF,EUR_H4,MAIN,2024,True,25,25,91.92,22.73,0.033838,0.2
BASKETTP_OFF,EUR_H4,MAIN,2025,True,1,4,10.1926,213.36,0.377585,0.0
BASKETTP_OFF,GBP_H4,BWD,2020,True,5,5,,6.26,0.003889,0.0
BASKETTP_OFF,GBP_H4,BWD,2021,True,0,0,,0,0.0,0.0
BASKETTP_OFF,GBP_H4,BWD,2022,True,1,19,0.5503,-462.85,0.933847,462.85
BASKETTP_OFF,GBP_H4,MAIN,2023,True,0,0,,0,0.0,0.0
BASKETTP_OFF,GBP_H4,MAIN,2024,True,0,0,,0,0.0,0.0
BASKETTP_OFF,GBP_H4,MAIN,2025,True,1,3,,389.29,0.96837,0.0
BASKETTP_OFF,USDJPY_H1,BWD,2020,True,16,16,0.7324,-3.01,0.013721,11.25
BASKETTP_OFF,USDJPY_H1,BWD,2021,True,0,0,,0,0.0,0.0
BASKETTP_OFF,USDJPY_H1,BWD,2022,True,1,5,4.9677,448.39,0.946013,0.0
BASKETTP_OFF,USDJPY_H1,MAIN,2023,True,8,8,,10.41,0.000538,0.0
BASKETTP_OFF,USDJPY_H1,MAIN,2024,True,0,0,,0,0.0,0.0
BASKETTP_OFF,USDJPY_H1,MAIN,2025,True,1,2,,466.79,0.988215,0.0
BASKETTP_OFF,XAU_H4,BWD,2020,False,1,1,,2.78,8.2e-05,0.0
BASKETTP_OFF,XAU_H4,BWD,2021,False,0,0,,0,0.0,0.0
BASKETTP_OFF,XAU_H4,BWD,2022,False,1,7,0.0252,-1593.19,0.789982,1593.19
BASKETTP_OFF,XAU_H4,MAIN,2023,True,3,3,,9.72,0.002662,0.0
BASKETTP_OFF,XAU_H4,MAIN,2024,True,0,0,,0,0.0,0.0
BASKETTP_OFF,XAU_H4,MAIN,2025,True,1,2,,3384.57,0.939021,0.0
BASKETTP_OFF,XAU_M15,BWD,2020,True,3,3,,4.16,9e-06,0.0
BASKETTP_OFF,XAU_M15,BWD,2021,True,0,0,,0,0.0,0.0
BASKETTP_OFF,XAU_M15,BWD,2022,True,1,28,0.176,-995.04,0.99346,995.04
BASKETTP_OFF,XAU_M15,MAIN,2023,True,0,0,,0,0.0,0.0
