variant,set,context,symbol,tf,window,from,to,report_name,execution_state
DEPTH2,sets/DEPTH2.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_DEPTH2_XAU_H4_MAIN_M1,NEW
DEPTH2,sets/DEPTH2.set,XAU_H4,XAUUSD,H4,BWD,2020.01.01,2022.12.31,B16CHAR_DEPTH2_XAU_H4_BWD_M1,NEW
DEPTH2,sets/DEPTH2.set,USDJPY_H1,USDJPY,H1,MAIN,2023.01.01,2025.12.31,B16CHAR_DEPTH2_USDJPY_H1_MAIN_M1,NEW
DEPTH2,sets/DEPTH2.set,USDJPY_H1,USDJPY,H1,BWD,2020.01.01,2022.12.31,B16CHAR_DEPTH2_USDJPY_H1_BWD_M1,NEW
DEPTH2,sets/DEPTH2.set,XAU_M15,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,B16CHAR_DEPTH2_XAU_M15_MAIN_M1,NEW
DEPTH2,sets/DEPTH2.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_DEPTH2_XAU_M15_BWD_M1,NEW
DEPTH4,sets/DEPTH4.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_DEPTH4_XAU_H4_MAIN_M1,NEW
DEPTH4,sets/DEPTH4.set,XAU_H4,XAUUSD,H4,BWD,2020.01.01,2022.12.31,B16CHAR_DEPTH4_XAU_H4_BWD_M1,NEW
DEPTH4,sets/DEPTH4.set,USDJPY_H1,USDJPY,H1,MAIN,2023.01.01,2025.12.31,B16CHAR_DEPTH4_USDJPY_H1_MAIN_M1,NEW
DEPTH4,sets/DEPTH4.set,USDJPY_H1,USDJPY,H1,BWD,2020.01.01,2022.12.31,B16CHAR_DEPTH4_USDJPY_H1_BWD_M1,NEW
DEPTH4,sets/DEPTH4.set,XAU_M15,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,B16CHAR_DEPTH4_XAU_M15_MAIN_M1,NEW
DEPTH4,sets/DEPTH4.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_DEPTH4_XAU_M15_BWD_M1,NEW
DEPTH5,sets/DEPTH5.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_DEPTH5_XAU_H4_MAIN_M1,NEW
DEPTH5,sets/DEPTH5.set,XAU_H4,XAUUSD,H4,BWD,2020.01.01,2022.12.31,B16CHAR_DEPTH5_XAU_H4_BWD_M1,NEW
DEPTH5,sets/DEPTH5.set,USDJPY_H1,USDJPY,H1,MAIN,2023.01.01,2025.12.31,B16CHAR_DEPTH5_USDJPY_H1_MAIN_M1,NEW
DEPTH5,sets/DEPTH5.set,USDJPY_H1,USDJPY,H1,BWD,2020.01.01,2022.12.31,B16CHAR_DEPTH5_USDJPY_H1_BWD_M1,NEW
DEPTH5,sets/DEPTH5.set,XAU_M15,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,B16CHAR_DEPTH5_XAU_M15_MAIN_M1,NEW
DEPTH5,sets/DEPTH5.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_DEPTH5_XAU_M15_BWD_M1,NEW
SINGLETP_OFF,sets/SINGLETP_OFF.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_SINGLETP_OFF_XAU_H4_MAIN_M1,NEW
SINGLETP_OFF,sets/SINGLETP_OFF.set,XAU_H4,XAUUSD,H4,BWD,2020.01.01,2022.12.31,B16CHAR_SINGLETP_OFF_XAU_H4_BWD_M1,NEW
SINGLETP_OFF,sets/SINGLETP_OFF.set,USDJPY_H1,USDJPY,H1,MAIN,2023.01.01,2025.12.31,B16CHAR_SINGLETP_OFF_USDJPY_H1_MAIN_M1,NEW
SINGLETP_OFF,sets/SINGLETP_OFF.set,USDJPY_H1,USDJPY,H1,BWD,2020.01.01,2022.12.31,B16CHAR_SINGLETP_OFF_USDJPY_H1_BWD_M1,NEW
SINGLETP_OFF,sets/SINGLETP_OFF.set,XAU_M15,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,B16CHAR_SINGLETP_OFF_XAU_M15_MAIN_M1,NEW
SINGLETP_OFF,sets/SINGLETP_OFF.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_SINGLETP_OFF_XAU_M15_BWD_M1,NEW
BASKETTP_OFF,sets/BASKETTP_OFF.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_BASKETTP_OFF_XAU_H4_MAIN_M1,NEW
BASKETTP_OFF,sets/BASKETTP_OFF.set,XAU_H4,XAUUSD,H4,BWD,2020.01.01,2022.12.31,B16CHAR_BASKETTP_OFF_XAU_H4_BWD_M1,NEW
BASKETTP_OFF,sets/BASKETTP_OFF.set,USDJPY_H1,USDJPY,H1,MAIN,2023.01.01,2025.12.31,B16CHAR_BASKETTP_OFF_USDJPY_H1_MAIN_M1,NEW
BASKETTP_OFF,sets/BASKETTP_OFF.set,USDJPY_H1,USDJPY,H1,BWD,2020.01.01,2022.12.31,B16CHAR_BASKETTP_OFF_USDJPY_H1_BWD_M1,NEW
BASKETTP_OFF,sets/BASKETTP_OFF.set,XAU_M15,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,B16CHAR_BASKETTP_OFF_XAU_M15_MAIN_M1,NEW
BASKETTP_OFF,sets/BASKETTP_OFF.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_BASKETTP_OFF_XAU_M15_BWD_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_OVERLAP_OFF_XAU_H4_MAIN_M1,REUSED_ACCEPTED
OVERLAP_OFF,sets/OVERLAP_OFF.set,XAU_H4,XAUUSD,H4,BWD,2020.01.01,2022.12.31,B16CHAR_OVERLAP_OFF_XAU_H4_BWD_M1,REUSED_ACCEPTED
OVERLAP_OFF,sets/OVERLAP_OFF.set,USDJPY_H1,USDJPY,H1,MAIN,2023.01.01,2025.12.31,B16CHAR_OVERLAP_OFF_USDJPY_H1_MAIN_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,USDJPY_H1,USDJPY,H1,BWD,2020.01.01,2022.12.31,B16CHAR_OVERLAP_OFF_USDJPY_H1_BWD_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,XAU_M15,XAUUSD,M15,MAIN,2023.01.01,2025.12.31,B16CHAR_OVERLAP_OFF_XAU_M15_MAIN_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,XAU_M15,XAUUSD,M15,BWD,2020.01.01,2022.12.31,B16CHAR_OVERLAP_OFF_XAU_M15_BWD_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,XAU_H4,XAUUSD,H4,MAIN,2023.01.01,2025.12.31,B16CHAR_PIPFLOOR_OFF_XAU_H4_MAIN_M1,NEW
