variant,set,context,symbol,tf,window,from,to,report_name,execution_state
DEPTH2,sets/DEPTH2.set,EUR_H4,EURUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_DEPTH2_EUR_H4_MAIN_M1,NEW
DEPTH2,sets/DEPTH2.set,EUR_H4,EURUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_DEPTH2_EUR_H4_BWD_M1,NEW
DEPTH2,sets/DEPTH2.set,GBP_H4,GBPUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_DEPTH2_GBP_H4_MAIN_M1,NEW
DEPTH2,sets/DEPTH2.set,GBP_H4,GBPUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_DEPTH2_GBP_H4_BWD_M1,NEW
DEPTH4,sets/DEPTH4.set,EUR_H4,EURUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_DEPTH4_EUR_H4_MAIN_M1,NEW
DEPTH4,sets/DEPTH4.set,EUR_H4,EURUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_DEPTH4_EUR_H4_BWD_M1,NEW
DEPTH4,sets/DEPTH4.set,GBP_H4,GBPUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_DEPTH4_GBP_H4_MAIN_M1,NEW
DEPTH4,sets/DEPTH4.set,GBP_H4,GBPUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_DEPTH4_GBP_H4_BWD_M1,NEW
DEPTH5,sets/DEPTH5.set,EUR_H4,EURUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_DEPTH5_EUR_H4_MAIN_M1,NEW
DEPTH5,sets/DEPTH5.set,EUR_H4,EURUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_DEPTH5_EUR_H4_BWD_M1,NEW
DEPTH5,sets/DEPTH5.set,GBP_H4,GBPUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_DEPTH5_GBP_H4_MAIN_M1,NEW
DEPTH5,sets/DEPTH5.set,GBP_H4,GBPUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_DEPTH5_GBP_H4_BWD_M1,NEW
SINGLETP_OFF,sets/SINGLETP_OFF.set,EUR_H4,EURUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_SINGLETP_OFF_EUR_H4_MAIN_M1,NEW
SINGLETP_OFF,sets/SINGLETP_OFF.set,EUR_H4,EURUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_SINGLETP_OFF_EUR_H4_BWD_M1,NEW
SINGLETP_OFF,sets/SINGLETP_OFF.set,GBP_H4,GBPUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_SINGLETP_OFF_GBP_H4_MAIN_M1,NEW
SINGLETP_OFF,sets/SINGLETP_OFF.set,GBP_H4,GBPUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_SINGLETP_OFF_GBP_H4_BWD_M1,NEW
BASKETTP_OFF,sets/BASKETTP_OFF.set,EUR_H4,EURUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_BASKETTP_OFF_EUR_H4_MAIN_M1,NEW
BASKETTP_OFF,sets/BASKETTP_OFF.set,EUR_H4,EURUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_BASKETTP_OFF_EUR_H4_BWD_M1,NEW
BASKETTP_OFF,sets/BASKETTP_OFF.set,GBP_H4,GBPUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_BASKETTP_OFF_GBP_H4_MAIN_M1,NEW
BASKETTP_OFF,sets/BASKETTP_OFF.set,GBP_H4,GBPUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_BASKETTP_OFF_GBP_H4_BWD_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,EUR_H4,EURUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_OVERLAP_OFF_EUR_H4_MAIN_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,EUR_H4,EURUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_OVERLAP_OFF_EUR_H4_BWD_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,GBP_H4,GBPUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_OVERLAP_OFF_GBP_H4_MAIN_M1,NEW
OVERLAP_OFF,sets/OVERLAP_OFF.set,GBP_H4,GBPUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_OVERLAP_OFF_GBP_H4_BWD_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,EUR_H4,EURUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_PIPFLOOR_OFF_EUR_H4_MAIN_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,EUR_H4,EURUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_PIPFLOOR_OFF_EUR_H4_BWD_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,GBP_H4,GBPUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_PIPFLOOR_OFF_GBP_H4_MAIN_M1,NEW
PIPFLOOR_OFF,sets/PIPFLOOR_OFF.set,GBP_H4,GBPUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_PIPFLOOR_OFF_GBP_H4_BWD_M1,NEW
DEEP_SPACING_EQUAL,sets/DEEP_SPACING_EQUAL.set,EUR_H4,EURUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_DEEP_SPACING_EQUAL_EUR_H4_MAIN_M1,NEW
DEEP_SPACING_EQUAL,sets/DEEP_SPACING_EQUAL.set,EUR_H4,EURUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_DEEP_SPACING_EQUAL_EUR_H4_BWD_M1,NEW
DEEP_SPACING_EQUAL,sets/DEEP_SPACING_EQUAL.set,GBP_H4,GBPUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_DEEP_SPACING_EQUAL_GBP_H4_MAIN_M1,NEW
DEEP_SPACING_EQUAL,sets/DEEP_SPACING_EQUAL.set,GBP_H4,GBPUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_DEEP_SPACING_EQUAL_GBP_H4_BWD_M1,NEW
SELL_DIRECTION,sets/SELL_DIRECTION.set,EUR_H4,EURUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_SELL_DIRECTION_EUR_H4_MAIN_M1,NEW
SELL_DIRECTION,sets/SELL_DIRECTION.set,EUR_H4,EURUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_SELL_DIRECTION_EUR_H4_BWD_M1,NEW
SELL_DIRECTION,sets/SELL_DIRECTION.set,GBP_H4,GBPUSD,H4,MAIN,2023.01.01,2025.12.31,B16EXT_SELL_DIRECTION_GBP_H4_MAIN_M1,NEW
SELL_DIRECTION,sets/SELL_DIRECTION.set,GBP_H4,GBPUSD,H4,BWD,2020.01.01,2022.12.31,B16EXT_SELL_DIRECTION_GBP_H4_BWD_M1,NEW
