arm,window,year,net,pf,trades,cycles
PARENT,MAIN,2023,181.34,1.0541,493,128
PARENT,MAIN,2024,936.87,1.2716,529,160
PARENT,MAIN,2025,1591.36,1.4119,553,228
PARENT,BWD,2020,976.29,1.3441,420,130
PARENT,BWD,2021,-573.56,0.8511,479,114
PARENT,BWD,2022,580.84,1.1688,563,144
CHILD,MAIN,2023,67.92,1.0223,428,142
CHILD,MAIN,2024,1204.8,1.5017,423,182
CHILD,MAIN,2025,451.86,1.1253,438,240
CHILD,BWD,2020,767.2,1.3474,363,152
CHILD,BWD,2021,-897.81,0.742,397,143
CHILD,BWD,2022,556.94,1.1966,496,172
