variant,window,year,trades,cycles,net,active_time_share
MATCHED_OUTPUT_CONTROL,MAIN,2023,104,96,137.39,0.054499
MATCHED_OUTPUT_CONTROL,MAIN,2024,90,75,52.86,0.083654
MATCHED_OUTPUT_CONTROL,MAIN,2025,81,68,62.28,0.150665
MATCHED_OUTPUT_CONTROL,BWD,2020,98,90,-44.89,0.147307
MATCHED_OUTPUT_CONTROL,BWD,2021,76,75,56.5,0.064016
MATCHED_OUTPUT_CONTROL,BWD,2022,93,78,32.49,0.107397
SINGLETP_OFF,MAIN,2023,3,1,49.68,0.013878
SINGLETP_OFF,MAIN,2024,0,0,0,0.0
SINGLETP_OFF,MAIN,2025,1,1,227.06,0.970195
SINGLETP_OFF,BWD,2020,13,4,-17.45,0.215492
SINGLETP_OFF,BWD,2021,0,0,0,0.0
SINGLETP_OFF,BWD,2022,2,1,247.19,0.762238
BASKETTP_OFF,MAIN,2023,8,8,10.41,0.000538
BASKETTP_OFF,MAIN,2024,0,0,0,0.0
BASKETTP_OFF,MAIN,2025,2,1,466.79,0.988215
BASKETTP_OFF,BWD,2020,16,16,-3.01,0.013721
BASKETTP_OFF,BWD,2021,0,0,0,0.0
BASKETTP_OFF,BWD,2022,5,1,448.39,0.946013
