variant,window,year,closed_ticket_count,cycle_count,net,active_time_share_full_window
ACCEPTED_PARENT_CONTROL,MAIN,2023,33,32,79.53,0.033314
ACCEPTED_PARENT_CONTROL,MAIN,2024,19,15,84.46,0.09447
ACCEPTED_PARENT_CONTROL,MAIN,2025,28,23,119.21,0.134711
ACCEPTED_PARENT_CONTROL,BWD,2020,35,29,173.13,0.064055
ACCEPTED_PARENT_CONTROL,BWD,2021,23,22,58.45,0.046017
ACCEPTED_PARENT_CONTROL,BWD,2022,18,18,37.39,0.008878
SINGLETP_OFF,MAIN,2023,2,1,32.64,0.009956
SINGLETP_OFF,MAIN,2024,0,0,0.0,0.0
SINGLETP_OFF,MAIN,2025,1,1,142.56,0.939021
SINGLETP_OFF,BWD,2020,18,5,83.6,0.150261
SINGLETP_OFF,BWD,2021,0,0,0.0,0.0
SINGLETP_OFF,BWD,2022,22,2,-886.43,0.640196
BASKETTP_OFF,MAIN,2023,0,0,0.0,0.0
BASKETTP_OFF,MAIN,2024,0,0,0.0,0.0
BASKETTP_OFF,MAIN,2025,3,1,389.29,0.96837
BASKETTP_OFF,BWD,2020,5,5,6.26,0.003889
BASKETTP_OFF,BWD,2021,0,0,0.0,0.0
BASKETTP_OFF,BWD,2022,19,1,-462.85,0.933847
