variant,window,year,trades,pf,net,cycles,active_time_share,max_depth,depth3_contact_cycles,depth4_contact_cycles
PARENT10,MAIN,2023,33,,79.53,32,0.033314,2,0,0
PARENT10,MAIN,2024,19,5.175,84.46,15,0.09447,4,1,1
PARENT10,MAIN,2025,28,6.8408,119.21,23,0.134711,4,2,1
DEPTH2,MAIN,2023,33,,79.53,32,0.033314,2,0,0
DEPTH2,MAIN,2024,17,,79.11,15,0.118583,2,0,0
DEPTH2,MAIN,2025,23,0.1956,-108.53,21,0.08775,2,0,0
DEPTH3,MAIN,2023,33,,79.53,32,0.033314,2,0,0
DEPTH3,MAIN,2024,18,,100.27,15,0.107968,3,1,0
DEPTH3,MAIN,2025,27,,129.33,23,0.136149,3,2,0
PARENT10,BWD,2020,35,9.5963,173.13,29,0.064055,4,2,1
PARENT10,BWD,2021,23,,58.45,22,0.046017,2,0,0
PARENT10,BWD,2022,18,,37.39,18,0.008878,1,0,0
DEPTH2,BWD,2020,32,,151.2,29,0.068814,2,0,0
DEPTH2,BWD,2021,23,,58.45,22,0.046017,2,0,0
DEPTH2,BWD,2022,18,,37.39,18,0.008878,1,0,0
DEPTH3,BWD,2020,34,,183.95,29,0.064503,3,2,0
DEPTH3,BWD,2021,23,,58.45,22,0.046017,2,0,0
DEPTH3,BWD,2022,18,,37.39,18,0.008878,1,0,0
