pass,result,net,expected_payoff,pf,recovery_factor,sharpe,custom,eqdd_pct,trades,rsi_period,rsi_low
0,63.97,321.14,1.111211,1.760383,0.810734,1.114376,0.0,3.839,289,7,20
4,62.57,399.05,1.007702,1.705871,1.007422,0.995372,0.0,3.8474,396,7,25
8,64.95,494.27,1.113221,1.728507,1.315598,0.95169,0.0,3.5956,444,7,30
12,48.34,349.94,0.661512,1.388857,0.796821,0.59543,0.0,4.2096,529,7,35
16,57.39,508.43,0.906292,1.553321,1.157707,0.804666,0.0,4.1597,561,7,40
1,42.95,43.85,0.718852,1.224503,0.1111,0.567562,0.0,3.8967,61,14,20
5,45.56,123.94,0.938939,1.328022,0.314019,0.518275,0.0,3.8656,132,14,25
9,54.88,252.53,0.918291,1.527489,0.637525,0.887097,0.0,3.8549,275,14,30
13,61.16,415.62,0.989571,1.676443,0.83535,0.993096,0.0,4.7828,420,14,35
17,62.52,538.06,1.095845,1.688831,1.081441,0.989045,0.0,4.7489,491,14,40
2,1.75,112.29,5.347143,0.0,3.555731,11.198799,0.0,0.3131,21,21,20
6,79.33,218.32,3.41125,0.0,4.208173,10.082392,0.0,0.5182,64,21,25
10,65.73,289.17,2.11073,1.981968,0.732651,1.129929,0.0,3.8389,137,21,30
14,44.67,169.42,0.611625,1.288817,0.340515,0.523882,0.0,4.8393,277,21,35
18,47.77,274.68,0.665085,1.387829,0.552076,0.585218,0.0,4.7973,413,21,40
3,0.07,11.5,1.642857,0.0,1.455696,1.416586,0.0,0.079,7,28,20
7,1.44,113.25,5.6625,0.0,3.58613,10.315496,0.0,0.3131,20,28,25
11,74.95,161.43,1.968659,2.190662,0.475802,1.886279,0.0,3.3232,82,28,30
15,41.42,51.64,0.31297,1.099018,0.103791,0.189918,0.0,4.8818,165,28,35
19,52.64,309.14,0.883257,1.493826,0.621337,0.753569,0.0,4.8038,350,28,40
