pass,result,net,expected_payoff,pf,recovery_factor,sharpe,custom,eqdd_pct,trades,rsi_period,rsi_high
0,40.19,-209.12,-1.483121,0.746022,-0.386994,-0.277213,0.0,5.3647,141,7,60
4,40.13,-236.48,-1.833178,0.69884,-0.416822,-0.361533,0.0,5.6365,129,7,65
8,40.78,3.84,0.04,1.006965,0.008636,0.005381,0.0,4.4095,96,7,70
12,40.41,-62.53,-0.589906,0.877702,-0.140621,-0.117164,0.0,4.4272,106,7,75
16,43.3,70.12,0.898974,1.264305,0.15769,0.200967,0.0,4.4351,78,7,80
1,40.73,-3.38,-0.031887,0.994139,-0.007601,-0.004791,0.0,4.4116,106,14,60
5,40.16,-127.74,-1.824857,0.769738,-0.287269,-0.195339,0.0,4.4309,70,14,65
9,77.27,283.2,3.54,7.968504,1.607629,1.466302,0.0,1.7184,80,14,70
13,11.92,105.72,3.30375,6.207882,0.778039,1.510168,0.0,1.3486,32,14,75
17,0.35,16.58,1.275385,0.0,2.34512,4.009506,0.0,0.0707,13,14,80
2,40.72,-4.68,-0.053793,0.990321,-0.012428,-0.00876,0.0,3.7105,87,21,60
6,78.25,339.95,4.249375,8.038302,1.859886,1.230038,0.0,1.7762,80,21,65
10,8.35,102.13,3.404333,6.031034,0.751619,1.446381,0.0,1.349,30,21,70
14,0.16,13.22,1.201818,0.0,1.516055,1.166344,0.0,0.0871,11,21,75
18,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,21,80
3,40.31,-77.44,-0.900465,0.82712,-0.162345,-0.178038,0.0,4.6843,86,28,60
7,69.8,199.02,4.061633,10.803941,1.464675,1.976554,0.0,1.3429,49,28,65
11,1.92,57.57,2.616818,0.0,1.894997,4.060554,0.0,0.3027,22,28,70
15,0.02,2.84,1.42,0.0,1.345972,0.04243,0.0,0.0211,2,28,75
19,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,28,80
