model,window,year,trades,pf,net,cycles,active_time_share
1,MAIN,2023,104,2.5324,137.79,96,0.054379
1,MAIN,2024,90,1.2411,55.39,75,0.083575
1,MAIN,2025,81,1.4011,62.12,68,0.150654
1,BWD,2020,98,0.7574,-40.91,90,0.147245
1,BWD,2021,76,7.1023,57.24,75,0.063982
1,BWD,2022,93,1.1527,33.89,78,0.107318
4,MAIN,2023,104,2.3289,121.08,96,0.054631
4,MAIN,2024,90,1.193,44.29,75,0.083571
4,MAIN,2025,79,1.1288,21.95,67,0.150714
4,BWD,2020,96,0.7921,-35.06,87,0.147448
4,BWD,2021,73,6.4087,50.95,72,0.06674
4,BWD,2022,93,1.3009,58.84,77,0.107391
