Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2026.08.28 20:00:00,2,XAUUSD,buy,in,0.01,4479.66,2,0.00,0.00,0.00,10 000.00,16_KangarooGrid L0
2026.08.28 21:17:40,3,XAUUSD,buy,in,0.01,4454.01,3,0.00,0.00,0.00,10 000.00,16_KangarooGrid L1
2026.08.31 05:03:40,4,XAUUSD,buy,in,0.01,4418.58,4,0.00,0.00,0.00,10 000.00,16_KangarooGrid L2
2026.09.01 11:06:40,5,XAUUSD,buy,in,0.01,4404.90,5,0.00,0.00,0.00,10 000.00,16_KangarooGrid L3
2026.09.01 11:10:40,6,XAUUSD,sell,out,0.01,4389.66,6,0.00,-1.52,-90.00,9 908.48,sl 4389.66
2026.09.01 11:10:40,7,XAUUSD,buy,in,0.01,4389.57,7,0.00,0.00,0.00,9 908.48,16_KangarooGrid L3
2026.09.01 15:32:40,8,XAUUSD,sell,out,0.01,4364.01,8,0.00,-1.52,-90.00,9 816.96,sl 4364.01
2026.09.01 15:32:40,9,XAUUSD,buy,in,0.01,4361.62,9,0.00,0.00,0.00,9 816.96,16_KangarooGrid L3
2026.09.01 16:09:40,10,XAUUSD,buy,in,0.01,4330.45,10,0.00,0.00,0.00,9 816.96,16_KangarooGrid L4
2026.09.01 16:12:20,11,XAUUSD,sell,out,0.01,4328.58,11,0.00,-0.76,-90.00,9 726.20,sl 4328.58
2026.09.01 17:00:20,12,XAUUSD,sell,out,0.01,4370.68,12,0.00,0.00,40.23,9 766.43,
2026.09.01 17:00:20,13,XAUUSD,sell,out,0.01,4370.68,13,0.00,0.00,-34.22,9 732.21,
2026.09.01 20:25:40,14,XAUUSD,buy,in,0.01,4342.64,14,0.00,0.00,0.00,9 732.21,16_KangarooGrid L2
2026.09.01 22:39:40,15,XAUUSD,buy,in,0.01,4322.95,15,0.00,0.00,0.00,9 732.21,16_KangarooGrid L3
2026.09.02 04:51:40,16,XAUUSD,sell,out,0.01,4299.57,16,0.00,-0.76,-90.00,9 641.45,sl 4299.57
2026.09.02 04:51:40,17,XAUUSD,buy,in,0.01,4297.64,17,0.00,0.00,0.00,9 641.45,16_KangarooGrid L3
2026.09.02 14:35:40,18,XAUUSD,sell,out,0.01,4333.03,18,0.00,0.00,35.39,9 676.84,
2026.09.02 14:35:40,19,XAUUSD,sell,out,0.01,4333.03,19,0.00,-0.76,-28.59,9 647.49,
2026.09.02 16:25:40,20,XAUUSD,sell,out,0.01,4350.59,20,0.00,-0.76,27.64,9 674.37,
2026.09.02 16:25:40,21,XAUUSD,sell,out,0.01,4350.59,21,0.00,-0.76,7.95,9 681.56,
