ticket,time,time_unix,symbol,magic,type,entry,volume,price,profit,swap,commission,comment
2201267258,2026.08.28 17:00:00,1787936400,XAUUSDm,990016,0,0,0.01,4480.24400,0.00,0.00,0.00,16_KangarooGrid L0
2201639394,2026.08.28 18:17:19,1787941039,XAUUSDm,990016,0,0,0.01,4454.75800,0.00,0.00,0.00,16_KangarooGrid L1
2204767667,2026.08.31 02:03:11,1788141791,XAUUSDm,990016,0,0,0.01,4426.13800,0.00,0.00,0.00,16_KangarooGrid L2
2205080382,2026.08.31 02:48:34,1788144514,XAUUSDm,990016,0,0,0.01,4398.91600,0.00,0.00,0.00,16_KangarooGrid L3
2205755724,2026.08.31 05:30:01,1788154201,XAUUSDm,990016,1,1,0.01,4441.29200,42.37,0.00,0.00,
2205756223,2026.08.31 05:30:02,1788154202,XAUUSDm,990016,1,1,0.01,4440.06400,-40.18,0.00,0.00,
2207167393,2026.08.31 11:02:14,1788174134,XAUUSDm,990016,1,1,0.01,4456.59800,30.46,0.00,0.00,
2207167476,2026.08.31 11:02:15,1788174135,XAUUSDm,990016,1,1,0.01,4456.32400,1.56,0.00,0.00,
2212548402,2026.09.01 09:00:01,1788253201,XAUUSDm,990016,0,0,0.01,4370.75500,0.00,0.00,0.00,16_KangarooGrid L0
2212657729,2026.09.01 09:17:07,1788254227,XAUUSDm,990016,1,1,0.01,4377.20300,6.44,0.00,0.00,
2212852857,2026.09.01 10:00:00,1788256800,XAUUSDm,990016,0,0,0.01,4364.80700,0.00,0.00,0.00,16_KangarooGrid L0
2212889644,2026.09.01 10:07:02,1788257222,XAUUSDm,990016,1,1,0.01,4371.28700,6.48,0.00,0.00,
2213823549,2026.09.01 13:00:00,1788267600,XAUUSDm,990016,0,0,0.01,4356.24400,0.00,0.00,0.00,16_KangarooGrid L0
2213888566,2026.09.01 13:03:09,1788267789,XAUUSDm,990016,0,0,0.01,4339.73700,0.00,0.00,0.00,16_KangarooGrid L1
2214338305,2026.09.01 13:52:09,1788270729,XAUUSDm,990016,1,1,0.01,4364.46100,24.72,0.00,0.00,
2214338449,2026.09.01 13:52:09,1788270729,XAUUSDm,990016,1,1,0.01,4363.96700,7.73,0.00,0.00,
2215899382,2026.09.01 19:00:00,1788289200,XAUUSDm,990016,0,0,0.01,4331.97100,0.00,0.00,0.00,16_KangarooGrid L0
2216314298,2026.09.02 00:02:39,1788307359,XAUUSDm,990016,0,0,0.01,4317.76000,0.00,0.00,0.00,16_KangarooGrid L1
2216895870,2026.09.02 01:51:16,1788313876,XAUUSDm,990016,0,0,0.01,4302.11700,0.00,0.00,0.00,16_KangarooGrid L2
2217391375,2026.09.02 03:34:54,1788320094,XAUUSDm,990016,0,0,0.01,4285.13100,0.00,0.00,0.00,16_KangarooGrid L3
2217683060,2026.09.02 05:15:06,1788326106,XAUUSDm,990016,1,1,0.01,4311.55200,26.42,0.00,0.00,
2217683243,2026.09.02 05:15:06,1788326106,XAUUSDm,990016,1,1,0.01,4311.40900,-20.56,0.00,0.00,
2217862030,2026.09.02 05:49:52,1788328192,XAUUSDm,990016,1,1,0.01,4326.00000,23.88,0.00,0.00,
2217862105,2026.09.02 05:49:52,1788328192,XAUUSDm,990016,1,1,0.01,4326.00000,8.24,0.00,0.00,
