schema_version,created_utc,view_type,window,year,entry_month,symbol,tf,session_state,eligible_unit_count,participation_share,gross_profit,gross_loss,net_realized,profit_factor,winning_unit_count,losing_unit_count,zero_unit_count,partition_realized_equity_dd
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,ALL,ALL,ALL,ALL,ALL,ALL,ASIA,375,0.24209167,9560.34,2911.96,6648.38,3.283129,339,36,0,1229.80
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,ALL,ALL,ALL,ALL,ALL,ALL,LONDON,332,0.21433183,6264.62,2193.34,4071.28,2.856201,308,24,0,1114.11
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,ALL,ALL,ALL,ALL,ALL,ALL,LONDON_NY_OVERLAP,429,0.27695287,8049.91,7364.91,685.00,1.093009,384,45,0,5177.78
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,ALL,ALL,ALL,ALL,ALL,ALL,NEW_YORK_ONLY,251,0.16204003,5826.77,2621.90,3204.87,2.222346,229,22,0,1499.21
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,ALL,ALL,ALL,ALL,ALL,ALL,OUTSIDE_DEFINED_SESSION,162,0.10458360,4201.48,1092.23,3109.25,3.846699,138,24,0,478.50
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,WINDOW,BWD,ALL,ALL,ALL,ALL,ASIA,134,0.20089955,2146.66,1246.93,899.73,1.721556,119,15,0,786.76
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,WINDOW,BWD,ALL,ALL,ALL,ALL,LONDON,170,0.25487256,2732.26,1115.00,1617.26,2.450457,162,8,0,1114.11
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,WINDOW,BWD,ALL,ALL,ALL,ALL,LONDON_NY_OVERLAP,208,0.31184408,2492.06,5953.88,-3461.82,0.418561,185,23,0,5177.78
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,WINDOW,BWD,ALL,ALL,ALL,ALL,NEW_YORK_ONLY,82,0.12293853,1005.68,1813.15,-807.47,0.554659,73,9,0,1499.21
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,WINDOW,BWD,ALL,ALL,ALL,ALL,OUTSIDE_DEFINED_SESSION,73,0.10944528,978.01,326.60,651.41,2.994519,59,14,0,217.20
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,WINDOW,MAIN,ALL,ALL,ALL,ALL,ASIA,241,0.27324263,7413.68,1665.03,5748.65,4.452580,220,21,0,1229.80
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,WINDOW,MAIN,ALL,ALL,ALL,ALL,LONDON,162,0.18367347,3532.36,1078.34,2454.02,3.275739,146,16,0,931.32
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,WINDOW,MAIN,ALL,ALL,ALL,ALL,LONDON_NY_OVERLAP,221,0.25056689,5557.85,1411.03,4146.82,3.938860,199,22,0,586.92
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,WINDOW,MAIN,ALL,ALL,ALL,ALL,NEW_YORK_ONLY,169,0.19160998,4821.09,808.75,4012.34,5.961162,156,13,0,645.63
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,WINDOW,MAIN,ALL,ALL,ALL,ALL,OUTSIDE_DEFINED_SESSION,89,0.10090703,3223.47,765.63,2457.84,4.210219,79,10,0,478.50
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,YEAR,BWD,2020,ALL,ALL,ALL,ASIA,58,0.15803815,840.32,439.44,400.88,1.912252,51,7,0,384.52
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,YEAR,BWD,2020,ALL,ALL,ALL,LONDON,104,0.28337875,1846.50,0.89,1845.61,2074.719101,103,1,0,0.89
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,YEAR,BWD,2020,ALL,ALL,ALL,LONDON_NY_OVERLAP,107,0.29155313,1470.52,116.92,1353.60,12.577147,103,4,0,115.18
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,YEAR,BWD,2020,ALL,ALL,ALL,NEW_YORK_ONLY,48,0.13079019,574.30,42.95,531.35,13.371362,44,4,0,38.95
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,YEAR,BWD,2020,ALL,ALL,ALL,OUTSIDE_DEFINED_SESSION,50,0.13623978,652.81,219.73,433.08,2.970964,37,13,0,217.20
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,YEAR,BWD,2021,ALL,ALL,ALL,ASIA,22,0.20000000,221.32,688.42,-467.10,0.321490,16,6,0,667.69
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,YEAR,BWD,2021,ALL,ALL,ALL,LONDON,27,0.24545455,212.03,0.00,212.03,,27,0,0,0.00
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,YEAR,BWD,2021,ALL,ALL,ALL,LONDON_NY_OVERLAP,44,0.40000000,303.60,1626.58,-1322.98,0.186649,34,10,0,1525.07
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,YEAR,BWD,2021,ALL,ALL,ALL,NEW_YORK_ONLY,11,0.10000000,123.58,602.00,-478.42,0.205282,9,2,0,599.86
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,YEAR,BWD,2021,ALL,ALL,ALL,OUTSIDE_DEFINED_SESSION,6,0.05454545,36.00,106.87,-70.87,0.336858,5,1,0,106.87
