schema_version,created_utc,input_sha256,h3_run_id,window,year,symbol,tf,source_position_id,source_deal_id,entry_utc,exit_utc,source_net_realized,session_state,macro_state,local_state,vol_state
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,83,7,2020-01-02T13:02:40Z,2020-01-03T09:06:40Z,21.19000000,LONDON_NY_OVERLAP,NEUTRAL,RANGE,LOW
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,84,6,2020-01-02T13:51:40Z,2020-01-03T09:06:40Z,17.76000000,LONDON_NY_OVERLAP,NEUTRAL,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,85,5,2020-01-02T15:28:40Z,2020-01-03T09:06:40Z,28.66000000,LONDON_NY_OVERLAP,NEUTRAL,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,89,13,2020-01-03T09:44:40Z,2020-01-05T23:05:00Z,26.17000000,LONDON,NEUTRAL,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,90,12,2020-01-03T18:38:40Z,2020-01-05T23:05:00Z,22.71000000,NEW_YORK_ONLY,NEUTRAL,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,91,11,2020-01-05T23:05:00Z,2020-01-05T23:05:00Z,40.06000000,OUTSIDE_DEFINED_SESSION,NEUTRAL,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,95,15,2020-01-05T23:05:40Z,2020-01-08T00:11:40Z,22.18000000,OUTSIDE_DEFINED_SESSION,NEUTRAL,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,99,19,2020-01-08T00:18:40Z,2020-02-21T06:07:40Z,-11.82000000,ASIA,NEUTRAL,TREND_UP,EXTREME
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,100,18,2020-01-08T00:25:40Z,2020-02-21T06:07:40Z,-15.74000000,ASIA,NEUTRAL,TREND_UP,EXTREME
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,104,25,2020-02-21T07:27:40Z,2020-02-23T23:10:40Z,29.81000000,LONDON,NEUTRAL,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,105,24,2020-02-21T13:02:40Z,2020-02-23T23:10:40Z,25.32000000,LONDON_NY_OVERLAP,NEUTRAL,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,106,23,2020-02-21T13:20:40Z,2020-02-23T23:10:40Z,41.66000000,LONDON_NY_OVERLAP,NEUTRAL,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,110,31,2020-02-23T23:11:40Z,2020-05-14T13:34:40Z,-12.33000000,OUTSIDE_DEFINED_SESSION,RISK_OFF,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,112,29,2020-02-23T23:12:40Z,2020-05-14T13:34:40Z,-43.12000000,OUTSIDE_DEFINED_SESSION,RISK_OFF,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,111,30,2020-02-23T23:12:40Z,2020-05-14T13:34:40Z,-16.95000000,OUTSIDE_DEFINED_SESSION,RISK_OFF,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,116,37,2020-05-14T13:59:40Z,2020-06-24T10:01:40Z,17.31000000,LONDON_NY_OVERLAP,STRESS,RANGE,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,117,36,2020-05-15T12:33:40Z,2020-06-24T10:01:40Z,8.91000000,LONDON_NY_OVERLAP,STRESS,RANGE,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,118,35,2020-05-15T15:59:20Z,2020-06-24T10:01:40Z,-0.58000000,LONDON_NY_OVERLAP,STRESS,TREND_UP,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,242,39,2020-06-26T15:37:40Z,2020-07-01T15:23:40Z,8.53000000,LONDON_NY_OVERLAP,STRESS,RANGE,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,246,43,2020-07-01T15:58:40Z,2020-07-02T13:01:40Z,8.57000000,LONDON_NY_OVERLAP,STRESS,TREND_DOWN,HIGH
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,247,42,2020-07-02T09:13:40Z,2020-07-02T12:29:40Z,7.13000000,LONDON,NEUTRAL,RANGE,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,251,47,2020-07-02T13:17:40Z,2021-02-26T05:57:40Z,81.83000000,LONDON_NY_OVERLAP,NEUTRAL,TRANSITION,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2020,XAUUSD,M15,252,46,2020-07-02T13:56:40Z,2020-11-30T02:58:40Z,54.79000000,LONDON_NY_OVERLAP,NEUTRAL,TRANSITION,NORMAL
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,e54f1cfaf58df97acb8fb39c1e6e8bf4614f1ff3a7c9bcbc1b5acff762665dd6,H3-C01-BWD,BWD,2021,XAUUSD,M15,256,49,2021-02-26T08:38:40Z,2021-02-26T11:23:40Z,8.51000000,LONDON,NEUTRAL,TREND_DOWN,HIGH
