schema_version,created_utc,window,session_state,target_direction,exclusion_dimension,excluded_group,base_unit_count,base_net_realized,remaining_unit_count,remaining_net_realized,remaining_sign,preserves_direction
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,YEAR,2023,241,5748.65,153,4663.62,POSITIVE,true
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,YEAR,2024,241,5748.65,170,4076.72,POSITIVE,true
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,YEAR,2025,241,5748.65,159,2756.96,POSITIVE,true
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,ENTRY_MONTH,2023-01,241,5748.65,203,5370.47,POSITIVE,true
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,ENTRY_MONTH,2023-02,241,5748.65,235,5718.97,POSITIVE,true
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,ENTRY_MONTH,2023-03,241,5748.65,231,5606.87,POSITIVE,true
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,ENTRY_MONTH,2023-04,241,5748.65,235,5701.89,POSITIVE,true
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,ENTRY_MONTH,2023-05,241,5748.65,239,5728.54,POSITIVE,true
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,ENTRY_MONTH,2023-06,241,5748.65,235,5639.57,POSITIVE,true
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,ENTRY_MONTH,2023-07,241,5748.65,234,5608.90,POSITIVE,true
BOSS19_P5_SESSION_ATTRIBUTION_V1,2026-09-03T23:50:00Z,MAIN,ASIA,POSITIVE,ENTRY_MONTH,2023-09,241,5748.65,240,5740.12,POSITIVE,true
