window,index,time,pnl,equity,dd_pct
MAIN,1,2023-02-06 01:16:40,4.30,10004.30,0.000000
MAIN,2,2023-02-24 22:11:40,2.97,10007.27,0.000000
MAIN,3,2023-02-27 15:38:40,2.45,10009.72,0.000000
MAIN,4,2023-03-08 16:48:40,1.98,10011.70,0.000000
MAIN,5,2023-03-09 07:07:40,2.55,10014.25,0.000000
MAIN,6,2023-05-18 04:08:40,2.88,10017.13,0.000000
MAIN,7,2023-05-19 18:34:20,2.61,10019.74,0.000000
MAIN,8,2023-06-22 16:46:40,2.79,10022.53,0.000000
MAIN,9,2023-06-23 10:31:40,1.54,10024.07,0.000000
MAIN,10,2023-06-23 14:31:40,2.48,10026.55,0.000000
MAIN,11,2023-08-10 04:47:40,0.06,10026.61,0.000000
MAIN,12,2023-08-17 01:03:40,2.51,10029.12,0.000000
MAIN,13,2023-08-17 09:31:40,2.01,10031.13,0.000000
MAIN,14,2023-08-17 13:05:40,2.28,10033.41,0.000000
MAIN,15,2023-09-07 14:08:40,1.91,10035.32,0.000000
MAIN,16,2023-09-27 04:33:40,1.00,10036.32,0.000000
MAIN,17,2023-10-13 15:23:40,-12.03,10024.29,0.119865
MAIN,18,2023-11-09 16:42:40,0.43,10024.72,0.115580
MAIN,19,2023-11-13 01:05:00,2.86,10027.58,0.087084
MAIN,20,2023-11-13 18:02:20,2.94,10030.52,0.057790
MAIN,21,2023-12-11 20:34:40,3.75,10034.27,0.020426
MAIN,22,2023-12-12 02:35:40,7.22,10041.49,0.000000
MAIN,23,2024-01-08 16:39:40,3.71,10045.20,0.000000
MAIN,24,2024-02-15 16:32:40,0.37,10045.57,0.000000
MAIN,25,2024-04-23 08:17:40,9.19,10054.76,0.000000
MAIN,26,2024-04-23 15:36:40,7.95,10062.71,0.000000
MAIN,27,2024-05-01 13:51:40,4.82,10067.53,0.000000
MAIN,28,2024-05-24 16:31:40,5.13,10072.66,0.000000
MAIN,29,2024-05-27 04:39:40,4.42,10077.08,0.000000
MAIN,30,2024-06-27 09:30:40,3.24,10080.32,0.000000
MAIN,31,2024-07-25 16:16:40,5.08,10085.40,0.000000
MAIN,32,2024-07-26 04:36:40,4.88,10090.28,0.000000
MAIN,33,2024-11-06 17:32:40,6.62,10096.90,0.000000
MAIN,34,2024-11-07 14:45:40,5.10,10102.00,0.000000
MAIN,35,2024-11-14 11:35:40,-94.04,10007.96,0.930905
MAIN,36,2024-11-14 13:36:40,6.51,10014.47,0.866462
MAIN,37,2024-11-14 16:26:20,6.39,10020.86,0.803207
MAIN,38,2024-12-19 01:06:40,4.84,10025.70,0.755296
MAIN,39,2025-03-03 16:35:40,5.52,10031.22,0.700653
MAIN,40,2025-04-07 04:01:40,15.82,10047.04,0.544051
MAIN,41,2025-05-12 22:26:40,12.20,10059.24,0.423283
MAIN,42,2025-05-14 16:52:40,10.18,10069.42,0.322510
MAIN,43,2025-05-15 16:15:40,8.15,10077.57,0.241833
MAIN,44,2025-06-27 17:05:40,6.84,10084.41,0.174124
MAIN,45,2025-06-30 04:19:40,7.71,10092.12,0.097802
MAIN,46,2025-07-31 02:43:40,6.24,10098.36,0.036032
MAIN,47,2025-10-28 13:39:40,18.75,10117.11,0.000000
MAIN,48,2025-12-29 22:06:20,16.09,10133.20,0.000000
MAIN,49,2025-12-30 03:49:40,15.88,10149.08,0.000000
BWD,1,2020-02-04 22:09:40,2.78,10002.78,0.000000
BWD,2,2020-02-28 21:46:40,6.57,10009.35,0.000000
BWD,3,2020-03-13 08:37:40,10.68,10020.03,0.000000
BWD,4,2020-03-13 21:09:40,12.58,10032.61,0.000000
BWD,5,2020-03-16 16:56:40,15.40,10048.01,0.000000
