window,index,time,pnl,equity,dd_pct
MAIN,1,2023-02-06 01:16:40,4.30,10004.30,0.000000
MAIN,2,2023-02-24 22:11:40,2.97,10007.27,0.000000
MAIN,3,2023-02-27 15:38:40,2.45,10009.72,0.000000
MAIN,4,2023-03-09 17:04:40,20.20,10029.92,0.000000
MAIN,5,2023-03-09 17:04:40,13.55,10043.47,0.000000
MAIN,6,2023-05-18 04:08:40,2.88,10046.35,0.000000
MAIN,7,2023-08-17 04:28:40,-163.58,9882.77,1.628253
MAIN,8,2023-09-27 18:10:40,-195.12,9687.65,3.570451
MAIN,9,2023-09-27 19:37:40,-195.12,9492.53,5.512649
MAIN,10,2023-09-28 17:38:40,-197.54,9294.99,7.478935
MAIN,11,2023-09-29 18:36:40,-192.69,9102.30,9.396945
MAIN,12,2023-10-02 05:24:40,-191.07,8911.23,11.298830
MAIN,13,2023-10-02 12:30:40,-173.28,8737.95,13.023635
MAIN,14,2023-10-03 02:13:40,-170.86,8567.09,14.724353
MAIN,15,2023-10-05 15:38:40,-171.66,8395.43,16.433033
MAIN,16,2023-10-13 13:47:40,72.64,8468.07,15.709984
MAIN,17,2023-10-13 13:47:40,59.20,8527.27,15.120715
MAIN,18,2023-10-13 13:47:40,45.20,8572.47,14.670801
MAIN,19,2023-10-13 13:47:40,33.42,8605.89,14.338143
MAIN,20,2023-10-13 13:47:40,19.04,8624.93,14.148621
MAIN,21,2023-10-13 13:47:40,9.29,8634.22,14.056150
MAIN,22,2023-10-13 13:47:40,-2.22,8632.00,14.078247
MAIN,23,2023-10-13 13:47:40,-39.94,8592.06,14.475805
MAIN,24,2023-10-13 13:47:40,-52.61,8539.45,14.999477
MAIN,25,2023-11-14 15:32:40,36.45,8575.90,14.636659
MAIN,26,2023-11-14 15:32:40,22.53,8598.43,14.412399
MAIN,27,2023-11-14 15:32:40,16.01,8614.44,14.253037
MAIN,28,2023-11-14 15:32:40,5.96,8620.40,14.193712
MAIN,29,2023-11-14 15:32:40,0.21,8620.61,14.191622
MAIN,30,2023-12-11 20:34:40,3.75,8624.36,14.154295
MAIN,31,2023-12-12 02:35:40,7.22,8631.58,14.082428
MAIN,32,2024-01-08 16:39:40,3.71,8635.29,14.045499
MAIN,33,2024-02-16 19:54:20,26.75,8662.04,13.779233
MAIN,34,2024-02-16 19:54:20,19.10,8681.14,13.589114
MAIN,35,2024-02-16 19:54:20,12.93,8694.07,13.460411
MAIN,36,2024-02-16 19:54:20,5.57,8699.64,13.404968
MAIN,37,2024-04-23 08:17:40,9.19,8708.83,13.313492
MAIN,38,2024-04-23 15:36:40,7.95,8716.78,13.234359
MAIN,39,2024-05-01 13:51:40,4.82,8721.60,13.186381
MAIN,40,2024-05-27 16:36:40,22.85,8744.45,12.958935
MAIN,41,2024-05-27 16:36:40,9.32,8753.77,12.866165
MAIN,42,2024-06-27 09:30:40,3.24,8757.01,12.833915
MAIN,43,2024-07-25 16:16:40,5.08,8762.09,12.783349
MAIN,44,2024-07-26 04:36:40,4.88,8766.97,12.734774
MAIN,45,2024-11-06 17:32:40,6.62,8773.59,12.668880
MAIN,46,2024-11-07 14:44:40,27.50,8801.09,12.395148
MAIN,47,2024-11-07 14:44:40,4.71,8805.80,12.348266
MAIN,48,2024-11-14 11:35:40,-94.04,8711.76,13.284327
MAIN,49,2024-11-18 16:12:40,64.21,8775.97,12.645190
MAIN,50,2024-11-18 16:12:40,38.39,8814.36,12.263061
MAIN,51,2024-11-18 16:12:40,9.63,8823.99,12.167205
MAIN,52,2024-11-18 16:12:40,-6.01,8817.98,12.227028
MAIN,53,2024-11-18 16:12:40,-20.44,8797.54,12.430485
MAIN,54,2024-12-19 01:06:40,4.84,8802.38,12.382308
