window,index,time,pnl,equity,dd_pct
MAIN,1,2023-01-03 01:14:40,1.22,10001.22,0.000000
MAIN,2,2023-01-03 10:31:40,1.21,10002.43,0.000000
MAIN,3,2023-01-09 05:16:40,1.39,10003.82,0.000000
MAIN,4,2023-01-12 07:44:20,0.78,10004.60,0.000000
MAIN,5,2023-01-12 12:18:20,1.11,10005.71,0.000000
MAIN,6,2023-01-12 15:30:40,1.51,10007.22,0.000000
MAIN,7,2023-01-12 16:06:40,1.50,10008.72,0.000000
MAIN,8,2023-01-12 21:25:40,1.69,10010.41,0.000000
MAIN,9,2023-01-18 04:40:40,6.71,10017.12,0.000000
MAIN,10,2023-02-01 16:34:40,0.63,10017.75,0.000000
MAIN,11,2023-02-01 17:00:40,2.67,10020.42,0.000000
MAIN,12,2023-02-01 18:15:40,0.73,10021.15,0.000000
MAIN,13,2023-02-01 20:46:40,0.68,10021.83,0.000000
MAIN,14,2023-02-01 22:02:40,1.00,10022.83,0.000000
MAIN,15,2023-02-01 23:16:40,1.27,10024.10,0.000000
MAIN,16,2023-02-03 15:30:40,4.35,10028.45,0.000000
MAIN,17,2023-02-07 20:02:40,1.58,10030.03,0.000000
MAIN,18,2023-02-09 16:06:40,1.09,10031.12,0.000000
MAIN,19,2023-02-10 11:16:40,1.20,10032.32,0.000000
MAIN,20,2023-03-01 14:18:40,0.63,10032.95,0.000000
MAIN,21,2023-03-01 15:04:40,0.64,10033.59,0.000000
MAIN,22,2023-03-09 13:42:40,0.79,10034.38,0.000000
MAIN,23,2023-03-10 18:28:40,1.44,10035.82,0.000000
MAIN,24,2023-03-15 16:30:40,1.17,10036.99,0.000000
MAIN,25,2023-03-15 17:06:40,1.55,10038.54,0.000000
MAIN,26,2023-03-17 22:04:40,1.16,10039.70,0.000000
MAIN,27,2023-03-20 11:01:40,1.54,10041.24,0.000000
MAIN,28,2023-03-20 12:04:40,1.18,10042.42,0.000000
MAIN,29,2023-03-22 23:17:40,1.01,10043.43,0.000000
MAIN,30,2023-03-23 10:56:20,1.02,10044.45,0.000000
MAIN,31,2023-03-24 13:19:40,0.95,10045.40,0.000000
MAIN,32,2023-04-04 20:54:40,0.95,10046.35,0.000000
MAIN,33,2023-04-05 03:55:40,0.93,10047.28,0.000000
