window,index,time,pnl,equity,dd_pct
MAIN,1,2023-01-05 16:13:20,1.50,10001.50,0.000000
MAIN,2,2023-01-05 16:31:40,1.51,10003.01,0.000000
MAIN,3,2023-01-05 16:45:40,1.80,10004.81,0.000000
MAIN,4,2023-01-05 17:08:40,1.34,10006.15,0.000000
MAIN,5,2023-01-05 20:03:40,1.16,10007.31,0.000000
MAIN,6,2023-01-11 17:00:40,1.56,10008.87,0.000000
MAIN,7,2023-01-13 07:45:40,0.55,10009.42,0.000000
MAIN,8,2023-01-18 05:48:20,1.01,10010.43,0.000000
MAIN,9,2023-01-18 08:15:40,0.96,10011.39,0.000000
MAIN,10,2023-01-23 08:51:20,0.67,10012.06,0.000000
MAIN,11,2023-01-23 09:30:40,0.69,10012.75,0.000000
MAIN,12,2023-01-23 10:29:40,0.92,10013.67,0.000000
MAIN,13,2023-01-23 16:48:40,1.34,10015.01,0.000000
MAIN,14,2023-01-24 17:26:20,1.77,10016.78,0.000000
MAIN,15,2023-01-25 08:22:40,1.16,10017.94,0.000000
MAIN,16,2023-01-26 18:06:40,2.13,10020.07,0.000000
MAIN,17,2023-01-27 06:30:40,1.34,10021.41,0.000000
MAIN,18,2023-01-27 07:05:40,0.91,10022.32,0.000000
MAIN,19,2023-01-30 10:39:20,0.87,10023.19,0.000000
MAIN,20,2023-01-31 15:55:40,1.15,10024.34,0.000000
MAIN,21,2023-02-02 16:04:40,1.66,10026.00,0.000000
MAIN,22,2023-02-03 16:19:40,-62.96,9963.04,0.627967
MAIN,23,2023-02-03 16:33:40,3.36,9966.40,0.594454
MAIN,24,2023-02-08 09:58:40,-1.48,9964.92,0.609216
MAIN,25,2023-02-09 19:52:40,2.57,9967.49,0.583583
MAIN,26,2023-02-10 01:01:40,0.09,9967.58,0.582685
MAIN,27,2023-02-10 07:42:40,0.67,9968.25,0.576002
MAIN,28,2023-02-14 16:46:40,2.40,9970.65,0.552065
MAIN,29,2023-02-15 08:18:40,0.66,9971.31,0.545482
MAIN,30,2023-02-20 09:29:40,-3.44,9967.87,0.579793
MAIN,31,2023-02-21 10:56:40,1.52,9969.39,0.564632
MAIN,32,2023-02-23 03:51:40,-1.85,9967.54,0.583084
MAIN,33,2023-02-23 15:51:40,0.96,9968.50,0.573509
MAIN,34,2023-02-24 10:19:40,0.82,9969.32,0.565330
MAIN,35,2023-02-24 16:17:40,1.17,9970.49,0.553660
MAIN,36,2023-02-24 16:30:40,1.11,9971.60,0.542589
MAIN,37,2023-02-24 16:48:40,2.12,9973.72,0.521444
MAIN,38,2023-02-28 10:25:40,0.95,9974.67,0.511969
MAIN,39,2023-03-02 03:45:40,0.50,9975.17,0.506982
MAIN,40,2023-03-07 20:11:40,-24.58,9950.59,0.752144
MAIN,41,2023-03-08 13:21:20,-0.22,9950.37,0.754339
MAIN,42,2023-03-15 09:33:40,0.50,9950.87,0.749352
MAIN,43,2023-03-15 12:41:40,1.46,9952.33,0.734790
MAIN,44,2023-03-21 10:00:40,0.77,9953.10,0.727110
MAIN,45,2023-03-21 11:16:40,1.35,9954.45,0.713645
MAIN,46,2023-03-21 12:04:40,1.31,9955.76,0.700578
MAIN,47,2023-03-21 16:15:40,1.11,9956.87,0.689507
MAIN,48,2023-03-22 21:00:40,1.28,9958.15,0.676740
MAIN,49,2023-03-28 15:21:20,0.27,9958.42,0.674047
MAIN,50,2023-03-29 10:42:40,1.01,9959.43,0.663974
MAIN,51,2023-03-30 04:16:40,0.68,9960.11,0.657191
MAIN,52,2023-03-30 04:51:40,0.69,9960.80,0.650309
MAIN,53,2023-03-31 21:04:40,1.72,9962.52,0.633154
MAIN,54,2023-04-03 01:25:40,0.89,9963.41,0.624277
MAIN,55,2023-04-03 11:52:40,2.08,9965.49,0.603531
MAIN,56,2023-04-06 04:28:40,0.60,9966.09,0.597546
MAIN,57,2023-04-06 08:34:40,0.57,9966.66,0.591861
MAIN,58,2023-04-06 16:17:20,1.01,9967.67,0.581787
MAIN,59,2023-04-06 16:47:40,1.41,9969.08,0.567724
MAIN,60,2023-04-06 17:00:40,1.70,9970.78,0.550768
MAIN,61,2023-04-10 01:15:40,1.53,9972.31,0.535508
MAIN,62,2023-04-10 01:32:40,1.21,9973.52,0.523439
MAIN,63,2023-04-10 04:08:40,1.21,9974.73,0.511370
MAIN,64,2023-04-10 11:17:20,0.81,9975.54,0.503291
MAIN,65,2023-04-10 16:00:40,1.58,9977.12,0.487532
MAIN,66,2023-04-10 17:17:40,2.73,9979.85,0.460303
MAIN,67,2023-04-10 18:00:40,2.49,9982.34,0.435468
MAIN,68,2023-04-14 11:33:40,0.92,9983.26,0.426292
MAIN,69,2023-04-14 15:57:40,2.45,9985.71,0.401855
MAIN,70,2023-04-14 16:21:40,1.60,9987.31,0.385897
MAIN,71,2023-05-02 19:09:40,-10.64,9976.67,0.492021
MAIN,72,2023-05-05 11:02:20,0.98,9977.65,0.482246
MAIN,73,2023-05-05 11:18:40,0.82,9978.47,0.474067
MAIN,74,2023-05-10 15:31:40,1.67,9980.14,0.457411
MAIN,75,2023-05-11 10:27:40,0.95,9981.09,0.447935
MAIN,76,2023-05-11 12:03:20,1.39,9982.48,0.434071
MAIN,77,2023-05-11 17:01:40,3.19,9985.67,0.402254
MAIN,78,2023-05-12 13:13:40,1.29,9986.96,0.389388
MAIN,79,2023-05-16 15:42:40,2.83,9989.79,0.361161
MAIN,80,2023-05-16 18:17:40,2.59,9992.38,0.335328
MAIN,81,2023-06-22 18:26:40,-113.02,9879.36,1.462597
MAIN,82,2023-06-23 06:08:40,0.46,9879.82,1.458009
MAIN,83,2023-06-27 14:42:40,0.77,9880.59,1.450329
MAIN,84,2023-06-27 17:24:40,1.41,9882.00,1.436266
MAIN,85,2023-06-27 19:27:40,1.45,9883.45,1.421803
MAIN,86,2023-06-28 09:47:40,0.73,9884.18,1.414522
MAIN,87,2023-06-28 11:51:40,0.88,9885.06,1.405745
MAIN,88,2023-06-29 06:22:40,0.60,9885.66,1.399761
MAIN,89,2023-06-29 16:05:20,1.49,9887.15,1.384899
MAIN,90,2023-06-29 16:20:20,1.03,9888.18,1.374626
MAIN,91,2023-06-29 16:32:40,2.33,9890.51,1.351386
MAIN,92,2023-06-29 16:48:40,2.30,9892.81,1.328446
MAIN,93,2023-06-30 12:04:40,0.70,9893.51,1.321464
MAIN,94,2023-07-03 11:21:40,0.90,9894.41,1.312488
MAIN,95,2023-07-05 22:16:40,0.85,9895.26,1.304010
MAIN,96,2023-07-06 16:00:40,4.07,9899.33,1.263415
MAIN,97,2023-07-06 16:15:40,1.78,9901.11,1.245661
MAIN,98,2023-07-10 08:32:40,0.48,9901.59,1.240874
MAIN,99,2023-07-10 08:46:20,0.55,9902.14,1.235388
MAIN,100,2023-07-10 09:16:20,0.48,9902.62,1.230600
MAIN,101,2023-07-10 16:17:40,0.84,9903.46,1.222222
MAIN,102,2023-07-14 11:04:40,0.67,9904.13,1.215540
MAIN,103,2023-07-17 02:33:20,0.48,9904.61,1.210752
MAIN,104,2023-07-17 16:19:40,1.80,9906.41,1.192799
MAIN,105,2023-07-17 16:50:40,1.97,9908.38,1.173150
MAIN,106,2023-07-20 15:47:40,1.13,9909.51,1.161879
MAIN,107,2023-07-21 11:02:40,0.80,9910.31,1.153900
MAIN,108,2023-07-21 11:32:40,1.00,9911.31,1.143926
MAIN,109,2023-07-21 12:23:40,1.04,9912.35,1.133553
MAIN,110,2023-07-24 21:22:20,0.70,9913.05,1.126571
MAIN,111,2023-07-24 22:33:40,0.71,9913.76,1.119489
MAIN,112,2023-07-24 23:15:40,0.52,9914.28,1.114303
MAIN,113,2023-07-25 14:42:40,1.03,9915.31,1.104030
MAIN,114,2023-07-31 15:39:40,-0.91,9914.40,1.113106
MAIN,115,2023-08-01 06:18:20,0.41,9914.81,1.109017
MAIN,116,2023-08-01 09:27:40,0.54,9915.35,1.103631
MAIN,117,2023-08-03 15:25:40,-30.91,9884.44,1.411929
MAIN,118,2023-08-04 15:30:40,9.75,9894.19,1.314682
MAIN,119,2023-08-08 05:04:40,0.50,9894.69,1.309695
MAIN,120,2023-08-08 15:20:40,0.95,9895.64,1.300219
MAIN,121,2023-08-08 15:47:40,1.13,9896.77,1.288949
MAIN,122,2023-08-08 16:04:20,0.94,9897.71,1.279573
MAIN,123,2023-08-09 17:05:20,0.83,9898.54,1.271295
MAIN,124,2023-08-10 04:34:40,-2.07,9896.47,1.291941
MAIN,125,2023-08-14 15:35:40,0.80,9897.27,1.283962
MAIN,126,2023-08-14 17:10:00,0.93,9898.20,1.274686
MAIN,127,2023-08-16 20:59:20,1.09,9899.29,1.263814
MAIN,128,2023-08-16 21:20:40,0.78,9900.07,1.256034
MAIN,129,2023-08-17 09:59:40,-1.71,9898.36,1.273090
MAIN,130,2023-08-17 19:05:40,0.99,9899.35,1.263216
MAIN,131,2023-08-17 19:26:40,0.92,9900.27,1.254039
MAIN,132,2023-08-17 22:18:20,0.74,9901.01,1.246659
MAIN,133,2023-08-21 05:10:40,0.97,9901.98,1.236984
MAIN,134,2023-08-22 17:17:40,1.02,9903.00,1.226810
MAIN,135,2023-08-24 17:11:40,1.17,9904.17,1.215141
MAIN,136,2023-08-25 07:10:40,0.93,9905.10,1.205865
MAIN,137,2023-08-29 16:42:40,1.07,9906.17,1.195192
MAIN,138,2023-09-01 17:44:40,1.60,9907.77,1.179234
MAIN,139,2023-09-04 13:08:40,0.53,9908.30,1.173948
MAIN,140,2023-09-04 16:47:20,0.51,9908.81,1.168861
MAIN,141,2023-09-04 18:01:40,0.47,9909.28,1.164173
MAIN,142,2023-09-05 05:08:00,0.30,9909.58,1.161181
MAIN,143,2023-09-05 11:55:40,0.50,9910.08,1.156194
MAIN,144,2023-09-05 13:19:40,0.63,9910.71,1.149910
MAIN,145,2023-09-05 13:37:40,0.53,9911.24,1.144624
MAIN,146,2023-09-05 14:15:20,0.61,9911.85,1.138540
MAIN,147,2023-09-05 14:40:40,0.59,9912.44,1.132655
MAIN,148,2023-09-05 15:43:00,0.69,9913.13,1.125773
MAIN,149,2023-09-06 10:37:40,0.78,9913.91,1.117993
MAIN,150,2023-09-06 10:51:20,0.49,9914.40,1.113106
MAIN,151,2023-09-06 11:07:40,0.72,9915.12,1.105925
MAIN,152,2023-09-06 11:49:40,0.71,9915.83,1.098843
MAIN,153,2023-09-08 16:02:40,0.68,9916.51,1.092061
MAIN,154,2023-09-12 09:37:40,0.37,9916.88,1.088370
MAIN,155,2023-09-15 07:47:40,-3.52,9913.36,1.123479
