symbol,tf,variant,window,year,trades,pf,net,balance_dd_pct
EURUSD,H4,PARENT,MAIN,2023,75,1.063560760353021,14.98,0.7870367147904197
EURUSD,H4,PARENT,MAIN,2024,84,0.8032329988851729,-49.42,0.964844327134597
EURUSD,H4,PARENT,MAIN,2025,72,1.6055303793219202,144.31,0.6593888421084471
EURUSD,H4,PARENT,BWD,2020,86,0.7338526191814557,-99.43,1.5378344844947351
EURUSD,H4,PARENT,BWD,2021,93,0.819516257764514,-52.01,0.8291330846467052
EURUSD,H4,PARENT,BWD,2022,88,1.3674356027692913,131.09,0.5578148197802317
EURUSD,H4,CHILD,MAIN,2023,105,0.9694316958467901,-10.789999999999997,0.8898846103361431
EURUSD,H4,CHILD,MAIN,2024,92,1.0405717470934863,10.190000000000001,0.8455895170407433
EURUSD,H4,CHILD,MAIN,2025,73,1.6312101376300772,150.43,0.6593888421084471
EURUSD,H4,CHILD,BWD,2020,95,0.7926869664925468,-81.36,1.534238145567757
EURUSD,H4,CHILD,BWD,2021,100,0.8521226492770807,-44.9,0.8501112765934581
EURUSD,H4,CHILD,BWD,2022,94,1.2269812127461583,90.25,0.6979334486942191
XAUUSD,H4,PARENT,MAIN,2023,113,0.8664469541465968,-163.30999999999997,4.4371162581126296
XAUUSD,H4,PARENT,MAIN,2024,119,0.8382368144693957,-297.28999999999996,5.874214847653874
XAUUSD,H4,PARENT,MAIN,2025,118,0.7384375411661857,-873.65,13.855707266245949
XAUUSD,H4,PARENT,BWD,2020,117,0.8446431197607727,-253.52999999999994,5.872848126895124
XAUUSD,H4,PARENT,BWD,2021,95,1.1520402895077786,156.07999999999998,1.883856236502051
XAUUSD,H4,PARENT,BWD,2022,100,1.176244842296664,201.60999999999999,2.352222510794699
XAUUSD,H4,CHILD,MAIN,2023,126,0.8713467889908257,-175.29,4.336066341598075
XAUUSD,H4,CHILD,MAIN,2024,119,0.8382368144693957,-297.28999999999996,5.874214847653874
XAUUSD,H4,CHILD,MAIN,2025,123,0.7102582326462924,-1027.32,14.066999700309458
XAUUSD,H4,CHILD,BWD,2020,117,0.8446431197607727,-253.52999999999994,5.872848126895124
XAUUSD,H4,CHILD,BWD,2021,95,1.1520402895077786,156.07999999999998,1.883856236502051
XAUUSD,H4,CHILD,BWD,2022,103,1.2063980366910638,238.85,2.344871188202511
