symbol,tf,variant,window,year,trades,pf,net,balance_dd_pct
USDJPY,H4,PARENT,MAIN,2023,239,1.1355240991083535,131.93,1.6387133728318588
USDJPY,H4,PARENT,MAIN,2024,262,1.1009272467902995,107.54000000000002,2.2092303842169585
USDJPY,H4,PARENT,MAIN,2025,227,0.6955806669192176,-329.46999999999997,3.689053271825889
USDJPY,H4,PARENT,BWD,2020,225,0.7270518591601406,-221.32,3.417277024057097
USDJPY,H4,PARENT,BWD,2021,227,0.9647537518495033,-20.009999999999994,1.393743031779025
USDJPY,H4,PARENT,BWD,2022,279,1.3466845463793582,374.87,1.257686349981265
USDJPY,H4,CHILD,MAIN,2023,117,1.3540932851726382,157.83,0.45844209451603923
USDJPY,H4,CHILD,MAIN,2024,131,1.2730782071613387,130.87,1.126218693618179
USDJPY,H4,CHILD,MAIN,2025,115,0.7167969853980216,-150.31,2.286080069867685
USDJPY,H4,CHILD,BWD,2020,103,0.6231980319803199,-153.17,1.9007527487035474
USDJPY,H4,CHILD,BWD,2021,115,0.9958258589761281,-1.209999999999996,0.5731092219658918
USDJPY,H4,CHILD,BWD,2022,134,1.575419332700886,285.08000000000004,0.52842727650321
XAUUSD,H4,PARENT,MAIN,2023,240,0.9651461201011232,-91.12999999999997,6.497026109588616
XAUUSD,H4,PARENT,MAIN,2024,234,0.9748609161337284,-87.02999999999996,8.563538044831828
XAUUSD,H4,PARENT,MAIN,2025,259,1.0637122762167477,425.6699999999999,15.782516225680467
XAUUSD,H4,PARENT,BWD,2020,223,0.7900212711042284,-707.79,9.905331728731328
XAUUSD,H4,PARENT,BWD,2021,226,0.7960252849695311,-555.98,7.2456115116418545
XAUUSD,H4,PARENT,BWD,2022,244,0.8435019329896907,-485.77,8.18111043783329
XAUUSD,H4,CHILD,MAIN,2023,115,1.1408687505750685,168.41,1.5887950912573028
XAUUSD,H4,CHILD,MAIN,2024,112,0.9124220612506877,-152.82,3.9318174152677217
XAUUSD,H4,CHILD,MAIN,2025,127,1.073691779478735,236.7399999999999,8.714516989090319
XAUUSD,H4,CHILD,BWD,2020,112,0.7202261082706605,-518.1999999999999,6.36080520889207
XAUUSD,H4,CHILD,BWD,2021,107,0.8776777251184835,-154.86,2.393739283079586
XAUUSD,H4,CHILD,BWD,2022,123,0.8927792047276026,-166.55999999999997,3.7331231784928516
