ticket,time,time_unix,symbol,magic,type,entry,volume,price,profit,swap,commission,comment
2007481236,2026.07.17 01:00:00,1784250000,XAUUSDm,990301,1,0,0.01,3991.81000,0.00,0.00,0.00,17_Wave5 L0
2007484255,2026.07.17 01:00:08,1784250008,XAUUSDm,990301,0,1,0.01,3990.05100,1.76,0.00,0.00,[sl 3990.05100]
2029261610,2026.07.22 07:00:00,1784703600,XAUUSDm,990301,0,0,0.01,4117.13300,0.00,0.00,0.00,17_Wave5 L0
2029356206,2026.07.22 07:20:52,1784704852,XAUUSDm,990301,1,1,0.01,4118.96200,1.83,0.00,0.00,[sl 4118.962]
2048051763,2026.07.27 08:00:00,1785139200,XAUUSDm,999094,1,0,0.01,4089.03300,0.00,0.00,0.00,MACDDIV_SELL
2053822408,2026.07.28 09:00:00,1785229200,XAUUSDm,990068,1,0,0.10,4045.41600,0.00,0.00,0.00,IchiADX
2054078271,2026.07.28 09:57:42,1785232662,XAUUSDm,999094,0,1,0.01,4025.63700,63.39,0.00,0.00,[tp 4025.63700]
2054657319,2026.07.28 12:00:00,1785240000,XAUUSDm,999094,1,0,0.01,4028.27700,0.00,0.00,0.00,MACDDIV_SELL
2056128427,2026.07.28 15:47:11,1785253631,XAUUSDm,990068,0,1,0.10,4044.88800,5.28,0.00,0.00,[sl 4044.888]
2062445014,2026.07.29 18:00:05,1785348005,XAUUSDm,999094,0,1,0.01,4077.90900,-49.63,0.00,0.00,[sl 4077.90900]
2065647784,2026.07.30 04:00:00,1785384000,XAUUSDm,999094,1,0,0.01,4058.75300,0.00,0.00,0.00,MACDDIV_SELL
2076042881,2026.07.31 17:00:00,1785517200,XAUUSDm,990301,1,0,0.01,4043.31500,0.00,0.00,0.00,17_Wave5 L0
2077920839,2026.08.02 22:03:33,1785708213,XAUUSDm,990301,0,1,0.01,4078.56600,-35.25,0.00,0.00,[sl 4078.566]
2082827992,2026.08.03 16:00:00,1785772800,XAUUSDm,990301,1,0,0.01,4036.16100,0.00,0.00,0.00,17_Wave5 L0
2083032777,2026.08.03 17:04:47,1785776687,XAUUSDm,990301,0,1,0.01,4034.32600,1.83,0.00,0.00,[sl 4034.326]
2083676987,2026.08.04 00:00:00,1785801600,XAUUSDm,990069,1,0,0.10,4053.44600,0.00,0.00,0.00,IchiADX
2088162141,2026.08.04 15:00:00,1785855600,XAUUSDm,990068,0,0,0.10,4083.93200,0.00,0.00,0.00,IchiADX
2088762553,2026.08.04 17:04:44,1785863084,XAUUSDm,990069,0,1,0.10,4102.55600,-491.10,0.00,0.00,[sl 4102.55600]
2089269493,2026.08.04 20:00:00,1785873600,XAUUSDm,990301,0,0,0.01,4078.80800,0.00,0.00,0.00,17_Wave5 L0
2089377067,2026.08.04 22:36:42,1785883002,XAUUSDm,990301,1,1,0.01,4082.22800,3.42,0.00,0.00,[sl 4082.228]
2090217626,2026.08.05 02:38:02,1785897482,XAUUSDm,999094,0,1,0.01,4121.45200,-62.70,0.00,0.00,[sl 4121.45200]
2090610409,2026.08.05 04:00:00,1785902400,XAUUSDm,999094,1,0,0.01,4128.39000,0.00,0.00,0.00,MACDDIV_SELL
2090679219,2026.08.05 04:11:44,1785903104,XAUUSDm,999094,0,1,0.01,4140.72200,-12.33,0.00,0.00,[sl 4140.72200]
2091808588,2026.08.05 08:00:00,1785916800,XAUUSDm,999094,1,0,0.01,4170.40400,0.00,0.00,0.00,MACDDIV_SELL
2092687637,2026.08.05 11:36:08,1785929768,XAUUSDm,999094,0,1,0.01,4184.08200,-13.68,0.00,0.00,[sl 4184.082]
2092849938,2026.08.05 12:00:01,1785931201,XAUUSDm,999094,1,0,0.01,4189.54100,0.00,0.00,0.00,MACDDIV_SELL
2092886910,2026.08.05 12:05:57,1785931557,XAUUSDm,999094,0,1,0.01,4197.18100,-7.64,0.00,0.00,[sl 4197.18100]
2094856586,2026.08.05 16:00:00,1785945600,XAUUSDm,999094,1,0,0.01,4232.97400,0.00,0.00,0.00,MACDDIV_SELL
2095853915,2026.08.05 23:35:11,1785972911,XAUUSDm,999094,0,1,0.01,4270.36900,-37.40,0.00,0.00,[sl 4270.36900]
2095946570,2026.08.06 00:00:00,1785974400,XAUUSDm,999094,1,0,0.01,4277.81700,0.00,0.00,0.00,MACDDIV_SELL
2096121983,2026.08.06 00:35:06,1785976506,XAUUSDm,999094,0,1,0.01,4287.34400,-9.52,0.00,0.00,[sl 4287.344]
2097090364,2026.08.06 04:00:01,1785988801,XAUUSDm,999094,1,0,0.01,4265.64300,0.00,0.00,0.00,MACDDIV_SELL
2097300113,2026.08.06 05:00:00,1785992400,XAUUSDm,990301,0,0,0.01,4262.03500,0.00,0.00,0.00,17_Wave5 L0
2097316600,2026.08.06 05:03:41,1785992621,XAUUSDm,990301,1,1,0.01,4264.48000,2.44,0.00,0.00,[sl 4264.480]
2099389628,2026.08.06 13:08:26,1786021706,XAUUSDm,990068,1,1,0.10,4242.15800,1582.26,0.00,0.00,[sl 4242.15800]
2104142775,2026.08.07 08:33:53,1786091633,XAUUSDm,999094,0,1,0.01,4310.86300,-45.22,0.00,0.00,[sl 4309.70600]
2117056185,2026.08.11 06:00:01,1786428001,XAUUSDm,990301,0,0,0.01,4375.03400,0.00,0.00,0.00,17_Wave5 L0
2117071977,2026.08.11 06:01:40,1786428100,XAUUSDm,990301,1,1,0.01,4376.45500,1.43,0.00,0.00,[sl 4376.455]
2140628041,2026.08.17 06:00:00,1786946400,XAUUSDm,990068,0,0,0.10,4395.24600,0.00,0.00,0.00,IchiADX
2145113375,2026.08.18 02:40:43,1787020843,XAUUSDm,990068,1,1,0.10,4394.96200,-2.84,0.00,0.00,[sl 4394.96200]
2145355943,2026.08.18 04:00:00,1787025600,XAUUSDm,990069,0,0,0.10,4392.04000,0.00,0.00,0.00,IchiADX
2149468118,2026.08.18 20:21:24,1787084484,XAUUSDm,990069,1,1,0.10,4334.13200,-579.08,0.00,0.00,[sl 4335.61300]
2149628847,2026.08.18 23:00:00,1787094000,XAUUSDm,990068,1,0,0.10,4334.19700,0.00,0.00,0.00,IchiADX
2150664974,2026.08.19 04:00:00,1787112000,XAUUSDm,990301,1,0,0.01,4355.21300,0.00,0.00,0.00,17_Wave5 L0
2150691481,2026.08.19 04:15:16,1787112916,XAUUSDm,990301,0,1,0.01,4353.89200,1.32,0.00,0.00,[sl 4353.892]
2152053513,2026.08.19 10:17:44,1787134664,XAUUSDm,990068,0,1,0.10,4367.11200,-329.15,0.00,0.00,[sl 4367.11200]
2152405220,2026.08.19 12:00:00,1787140800,XAUUSDm,999094,1,0,0.01,4364.80100,0.00,0.00,0.00,MACDDIV_SELL
2152592998,2026.08.19 12:33:44,1787142824,XAUUSDm,999094,0,1,0.01,4378.35600,-13.56,0.00,0.00,[sl 4378.35600]
2154777932,2026.08.19 16:00:00,1787155200,XAUUSDm,999094,1,0,0.01,4493.77300,0.00,0.00,0.00,MACDDIV_SELL
2155422731,2026.08.19 18:28:27,1787164107,XAUUSDm,999094,0,1,0.01,4473.36700,20.40,0.00,0.00,[tp 4473.36700]
2155738107,2026.08.19 20:00:00,1787169600,XAUUSDm,999094,1,0,0.01,4511.50500,0.00,0.00,0.00,MACDDIV_SELL
2155790970,2026.08.19 20:25:00,1787171100,XAUUSDm,999094,0,1,0.01,4517.78000,-6.27,0.00,0.00,[sl 4517.78000]
2155957839,2026.08.19 23:00:00,1787180400,XAUUSDm,990068,0,0,0.10,4519.21400,0.00,0.00,0.00,IchiADX
2156044846,2026.08.20 00:00:00,1787184000,XAUUSDm,999094,1,0,0.01,4511.78800,0.00,0.00,0.00,MACDDIV_SELL
2158503262,2026.08.20 11:45:34,1787226334,XAUUSDm,990068,1,1,0.10,4471.91100,-473.03,0.00,0.00,[sl 4473.27200]
2158519456,2026.08.20 11:46:52,1787226412,XAUUSDm,999094,0,1,0.01,4469.70800,42.08,0.00,0.00,[tp 4469.70800]
2158606644,2026.08.20 12:00:00,1787227200,XAUUSDm,999094,1,0,0.01,4467.15400,0.00,0.00,0.00,MACDDIV_SELL
2159907074,2026.08.20 15:01:28,1787238088,XAUUSDm,999094,0,1,0.01,4528.68200,-61.53,0.00,0.00,[sl 4526.70900]
2160466928,2026.08.20 16:00:00,1787241600,XAUUSDm,999094,1,0,0.01,4521.90300,0.00,0.00,0.00,MACDDIV_SELL
2162564574,2026.08.21 04:27:11,1787286431,XAUUSDm,999094,0,1,0.01,4546.87600,-24.98,0.00,0.00,[sl 4546.87600]
2165311057,2026.08.21 14:00:00,1787320800,XAUUSDm,990301,0,0,0.01,4581.21400,0.00,0.00,0.00,17_Wave5 L0
2165316204,2026.08.21 14:00:52,1787320852,XAUUSDm,990301,1,1,0.01,4582.57800,1.37,0.00,0.00,[sl 4582.578]
2189233333,2026.08.26 18:00:00,1787767200,XAUUSDm,990301,1,0,0.01,4597.62100,0.00,0.00,0.00,17_Wave5 L0
2189305054,2026.08.26 18:19:58,1787768398,XAUUSDm,990301,0,1,0.01,4596.04300,1.58,0.00,0.00,[sl 4596.04300]
2195168316,2026.08.28 00:00:01,1787875201,XAUUSDm,999094,1,0,0.01,4594.57800,0.00,0.00,0.00,MACDDIV_SELL
2198500341,2026.08.28 13:58:10,1787925490,XAUUSDm,999094,0,1,0.01,4623.42800,-28.85,0.00,0.00,[sl 4623.428]
2201267258,2026.08.28 17:00:00,1787936400,XAUUSDm,990016,0,0,0.01,4480.24400,0.00,0.00,0.00,16_KangarooGrid L0
2201639394,2026.08.28 18:17:19,1787941039,XAUUSDm,990016,0,0,0.01,4454.75800,0.00,0.00,0.00,16_KangarooGrid L1
2204767667,2026.08.31 02:03:11,1788141791,XAUUSDm,990016,0,0,0.01,4426.13800,0.00,0.00,0.00,16_KangarooGrid L2
2205080382,2026.08.31 02:48:34,1788144514,XAUUSDm,990016,0,0,0.01,4398.91600,0.00,0.00,0.00,16_KangarooGrid L3
2205755724,2026.08.31 05:30:01,1788154201,XAUUSDm,990016,1,1,0.01,4441.29200,42.37,0.00,0.00,
2205756223,2026.08.31 05:30:02,1788154202,XAUUSDm,990016,1,1,0.01,4440.06400,-40.18,0.00,0.00,
2207167393,2026.08.31 11:02:14,1788174134,XAUUSDm,990016,1,1,0.01,4456.59800,30.46,0.00,0.00,
2207167476,2026.08.31 11:02:15,1788174135,XAUUSDm,990016,1,1,0.01,4456.32400,1.56,0.00,0.00,
2212548402,2026.09.01 09:00:01,1788253201,XAUUSDm,990016,0,0,0.01,4370.75500,0.00,0.00,0.00,16_KangarooGrid L0
2212657729,2026.09.01 09:17:07,1788254227,XAUUSDm,990016,1,1,0.01,4377.20300,6.44,0.00,0.00,
2212852857,2026.09.01 10:00:00,1788256800,XAUUSDm,990016,0,0,0.01,4364.80700,0.00,0.00,0.00,16_KangarooGrid L0
2212889644,2026.09.01 10:07:02,1788257222,XAUUSDm,990016,1,1,0.01,4371.28700,6.48,0.00,0.00,
2213823549,2026.09.01 13:00:00,1788267600,XAUUSDm,990016,0,0,0.01,4356.24400,0.00,0.00,0.00,16_KangarooGrid L0
2213888566,2026.09.01 13:03:09,1788267789,XAUUSDm,990016,0,0,0.01,4339.73700,0.00,0.00,0.00,16_KangarooGrid L1
2214338305,2026.09.01 13:52:09,1788270729,XAUUSDm,990016,1,1,0.01,4364.46100,24.72,0.00,0.00,
2214338449,2026.09.01 13:52:09,1788270729,XAUUSDm,990016,1,1,0.01,4363.96700,7.73,0.00,0.00,
2215175446,2026.09.01 16:00:00,1788278400,XAUUSDm,990301,1,0,0.01,4372.95400,0.00,0.00,0.00,17_Wave5 L0
2215210415,2026.09.01 16:07:05,1788278825,XAUUSDm,990301,0,1,0.01,4370.02200,2.93,0.00,0.00,[sl 4370.022]
2215899382,2026.09.01 19:00:00,1788289200,XAUUSDm,990016,0,0,0.01,4331.97100,0.00,0.00,0.00,16_KangarooGrid L0
2216314298,2026.09.02 00:02:39,1788307359,XAUUSDm,990016,0,0,0.01,4317.76000,0.00,0.00,0.00,16_KangarooGrid L1
2216895870,2026.09.02 01:51:16,1788313876,XAUUSDm,990016,0,0,0.01,4302.11700,0.00,0.00,0.00,16_KangarooGrid L2
2217391375,2026.09.02 03:34:54,1788320094,XAUUSDm,990016,0,0,0.01,4285.13100,0.00,0.00,0.00,16_KangarooGrid L3
2217683060,2026.09.02 05:15:06,1788326106,XAUUSDm,990016,1,1,0.01,4311.55200,26.42,0.00,0.00,
2217683243,2026.09.02 05:15:06,1788326106,XAUUSDm,990016,1,1,0.01,4311.40900,-20.56,0.00,0.00,
2217862030,2026.09.02 05:49:52,1788328192,XAUUSDm,990016,1,1,0.01,4326.00000,23.88,0.00,0.00,
2217862105,2026.09.02 05:49:52,1788328192,XAUUSDm,990016,1,1,0.01,4326.00000,8.24,0.00,0.00,
2219591348,2026.09.02 12:00:00,1788350400,XAUUSDm,990301,1,0,0.01,4332.28400,0.00,0.00,0.00,17_Wave5 L0
2219598125,2026.09.02 12:00:24,1788350424,XAUUSDm,990301,0,1,0.01,4331.01500,1.26,0.00,0.00,[sl 4331.01500]
2227812164,2026.09.03 18:00:00,1788458400,XAUUSDm,990301,0,0,0.01,4486.89200,0.00,0.00,0.00,17_Wave5 L0
2227821162,2026.09.03 18:02:33,1788458553,XAUUSDm,990301,1,1,0.01,4489.00200,2.11,0.00,0.00,[sl 4489.002]
2246793666,2026.09.08 16:00:00,1788883200,XAUUSDm,999094,0,0,0.01,4395.15200,0.00,0.00,0.00,MACDDIV_BUY
2246867558,2026.09.08 16:09:59,1788883799,XAUUSDm,999094,1,1,0.01,4380.49600,-14.65,0.00,0.00,[sl 4380.49600]
2247747671,2026.09.08 20:00:00,1788897600,XAUUSDm,999094,0,0,0.01,4359.70000,0.00,0.00,0.00,MACDDIV_BUY
2247822051,2026.09.08 20:49:56,1788900596,XAUUSDm,999094,1,1,0.01,4351.60400,-8.10,0.00,0.00,[sl 4351.60400]
2248048084,2026.09.09 00:00:00,1788912000,XAUUSDm,990069,1,0,0.10,4349.79100,0.00,0.00,0.00,IchiADX
2248048085,2026.09.09 00:00:00,1788912000,XAUUSDm,999094,0,0,0.01,4350.03100,0.00,0.00,0.00,MACDDIV_BUY
2248443047,2026.09.09 01:25:01,1788917101,XAUUSDm,999094,1,1,0.01,4369.81800,19.79,0.00,0.00,[tp 4369.81800]
2248781808,2026.09.09 03:00:00,1788922800,XAUUSDm,990301,1,0,0.01,4382.09800,0.00,0.00,0.00,17_Wave5 L0
2248791893,2026.09.09 03:02:37,1788922957,XAUUSDm,990301,0,1,0.01,4379.70100,2.40,0.00,0.00,[sl 4379.70100]
2248950342,2026.09.09 04:00:00,1788926400,XAUUSDm,999094,0,0,0.01,4375.35600,0.00,0.00,0.00,MACDDIV_BUY
2249789997,2026.09.09 07:14:01,1788938041,XAUUSDm,990069,0,1,0.10,4407.12900,-573.38,0.00,0.00,[sl 4407.12900]
2258471901,2026.09.10 12:36:46,1789043806,XAUUSDm,999094,1,1,0.01,4335.82500,-39.53,0.00,0.00,[sl 4335.82500]
2258926806,2026.09.10 13:00:00,1789045200,XAUUSDm,990068,1,0,0.10,4340.00700,0.00,0.00,0.00,IchiADX
2260445439,2026.09.10 16:00:01,1789056001,XAUUSDm,999094,0,0,0.01,4366.38200,0.00,0.00,0.00,MACDDIV_BUY
2261250007,2026.09.10 19:02:46,1789066966,XAUUSDm,999094,1,1,0.01,4318.89600,-47.48,0.00,0.00,[sl 4318.89600]
2261427249,2026.09.10 20:00:00,1789070400,XAUUSDm,999094,0,0,0.01,4324.76700,0.00,0.00,0.00,MACDDIV_BUY
2262665216,2026.09.11 03:22:25,1789096945,XAUUSDm,999094,1,1,0.01,4308.13900,-16.63,0.00,0.00,[sl 4308.13900]
2262875603,2026.09.11 04:00:00,1789099200,XAUUSDm,999094,0,0,0.01,4304.28300,0.00,0.00,0.00,MACDDIV_BUY
2262943517,2026.09.11 04:10:24,1789099824,XAUUSDm,999094,1,1,0.01,4322.65200,18.37,0.00,0.00,[tp 4322.65200]
2263471751,2026.09.11 05:55:36,1789106136,XAUUSDm,990068,0,1,0.10,4349.65800,-96.51,0.00,0.00,[sl 4349.65800]
2264010932,2026.09.11 08:00:00,1789113600,XAUUSDm,999094,0,0,0.01,4345.16300,0.00,0.00,0.00,MACDDIV_BUY
2265208668,2026.09.11 12:30:17,1789129817,XAUUSDm,999094,1,1,0.01,4295.04800,-50.11,0.00,0.00,[sl 4295.04800]
2267517966,2026.09.11 16:00:00,1789142400,XAUUSDm,999094,0,0,0.01,4367.12000,0.00,0.00,0.00,MACDDIV_BUY
2272988750,2026.09.14 09:25:58,1789377958,XAUUSDm,999094,1,1,0.01,4285.53200,-81.59,0.00,0.00,[sl 4285.53200]
