datetime,state,ri,flags
2020.01.01 02:00,NEUTRAL,-0.154,
2020.01.02 02:00,NEUTRAL,0.038,
2020.01.03 02:00,NEUTRAL,0.077,
2020.01.04 02:00,NEUTRAL,0.077,
2020.01.05 02:00,NEUTRAL,0.077,
2020.01.06 02:00,NEUTRAL,0.077,
2020.01.07 02:00,NEUTRAL,-0.115,
2020.01.08 02:00,NEUTRAL,0.077,
2020.01.09 02:00,NEUTRAL,0.038,
2020.01.10 02:00,NEUTRAL,0.115,
2020.01.11 02:00,NEUTRAL,0.038,
2020.01.12 02:00,NEUTRAL,0.154,
2020.01.13 02:00,NEUTRAL,0.154,
2020.01.14 02:00,NEUTRAL,0.077,
2020.01.15 02:00,STRESS,-0.923,VIX_STRESS
2020.01.16 02:00,STRESS,-0.462,VIX_STRESS
2020.01.17 02:00,RISK_OFF,-0.346,
2020.01.18 02:00,STRESS,-0.5,VIX_STRESS
2020.01.19 02:00,NEUTRAL,-0.038,
2020.01.20 02:00,NEUTRAL,-0.154,
2020.01.21 02:00,NEUTRAL,-0.231,
2020.01.22 02:00,NEUTRAL,-0.154,
2020.01.23 02:00,NEUTRAL,-0.077,
2020.01.24 02:00,STRESS,-0.346,VIX_STRESS
2020.01.25 02:00,STRESS,-0.423,VIX_STRESS
2020.01.26 02:00,STRESS,-0.577,VIX_STRESS
2020.01.27 02:00,STRESS,-0.5,VIX_STRESS
2020.01.28 02:00,STRESS,-0.308,VIX_STRESS
2020.01.29 02:00,STRESS,-0.423,VIX_STRESS
2020.01.30 02:00,STRESS,-0.423,VIX_STRESS
2020.01.31 02:00,STRESS,-0.654,VIX_STRESS
2020.02.01 02:00,RISK_OFF,-0.423,
2020.02.02 02:00,STRESS,-0.423,VIX_STRESS
2020.02.03 02:00,STRESS,-0.308,VIX_STRESS
2020.02.04 02:00,STRESS,-0.423,VIX_STRESS
2020.02.05 02:00,NEUTRAL,-0.077,
2020.02.06 02:00,STRESS,-0.346,VIX_STRESS
2020.02.07 02:00,NEUTRAL,-0.077,
2020.02.08 02:00,NEUTRAL,-0.154,
2020.02.09 02:00,RISK_OFF,-0.346,
2020.02.10 02:00,RISK_OFF,-0.346,
2020.02.11 02:00,RISK_OFF,-0.346,
2020.02.12 02:00,RISK_OFF,-0.423,
2020.02.13 02:00,NEUTRAL,-0.077,
2020.02.14 02:00,NEUTRAL,-0.077,
2020.02.15 02:00,NEUTRAL,-0.154,
2020.02.16 02:00,NEUTRAL,-0.077,
2020.02.17 02:00,NEUTRAL,-0.077,
2020.02.18 02:00,NEUTRAL,-0.077,
2020.02.19 02:00,NEUTRAL,-0.077,
2020.02.20 02:00,NEUTRAL,0,
2020.02.21 02:00,NEUTRAL,0.154,
2020.02.22 02:00,NEUTRAL,0.154,
2020.02.23 02:00,NEUTRAL,-0.077,
2020.02.24 02:00,NEUTRAL,-0.077,
2020.02.25 02:00,NEUTRAL,-0.077,
2020.02.26 02:00,NEUTRAL,0.077,
2020.02.27 02:00,NEUTRAL,0.077,
2020.02.28 02:00,NEUTRAL,-0.154,
2020.02.29 02:00,NEUTRAL,-0.231,
2020.03.01 02:00,NEUTRAL,0.077,
2020.03.02 02:00,NEUTRAL,0.077,
2020.03.03 02:00,NEUTRAL,0.154,
2020.03.04 02:00,STRESS,-0.5,VIX_STRESS
2020.03.05 02:00,RISK_OFF,-0.346,
2020.03.06 02:00,STRESS,-0.423,VIX_STRESS
2020.03.07 02:00,STRESS,-0.5,VIX_STRESS
2020.03.08 00:00,UNKNOWN,-0.308,
2020.03.09 03:00,RISK_OFF,-0.308,
2020.03.10 03:00,STRESS,-0.5,VIX_STRESS
2020.03.11 03:00,STRESS,-0.308,VIX_STRESS
2020.03.12 03:00,RISK_OFF,-0.423,
2020.03.13 03:00,RISK_OFF,-0.423,
2020.03.14 03:00,RISK_OFF,-0.423,
2020.03.15 03:00,STRESS,-0.5,VIX_STRESS
2020.03.16 03:00,STRESS,-0.5,VIX_STRESS
2020.03.17 03:00,STRESS,-0.385,VIX_STRESS
2020.03.18 03:00,RISK_OFF,-0.346,
2020.03.19 03:00,NEUTRAL,-0.231,
2020.03.20 03:00,NEUTRAL,-0.154,
2020.03.21 03:00,RISK_OFF,-0.385,
2020.03.22 03:00,RISK_OFF,-0.423,
2020.03.23 03:00,RISK_OFF,-0.423,
2020.03.24 03:00,RISK_OFF,-0.269,
2020.03.25 03:00,RISK_OFF,-0.5,
2020.03.26 03:00,RISK_OFF,-0.5,
2020.03.27 03:00,RISK_OFF,-0.346,
2020.03.28 03:00,RISK_OFF,-0.346,
2020.03.29 03:00,RISK_OFF,-0.385,
2020.03.30 03:00,RISK_OFF,-0.5,
2020.03.31 03:00,RISK_OFF,-0.423,
2020.04.01 03:00,NEUTRAL,-0.231,
2020.04.02 03:00,NEUTRAL,-0.154,
2020.04.03 03:00,NEUTRAL,-0.231,
2020.04.04 03:00,RISK_OFF,-0.308,
2020.04.05 03:00,RISK_OFF,-0.346,
2020.04.06 03:00,NEUTRAL,-0.231,
2020.04.07 03:00,RISK_OFF,-0.346,
2020.04.08 03:00,NEUTRAL,-0.077,
2020.04.09 03:00,NEUTRAL,-0.077,
2020.04.10 03:00,NEUTRAL,-0.077,
2020.04.11 03:00,NEUTRAL,-0.077,
2020.04.12 03:00,RISK_OFF,-0.308,
2020.04.13 03:00,RISK_OFF,-0.308,
2020.04.14 03:00,NEUTRAL,-0.077,
2020.04.15 03:00,RISK_OFF,-0.423,
2020.04.16 03:00,RISK_OFF,-0.346,
2020.04.17 03:00,RISK_OFF,-0.346,
2020.04.18 03:00,NEUTRAL,-0.192,
2020.04.19 03:00,NEUTRAL,-0.077,
2020.04.20 03:00,RISK_OFF,-0.269,
2020.04.21 03:00,NEUTRAL,-0.154,
2020.04.22 03:00,RISK_OFF,-0.577,
2020.04.23 03:00,RISK_OFF,-0.269,
2020.04.24 03:00,RISK_OFF,-0.269,
2020.04.25 03:00,NEUTRAL,-0.115,
2020.04.26 03:00,NEUTRAL,-0.192,
2020.04.27 03:00,NEUTRAL,-0.192,
2020.04.28 03:00,RISK_OFF,-0.654,
2020.04.29 03:00,NEUTRAL,-0.077,
2020.04.30 03:00,NEUTRAL,0.077,
2020.05.01 03:00,NEUTRAL,0,
2020.05.02 03:00,NEUTRAL,0.077,
2020.05.03 03:00,NEUTRAL,-0.115,
2020.05.04 03:00,NEUTRAL,0,
2020.05.05 03:00,NEUTRAL,0,
2020.05.06 03:00,NEUTRAL,0.077,
2020.05.07 03:00,NEUTRAL,-0.115,
2020.05.08 03:00,NEUTRAL,-0.192,
2020.05.09 03:00,RISK_OFF,-0.346,
2020.05.10 03:00,NEUTRAL,0.077,
2020.05.11 03:00,NEUTRAL,0.077,
2020.05.12 03:00,NEUTRAL,-0.038,
2020.05.13 03:00,NEUTRAL,-0.154,
2020.05.14 03:00,NEUTRAL,-0.077,
2020.05.15 03:00,NEUTRAL,-0.077,
2020.05.16 03:00,NEUTRAL,-0.154,
2020.05.17 03:00,RISK_OFF,-0.346,
2020.05.18 03:00,RISK_OFF,-0.346,
2020.05.19 03:00,NEUTRAL,-0.154,
2020.05.20 03:00,NEUTRAL,-0.231,
2020.05.21 03:00,NEUTRAL,-0.154,
2020.05.22 03:00,NEUTRAL,-0.077,
2020.05.23 03:00,NEUTRAL,-0.077,
2020.05.24 03:00,NEUTRAL,-0.154,
2020.05.25 03:00,NEUTRAL,-0.154,
2020.05.26 03:00,NEUTRAL,-0.154,
2020.05.27 03:00,NEUTRAL,-0.154,
2020.05.28 03:00,NEUTRAL,-0.154,
2020.05.29 03:00,NEUTRAL,0,
2020.05.30 03:00,NEUTRAL,-0.077,
2020.05.31 03:00,NEUTRAL,-0.077,
2020.06.01 03:00,NEUTRAL,-0.077,
2020.06.02 03:00,NEUTRAL,-0.192,
2020.06.03 03:00,NEUTRAL,-0.077,
2020.06.04 03:00,RISK_OFF,-0.269,
2020.06.05 03:00,NEUTRAL,-0.192,
2020.06.06 03:00,RISK_OFF,-0.269,
2020.06.07 03:00,NEUTRAL,-0.077,
2020.06.08 03:00,NEUTRAL,-0.077,
2020.06.09 03:00,NEUTRAL,0,
2020.06.10 03:00,RISK_OFF,-0.269,
2020.06.11 03:00,RISK_OFF,-0.269,
2020.06.12 03:00,NEUTRAL,-0.192,
2020.06.13 03:00,RISK_OFF,-0.269,
2020.06.14 03:00,RISK_OFF,-0.269,
2020.06.15 03:00,RISK_OFF,-0.269,
2020.06.16 03:00,RISK_OFF,-0.269,
2020.06.17 03:00,STRESS,-0.423,VIX_STRESS
2020.06.18 03:00,STRESS,-0.423,VIX_STRESS
2020.06.19 03:00,STRESS,-0.346,VIX_STRESS
2020.06.20 03:00,STRESS,-0.346,VIX_STRESS
2020.06.21 03:00,RISK_OFF,-0.346,
2020.06.22 03:00,RISK_OFF,-0.269,
2020.06.23 03:00,STRESS,-0.423,VIX_STRESS
2020.06.24 03:00,NEUTRAL,-0.231,
2020.06.25 03:00,NEUTRAL,-0.077,
2020.06.26 03:00,STRESS,-0.346,VIX_STRESS
2020.06.27 03:00,STRESS,-0.346,VIX_STRESS
2020.06.28 03:00,STRESS,-0.346,VIX_STRESS
2020.06.29 03:00,STRESS,-0.346,VIX_STRESS
2020.06.30 03:00,STRESS,-0.385,VIX_STRESS
2020.07.01 03:00,STRESS,-0.423,VIX_STRESS
2020.07.02 03:00,STRESS,-0.423,VIX_STRESS
2020.07.03 03:00,STRESS,-0.346,VIX_STRESS
2020.07.04 03:00,STRESS,-0.346,VIX_STRESS
2020.07.05 03:00,STRESS,-0.346,VIX_STRESS
2020.07.06 03:00,STRESS,-0.423,VIX_STRESS
2020.07.07 03:00,STRESS,-0.346,VIX_STRESS
2020.07.08 03:00,STRESS,-0.231,VIX_STRESS
2020.07.09 03:00,STRESS,-0.154,VIX_STRESS
2020.07.10 03:00,NEUTRAL,0,
2020.07.11 03:00,NEUTRAL,0,
2020.07.12 03:00,STRESS,-0.346,VIX_STRESS
2020.07.13 03:00,STRESS,-0.346,VIX_STRESS
2020.07.14 03:00,STRESS,-0.231,VIX_STRESS
2020.07.15 03:00,NEUTRAL,-0.077,
2020.07.16 03:00,RISK_OFF,-0.385,
2020.07.17 03:00,RISK_OFF,-0.538,
2020.07.18 03:00,RISK_OFF,-0.538,
2020.07.19 03:00,NEUTRAL,0,
2020.07.20 03:00,NEUTRAL,0,
2020.07.21 03:00,NEUTRAL,0,
2020.07.22 03:00,NEUTRAL,-0.077,
2020.07.23 03:00,NEUTRAL,-0.231,
2020.07.24 03:00,RISK_OFF,-0.269,
2020.07.25 03:00,NEUTRAL,-0.192,
2020.07.26 03:00,RISK_OFF,-0.538,
2020.07.27 03:00,RISK_OFF,-0.538,
2020.07.28 03:00,NEUTRAL,-0.231,
2020.07.29 03:00,RISK_OFF,-0.269,
2020.07.30 03:00,RISK_OFF,-0.269,
2020.07.31 03:00,RISK_OFF,-0.308,
2020.08.01 03:00,RISK_OFF,-0.615,
2020.08.02 03:00,NEUTRAL,-0.192,
2020.08.03 03:00,NEUTRAL,-0.192,
2020.08.04 03:00,NEUTRAL,-0.192,
2020.08.05 03:00,RISK_OFF,-0.731,
2020.08.06 03:00,RISK_OFF,-0.654,
2020.08.07 03:00,RISK_OFF,-0.5,
2020.08.08 03:00,NEUTRAL,-0.154,
2020.08.09 03:00,RISK_OFF,-0.615,
2020.08.10 03:00,RISK_OFF,-0.615,
2020.08.11 03:00,RISK_OFF,-0.654,
2020.08.12 03:00,NEUTRAL,-0.154,
2020.08.13 03:00,RISK_OFF,-0.269,
2020.08.14 03:00,NEUTRAL,-0.154,
2020.08.15 03:00,NEUTRAL,-0.192,
2020.08.16 03:00,NEUTRAL,-0.154,
2020.08.17 03:00,NEUTRAL,-0.231,
2020.08.18 03:00,NEUTRAL,-0.231,
2020.08.19 03:00,RISK_OFF,-0.538,
2020.08.20 03:00,NEUTRAL,-0.192,
2020.08.21 03:00,NEUTRAL,-0.192,
2020.08.22 03:00,RISK_OFF,-0.538,
2020.08.23 03:00,NEUTRAL,-0.192,
2020.08.24 03:00,NEUTRAL,-0.192,
2020.08.25 03:00,NEUTRAL,-0.192,
2020.08.26 03:00,RISK_OFF,-0.692,
2020.08.27 03:00,RISK_OFF,-0.769,
2020.08.28 03:00,RISK_OFF,-0.538,
2020.08.29 03:00,RISK_OFF,-0.538,
2020.08.30 03:00,RISK_OFF,-0.538,
2020.08.31 03:00,RISK_OFF,-0.538,
2020.09.01 03:00,RISK_OFF,-0.538,
2020.09.02 03:00,RISK_OFF,-0.538,
2020.09.03 03:00,RISK_OFF,-0.538,
2020.09.04 03:00,RISK_OFF,-0.615,
2020.09.05 03:00,RISK_OFF,-0.538,
2020.09.06 03:00,RISK_OFF,-0.538,
2020.09.07 03:00,RISK_OFF,-0.538,
2020.09.08 03:00,RISK_OFF,-0.538,
2020.09.09 03:00,RISK_OFF,-0.462,
2020.09.10 03:00,RISK_OFF,-0.692,
2020.09.11 03:00,RISK_OFF,-0.462,
2020.09.12 03:00,RISK_OFF,-0.769,
2020.09.13 03:00,RISK_OFF,-0.538,
2020.09.14 03:00,RISK_OFF,-0.615,
2020.09.15 03:00,RISK_OFF,-0.615,
2020.09.16 03:00,RISK_OFF,-0.462,
2020.09.17 03:00,RISK_OFF,-0.462,
2020.09.18 03:00,RISK_OFF,-0.462,
2020.09.19 03:00,RISK_OFF,-0.462,
2020.09.20 03:00,RISK_OFF,-0.769,
2020.09.21 03:00,RISK_OFF,-0.769,
2020.09.22 03:00,RISK_OFF,-0.462,
2020.09.23 03:00,NEUTRAL,0.346,
2020.09.24 03:00,NEUTRAL,0.346,
2020.09.25 03:00,NEUTRAL,0.269,
2020.09.26 03:00,NEUTRAL,0.154,
2020.09.27 03:00,NEUTRAL,0.154,
2020.09.28 03:00,NEUTRAL,0.154,
2020.09.29 03:00,NEUTRAL,-0.077,
2020.09.30 03:00,NEUTRAL,0.231,
2020.10.01 03:00,NEUTRAL,-0.077,
2020.10.02 03:00,NEUTRAL,0.231,
2020.10.03 03:00,NEUTRAL,0.269,
2020.10.04 03:00,NEUTRAL,0.269,
2020.10.05 03:00,NEUTRAL,0.269,
2020.10.06 03:00,NEUTRAL,0.385,
2020.10.07 03:00,NEUTRAL,0.385,
2020.10.08 03:00,NEUTRAL,0.385,
2020.10.09 03:00,NEUTRAL,0.385,
2020.10.10 03:00,NEUTRAL,0.385,
2020.10.11 03:00,NEUTRAL,0.385,
2020.10.12 03:00,NEUTRAL,0.385,
2020.10.13 03:00,NEUTRAL,0.385,
2020.10.14 03:00,NEUTRAL,0.231,
2020.10.15 03:00,NEUTRAL,0.077,
2020.10.16 03:00,NEUTRAL,0,
2020.10.17 03:00,NEUTRAL,-0.038,
2020.10.18 03:00,NEUTRAL,-0.115,
2020.10.19 03:00,NEUTRAL,-0.038,
2020.10.20 03:00,RISK_OFF,-0.692,
2020.10.21 03:00,RISK_OFF,-0.308,
2020.10.22 03:00,RISK_OFF,-0.462,
2020.10.23 03:00,RISK_OFF,-0.538,
2020.10.24 03:00,RISK_OFF,-0.462,
2020.10.25 03:00,RISK_OFF,-0.462,
2020.10.26 03:00,RISK_OFF,-0.5,
