window,seed,shift_weeks,classification,causal_state_qualified,donor_availability_semantics,target_index,target_weekday,target_weekday_index,target_valid_from_utc,target_valid_to_utc,target_native_datetime,target_native_state,target_representation,target_transition_server_date,unknown_selected_until_resume,resume_native_datetime,donor_index,donor_weekday,donor_weekday_index,donor_valid_from_utc,donor_valid_to_utc,donor_macro_state,donor_macro_as_of_utc,donor_macro_source_date,donor_macro_ri,donor_macro_confidence,donor_macro_coverage,donor_macro_missing_inputs,donor_macro_partial,donor_macro_flags,wrapped_at_weekday_stratum_seam,displacement_days,displacement_weeks,weekday_mismatch,cross_window,holdout_contact
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,0,2,0,2020-01-01T00:00:00Z,2020-01-02T00:00:00Z,2020.01.01 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,224,2,32,2020-08-12T00:00:00Z,2020-08-13T00:00:00Z,NEUTRAL,2020-08-12T00:00:00Z,2020-08-11,0,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,1,3,0,2020-01-02T00:00:00Z,2020-01-03T00:00:00Z,2020.01.02 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,225,3,32,2020-08-13T00:00:00Z,2020-08-14T00:00:00Z,NEUTRAL,2020-08-13T00:00:00Z,2020-08-12,0.154,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,2,4,0,2020-01-03T00:00:00Z,2020-01-04T00:00:00Z,2020.01.03 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,226,4,32,2020-08-14T00:00:00Z,2020-08-15T00:00:00Z,NEUTRAL,2020-08-14T00:00:00Z,2020-08-13,0.115,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,3,5,0,2020-01-04T00:00:00Z,2020-01-05T00:00:00Z,2020.01.04 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,227,5,32,2020-08-15T00:00:00Z,2020-08-16T00:00:00Z,NEUTRAL,2020-08-15T00:00:00Z,2020-08-14,0.231,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,4,6,0,2020-01-05T00:00:00Z,2020-01-06T00:00:00Z,2020.01.05 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,228,6,32,2020-08-16T00:00:00Z,2020-08-17T00:00:00Z,NEUTRAL,2020-08-16T00:00:00Z,2020-08-15,0.192,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,5,0,0,2020-01-06T00:00:00Z,2020-01-07T00:00:00Z,2020.01.06 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,229,0,32,2020-08-17T00:00:00Z,2020-08-18T00:00:00Z,NEUTRAL,2020-08-17T00:00:00Z,2020-08-16,0.231,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,6,1,0,2020-01-07T00:00:00Z,2020-01-08T00:00:00Z,2020.01.07 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,230,1,32,2020-08-18T00:00:00Z,2020-08-19T00:00:00Z,NEUTRAL,2020-08-18T00:00:00Z,2020-08-17,0.231,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,7,2,1,2020-01-08T00:00:00Z,2020-01-09T00:00:00Z,2020.01.08 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,231,2,33,2020-08-19T00:00:00Z,2020-08-20T00:00:00Z,NEUTRAL,2020-08-19T00:00:00Z,2020-08-18,0.231,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,8,3,1,2020-01-09T00:00:00Z,2020-01-10T00:00:00Z,2020.01.09 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,232,3,33,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,NEUTRAL,2020-08-20T00:00:00Z,2020-08-19,0.077,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,9,4,1,2020-01-10T00:00:00Z,2020-01-11T00:00:00Z,2020.01.10 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,233,4,33,2020-08-21T00:00:00Z,2020-08-22T00:00:00Z,NEUTRAL,2020-08-21T00:00:00Z,2020-08-20,0.115,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,10,5,1,2020-01-11T00:00:00Z,2020-01-12T00:00:00Z,2020.01.11 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,234,5,33,2020-08-22T00:00:00Z,2020-08-23T00:00:00Z,NEUTRAL,2020-08-22T00:00:00Z,2020-08-21,0.077,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,11,6,1,2020-01-12T00:00:00Z,2020-01-13T00:00:00Z,2020.01.12 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,235,6,33,2020-08-23T00:00:00Z,2020-08-24T00:00:00Z,NEUTRAL,2020-08-23T00:00:00Z,2020-08-22,-0.077,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,12,0,1,2020-01-13T00:00:00Z,2020-01-14T00:00:00Z,2020.01.13 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,236,0,33,2020-08-24T00:00:00Z,2020-08-25T00:00:00Z,NEUTRAL,2020-08-24T00:00:00Z,2020-08-23,0.077,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,13,1,1,2020-01-14T00:00:00Z,2020-01-15T00:00:00Z,2020.01.14 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,237,1,33,2020-08-25T00:00:00Z,2020-08-26T00:00:00Z,NEUTRAL,2020-08-25T00:00:00Z,2020-08-24,0.115,HIGH,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,14,2,2,2020-01-15T00:00:00Z,2020-01-16T00:00:00Z,2020.01.15 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,238,2,34,2020-08-26T00:00:00Z,2020-08-27T00:00:00Z,NEUTRAL,2020-08-26T00:00:00Z,2020-08-25,0,MED,8/8,,false,,False,224,32,0,0,0
BWD,2026092504,-32,SYNTHETIC_PLACEBO_ONLY,False,PROVENANCE_ONLY_NOT_CAUSAL_TRUTH,15,3,2,2020-01-16T00:00:00Z,2020-01-17T00:00:00Z,2020.01.16 02:00,NEUTRAL,STABLE_MAPPED_ROW,,False,,239,3,34,2020-08-27T00:00:00Z,2020-08-28T00:00:00Z,NEUTRAL,2020-08-27T00:00:00Z,2020-08-26,0.154,HIGH,8/8,,false,,False,224,32,0,0,0
