source_repo_commit,category,path,filename,extension,blob_oid,intake_depth,triage_tier,note
47bf86ada661e7d016280250138ce99ebf5c40ee,ROOT,README.md,README.md,md,1084e00e3df424981eb6518988bafee3287a477e,CATALOG_ONLY,META,Filename/tree metadata only; content claim not verified by this inventory.
47bf86ada661e7d016280250138ce99ebf5c40ee,academic-papers,"academic-papers/16_9_Cross-Border Investing Trend + Past, Present, Future of the Chinese Asset Management Industry.pdf","16_9_Cross-Border Investing Trend + Past, Present, Future of the Chinese Asset Management Industry.pdf",pdf,758a2c0b4b185c28c70fb77acc9e5659a86cf01f,CATALOG_ONLY,P1_RESEARCH_CANDIDATE,Filename/tree metadata only; content claim not verified by this inventory.
47bf86ada661e7d016280250138ce99ebf5c40ee,academic-papers,academic-papers/1773646054397.pdf,1773646054397.pdf,pdf,e2d62817c60efccd25cfd916e031f905cb1599df,CATALOG_ONLY,P1_RESEARCH_CANDIDATE,Filename/tree metadata only; content claim not verified by this inventory.
47bf86ada661e7d016280250138ce99ebf5c40ee,academic-papers,academic-papers/2012.07149v1.pdf,2012.07149v1.pdf,pdf,e5161cf98ed1c83f921ac1685ced324b258c52bd,DEEP_REVIEWED_THIS_INTAKE,P2_PORTFOLIO_RESEARCH,Learning-to-Rank primary-source review linked separately.
47bf86ada661e7d016280250138ce99ebf5c40ee,academic-papers,academic-papers/2412.11019v1.pdf,2412.11019v1.pdf,pdf,2bd27f0645d5bf1a61267a9b7e6a0fc3c7b7dcb4,CATALOG_ONLY,P1_RESEARCH_CANDIDATE,Filename/tree metadata only; content claim not verified by this inventory.
47bf86ada661e7d016280250138ce99ebf5c40ee,academic-papers,academic-papers/2505.21497v2.pdf,2505.21497v2.pdf,pdf,3f2dc73b6184ee812d08ac97a74469cb1becf1b5,CATALOG_ONLY,P1_RESEARCH_CANDIDATE,Filename/tree metadata only; content claim not verified by this inventory.
47bf86ada661e7d016280250138ce99ebf5c40ee,academic-papers,academic-papers/2511.08785v1.pdf,2511.08785v1.pdf,pdf,ee7fe7534d219c26f7c195ea09cf37899bc3f4f9,CATALOG_ONLY,P1_RESEARCH_CANDIDATE,Filename/tree metadata only; content claim not verified by this inventory.
47bf86ada661e7d016280250138ce99ebf5c40ee,academic-papers,academic-papers/2511.13614v1.pdf,2511.13614v1.pdf,pdf,5da1d7aed642f10e6e308cfda407c6483ba5f88e,DEEP_REVIEWED_THIS_INTAKE,P2_ARCHITECTURE_RESEARCH,Multi-agent alpha primary-source review linked separately.
47bf86ada661e7d016280250138ce99ebf5c40ee,academic-papers,academic-papers/2512.04108v1.pdf,2512.04108v1.pdf,pdf,5629e5581dd84d26cb6f014c71c6a8b9d299520f,CATALOG_ONLY,P1_RESEARCH_CANDIDATE,Filename/tree metadata only; content claim not verified by this inventory.
47bf86ada661e7d016280250138ce99ebf5c40ee,academic-papers,academic-papers/2512.05011v1.pdf,2512.05011v1.pdf,pdf,1b9091b975781e0c3fd3f3904a753c4d2e1b8706,CATALOG_ONLY,P1_RESEARCH_CANDIDATE,Filename/tree metadata only; content claim not verified by this inventory.
47bf86ada661e7d016280250138ce99ebf5c40ee,academic-papers,academic-papers/2602.07048v2.pdf,2602.07048v2.pdf,pdf,69c1e3c2384cfbcbb72cb03b5e358c6254a2661a,CATALOG_ONLY,P1_RESEARCH_CANDIDATE,Filename/tree metadata only; content claim not verified by this inventory.
