account,account_name,type,platform,host,ea_name,magic,symbol,status,kill_rule,judge_date,start_date,notes
159503454,08. Blazing Arrow,REAL_CENT,MT5,VPS 66.212.22.7,(Boss)_RSI_MR_GridLog,990103,EURUSD,REMOVED,closedDD 25%,2026-10-09,2026-07-09,user REMOVED from real acct 2026-07-18 (confirmed in chat); demo-isolate re-attach = optional future step
159503454,08. Blazing Arrow,REAL_CENT,MT5,VPS 66.212.22.7,(Boss)_ZeusInspired_GridLog,990101,XAUUSD,ACTIVE,closedDD 15%,2026-10-09,2026-07-09,validated set
159503454,08. Blazing Arrow,REAL_CENT,MT5,VPS 66.212.22.7,EA_BREAKOUT_XAU,991001,XAUUSD,ACTIVE,closedDD 10%,2027-07-22,2026-07-09,"validated set (Bars40 compiled defaults). ORDER-520 2026-07-28 (user approved, REAL MONEY row): judge_date re-based 2026-10-09 -> 2027-07-09 = start_date + 12 MONTHS per the ORDER-235 thin-EA bar. This EA is expected to close 1.08 trades/month = 0.22/week, under the 0.5/week thin threshold; at that rate the old bar (PF>=1.40 at >=30 closed trades) is not reachable until 2029-05, so the date it carried pointed at a criterion that cannot be met rather than at a decision. Replacement bar: >=12 months live AND net positive over that window AND no pre-registered kill tripped, PLUS the price of the weaker statistic -- permanently small lot, never sized up on PF (the NuiIndy engine-edge treatment). NOTHING ELSE CHANGED: kill_rule closedDD 10% is untouched and enforced throughout, status stays ACTIVE, start_date stays 2026-07-09, and no chart, .set or lot on the VPS was modified. Note the same magic 991001 also runs on 159475669 (row 22, user mix, lab does not certify) with an empty judge_date -- that row was NOT touched. | ORDER-943 C3 2026-08-02 (owner ratified): ORDER-235 THIN treatment, PRE-REGISTERED NOW, before this judge date lands - expected 0.25 trades/wk is below the 0.5 line, so the 30-trade count is REPLACED, not waived: judge at 12 months live + net positive + no pre-registered kill tripped. PRICE OF THE WEAKER STATISTIC: permanently small lot, NEVER sized up on PF (the NuiIndy engine-edge treatment). judge_date = start_date + 12 months. | ORDER-943 CORRECTED 2026-08-02 (/scrutinize round 1): judge_date 2027-07-09 -> 2027-07-22. The thin clock starts at the FIRST REAL TRADE, not at attach - DEMO_DEPLOYMENT_PLAN.md states that rule and the C3 pass used start_date + 365 anyway, which judged this leg 13 day(s) EARLY. First entry deal 2026-07-22 + 12 months. | /scrutinize round 2, 2026-08-02 - OVER_RATE, and ORDER-942 B3 has no flag for this tail: observed 0.58 trades/wk against 0.25 expected = 2.34x, over 3.4-3.9 weeks. At the OBSERVED rate this leg reaches 30 trades by 2027-07-04. The thin date stays conservative against this, so it is recorded rather than acted on. An EA running several times its backtest rate is the ORDER-165 wrong-config signal as much as a silent one is - B3 only looked at the slow tail."
159503454,08. Blazing Arrow,REAL_CENT,MT5,VPS 66.212.22.7,(BRK)_SqueezeBreakout,991004,XAUUSD,ACTIVE,closedDD 10%,2027-07-09,2026-07-09,"validated set. ORDER-520 2026-07-28 (user approved, REAL MONEY row -- 159503454 is REAL_CENT, the same account as 991001): judge_date re-based 2026-10-09 -> 2027-07-09 = start_date + 12 MONTHS per the ORDER-235 thin-EA bar. Expected 1.25 trades/month = 0.29/week, under the 0.5/week thin threshold; 30 closed trades would not arrive until 2028-06. Replacement bar: >=12 months live AND net positive AND no pre-registered kill tripped, paid for with permanently small lot and no size-up on PF. kill_rule closedDD 10%, status, start_date, and everything on the VPS are unchanged. WHY THIS ROW ALMOST GOT TREATED AS DEMO: the ORDER-511 handoff listed this group as '991001 (real money), 991004, 990205', which reads as one real-money row; the type column says otherwise -- two of the three are REAL_CENT on the same account. | ORDER-943 C3 2026-08-02 (owner ratified): HELD OUT of the judge-date decision and routed to ORDER-941. Observed 0.00 trades/wk against 0.29 expected (0%), so projecting at the EXPECTED rate assumes a recovery that is not in evidence - at the OBSERVED rate this leg needs FOREVER - it has produced nothing. Instrument first (silent or thin), decide after. judge_date UNCHANGED."
159503454,08. Blazing Arrow,REAL_CENT,MT5,VPS 66.212.22.7,(BRK)_TrendlineBreakout,991002,XAUUSD,ACTIVE,closedDD 8%,2027-01-16,2026-07-09,"EXPERIMENTAL | ORDER-943 C3 2026-08-02 (owner ratified): HELD OUT of the judge-date decision and routed to ORDER-941. Observed 0.29 trades/wk against 1.06 expected (28%), so projecting at the EXPECTED rate assumes a recovery that is not in evidence - at the OBSERVED rate this leg needs 100 weeks. Instrument first (silent or thin), decide after. judge_date UNCHANGED."
159475669,Boss - Trend Swing,REAL_CENT,MT5,VPS 66.212.22.7,NuiIndy Dynamic RSI+ADX,1524,EURUSD,ACTIVE,closedDD 25%,,2026-05-26,user mix - lab does not certify this account
159475669,Boss - Trend Swing,REAL_CENT,MT5,VPS 66.212.22.7,ST_EA03 Count-MACD,9398,USDCAD,REMOVED,closedDD 25%,,2026-05-26,STRUCTURAL no-edge ORDER-068; user REMOVED from VPS 2026-07-18 (confirmed via RDP Navigator)
159475669,Boss - Trend Swing,REAL_CENT,MT5,VPS 66.212.22.7,ST_EA03 Count-MACD user config,939721,GBPUSD,REMOVED,closedDD 25%,,2026-05-26,uncapped-ruin confirmed; user REMOVED from VPS 2026-07-18 (confirmed via RDP Navigator)
159475669,Boss - Trend Swing,REAL_CENT,MT5,VPS 66.212.22.7,(Boss)_LondonConsoBreakout_rev01,990005,EURUSDc,ACTIVE,closedDD 25%,,2026-05-26,"user mix; CORRECTED 2026-07-24 -- old row said GBPUSD but Inputs-tab screenshot confirms magic 990005 is actually the EURUSDc chart, not GBPUSD (registry symbol was wrong, name was informal ""CB_GBP"")"
159475669,Boss - Trend Swing,REAL_CENT,MT5,VPS 66.212.22.7,ST03 replica,990010,GBPUSD,REMOVED,closedDD 25%,,2026-05-26,WATCH OOS 0.86; user REMOVED from VPS 2026-07-18 (confirmed via RDP Navigator)
