datetime,state,ri,flags
2026.07.17 09:20,NEUTRAL,0.269,"TRIPWIRE_NEAR: AUDJPY 113.21 only 2.92% above pin 110 | LOADED_FUSE: USDJPY 162.36 at extreme - crowded short; snap-back risk high"
2026.07.18 14:16,NEUTRAL,0.269,"LOADED_FUSE: USDJPY 162.35 at extreme - crowded short; snap-back risk high"
2026.07.19 13:31,NEUTRAL,0.308,"LOADED_FUSE: USDJPY 162.35 at extreme - crowded short; snap-back risk high"
2026.07.23 00:37,NEUTRAL,0.308,"LOADED_FUSE: USDJPY 163.1 at extreme - crowded short; snap-back risk high"
2026.07.24 00:37,NEUTRAL,0.231,"LOADED_FUSE: USDJPY 163.85 at extreme - crowded short; snap-back risk high"
2026.07.25 08:07,NEUTRAL,0.308,"LOADED_FUSE: USDJPY 163.79 at extreme - crowded short; snap-back risk high"
2026.07.26 01:26,NEUTRAL,0.308,"LOADED_FUSE: USDJPY 163.79 at extreme - crowded short; snap-back risk high"
2026.07.27 23:42,NEUTRAL,0.231,"LOADED_FUSE: USDJPY 163.74 at extreme - crowded short; snap-back risk high"
2026.07.28 00:37,NEUTRAL,0.231,"LOADED_FUSE: USDJPY 163.77 at extreme - crowded short; snap-back risk high"
2026.07.29 22:58,NEUTRAL,0,"LOADED_FUSE: USDJPY 163.38 at extreme - crowded short; snap-back risk high"
2026.07.31 00:37,NEUTRAL,-0.192,"TRIPWIRE_NEAR: AUDJPY 112.75 only 2.5% above pin 110"
2026.08.01 00:37,RISK_OFF,-0.731,"TRIPWIRE_NEAR: AUDJPY 110.56 only 0.51% above pin 110"
2026.08.02 00:37,RISK_OFF,-0.654,"TRIPWIRE_NEAR: AUDJPY 110.56 only 0.51% above pin 110"
2026.08.03 00:37,RISK_OFF,-0.654,""
