ticket,time,symbol,magic,type,entry,volume,price,profit,swap,commission,comment
2005876704,2026.07.16 15:48:52,,0,2,0,0.00,0.00000,10000.00,0.00,0.00,D-trial-USD-16fe5e268fd04a
2006005437,2026.07.16 16:06:49,EURUSDm,991070,0,0,0.01,1.14431,0.00,0.00,0.00,EMASTO_BUY
2007481236,2026.07.17 01:00:00,XAUUSDm,990301,1,0,0.01,3991.81000,0.00,0.00,0.00,17_Wave5 L0
2007484255,2026.07.17 01:00:08,XAUUSDm,990301,0,1,0.01,3990.05100,1.76,0.00,0.00,[sl 3990.05100]
2009667271,2026.07.17 08:12:03,EURUSDm,991070,1,1,0.01,1.14431,0.00,0.00,0.00,[sl 1.14431]
2016995332,2026.07.20 06:00:00,XAGUSDm,990302,0,0,0.01,56.53800,0.00,0.00,0.00,17_Wave5 L0
2024057384,2026.07.21 09:00:01,USDJPYm,990120,0,0,0.01,162.69300,0.00,0.00,0.00,12_Breakout L0
2025411914,2026.07.21 13:30:12,XAGUSDm,990302,1,1,0.01,58.43400,94.80,0.00,0.00,[sl 58.43400]
2025619233,2026.07.21 13:51:54,USDJPYm,990120,1,1,0.01,162.88300,1.17,0.00,0.00,[tp 162.88300]
2025673279,2026.07.21 14:00:00,USDJPYm,990120,0,0,0.01,162.87300,0.00,0.00,0.00,12_Breakout L0
2026874905,2026.07.21 18:05:22,USDJPYm,990120,1,1,0.01,163.10800,1.44,0.00,0.00,[tp 163.10800]
2027040549,2026.07.21 19:00:00,USDJPYm,990120,0,0,0.01,163.19500,0.00,0.00,0.00,12_Breakout L0
2028736427,2026.07.22 05:00:00,XAGUSDm,990302,0,0,0.01,59.69100,0.00,0.00,0.00,17_Wave5 L0
2029261610,2026.07.22 07:00:00,XAUUSDm,990301,0,0,0.01,4117.13300,0.00,0.00,0.00,17_Wave5 L0
2029356206,2026.07.22 07:20:52,XAUUSDm,990301,1,1,0.01,4118.96200,1.83,0.00,0.00,[sl 4118.962]
2029402447,2026.07.22 07:30:05,USDJPYm,990120,1,1,0.01,162.98800,-1.27,0.00,0.00,[sl 162.98800]
2030804109,2026.07.22 12:56:53,XAGUSDm,990302,1,1,0.01,58.98600,-35.25,0.00,0.00,[sl 59.05300]
2032477128,2026.07.22 17:00:00,XAGUSDm,990302,0,0,0.01,60.07000,0.00,0.00,0.00,17_Wave5 L0
2032650001,2026.07.22 17:40:44,XAGUSDm,990302,1,1,0.01,59.75300,-15.85,0.00,0.00,[sl 59.753]
2035546767,2026.07.23 08:00:00,USDJPYm,990120,0,0,0.01,163.32200,0.00,0.00,0.00,12_Breakout L0
2036557364,2026.07.23 11:41:30,USDJPYm,990120,1,1,0.01,163.57500,1.55,0.00,0.00,[tp 163.57500]
2036665096,2026.07.23 12:00:00,USDJPYm,990120,0,0,0.01,163.49800,0.00,0.00,0.00,12_Breakout L0
2037341808,2026.07.23 13:12:10,USDJPYm,990120,1,1,0.01,163.80600,1.88,0.00,0.00,[tp 163.80600]
2037341818,2026.07.23 13:12:10,USDJPYm,990120,0,0,0.01,163.81900,0.00,0.00,0.00,12_Breakout L0
2037807534,2026.07.23 14:00:00,USDJPYm,991003,0,0,0.01,163.96600,0.00,0.00,0.00,BRKOUT_BUY
2038737824,2026.07.23 16:29:35,USDJPYm,991003,1,1,0.01,163.75100,-1.31,0.00,0.00,[sl 163.751]
2038818975,2026.07.23 17:00:00,XAGUSDm,990302,1,0,0.01,57.82700,0.00,0.00,0.00,17_Wave5 L0
2039504540,2026.07.24 00:00:00,XAUUSDm,990020,1,0,0.01,4047.09900,0.00,0.00,0.00,ST_ATR10x3
