ticket,time,time_unix,symbol,magic,type,entry,volume,price,profit,swap,commission,comment
2005876704,2026.07.16 15:48:52,1784216932,,0,2,0,0.00,0.00000,10000.00,0.00,0.00,D-trial-USD-16fe5e268fd04a
2006005437,2026.07.16 16:06:49,1784218009,EURUSDm,991070,0,0,0.01,1.14431,0.00,0.00,0.00,EMASTO_BUY
2007481236,2026.07.17 01:00:00,1784250000,XAUUSDm,990301,1,0,0.01,3991.81000,0.00,0.00,0.00,17_Wave5 L0
2007484255,2026.07.17 01:00:08,1784250008,XAUUSDm,990301,0,1,0.01,3990.05100,1.76,0.00,0.00,[sl 3990.05100]
2009667271,2026.07.17 08:12:03,1784275923,EURUSDm,991070,1,1,0.01,1.14431,0.00,0.00,0.00,[sl 1.14431]
2016995332,2026.07.20 06:00:00,1784527200,XAGUSDm,990302,0,0,0.01,56.53800,0.00,0.00,0.00,17_Wave5 L0
2024057384,2026.07.21 09:00:01,1784624401,USDJPYm,990120,0,0,0.01,162.69300,0.00,0.00,0.00,12_Breakout L0
2025411914,2026.07.21 13:30:12,1784640612,XAGUSDm,990302,1,1,0.01,58.43400,94.80,0.00,0.00,[sl 58.43400]
2025619233,2026.07.21 13:51:54,1784641914,USDJPYm,990120,1,1,0.01,162.88300,1.17,0.00,0.00,[tp 162.88300]
2025673279,2026.07.21 14:00:00,1784642400,USDJPYm,990120,0,0,0.01,162.87300,0.00,0.00,0.00,12_Breakout L0
2026874905,2026.07.21 18:05:22,1784657122,USDJPYm,990120,1,1,0.01,163.10800,1.44,0.00,0.00,[tp 163.10800]
2027040549,2026.07.21 19:00:00,1784660400,USDJPYm,990120,0,0,0.01,163.19500,0.00,0.00,0.00,12_Breakout L0
2028736427,2026.07.22 05:00:00,1784696400,XAGUSDm,990302,0,0,0.01,59.69100,0.00,0.00,0.00,17_Wave5 L0
2029261610,2026.07.22 07:00:00,1784703600,XAUUSDm,990301,0,0,0.01,4117.13300,0.00,0.00,0.00,17_Wave5 L0
2029356206,2026.07.22 07:20:52,1784704852,XAUUSDm,990301,1,1,0.01,4118.96200,1.83,0.00,0.00,[sl 4118.962]
2029402447,2026.07.22 07:30:05,1784705405,USDJPYm,990120,1,1,0.01,162.98800,-1.27,0.00,0.00,[sl 162.98800]
2030804109,2026.07.22 12:56:53,1784725013,XAGUSDm,990302,1,1,0.01,58.98600,-35.25,0.00,0.00,[sl 59.05300]
2032477128,2026.07.22 17:00:00,1784739600,XAGUSDm,990302,0,0,0.01,60.07000,0.00,0.00,0.00,17_Wave5 L0
2032650001,2026.07.22 17:40:44,1784742044,XAGUSDm,990302,1,1,0.01,59.75300,-15.85,0.00,0.00,[sl 59.753]
2035546767,2026.07.23 08:00:00,1784793600,USDJPYm,990120,0,0,0.01,163.32200,0.00,0.00,0.00,12_Breakout L0
2036557364,2026.07.23 11:41:30,1784806890,USDJPYm,990120,1,1,0.01,163.57500,1.55,0.00,0.00,[tp 163.57500]
2036665096,2026.07.23 12:00:00,1784808000,USDJPYm,990120,0,0,0.01,163.49800,0.00,0.00,0.00,12_Breakout L0
2037341808,2026.07.23 13:12:10,1784812330,USDJPYm,990120,1,1,0.01,163.80600,1.88,0.00,0.00,[tp 163.80600]
2037341818,2026.07.23 13:12:10,1784812330,USDJPYm,990120,0,0,0.01,163.81900,0.00,0.00,0.00,12_Breakout L0
2037807534,2026.07.23 14:00:00,1784815200,USDJPYm,991003,0,0,0.01,163.96600,0.00,0.00,0.00,BRKOUT_BUY
2038737824,2026.07.23 16:29:35,1784824175,USDJPYm,991003,1,1,0.01,163.75100,-1.31,0.00,0.00,[sl 163.751]
2038818975,2026.07.23 17:00:00,1784826000,XAGUSDm,990302,1,0,0.01,57.82700,0.00,0.00,0.00,17_Wave5 L0
2039504540,2026.07.24 00:00:00,1784851200,XAUUSDm,990020,1,0,0.01,4047.09900,0.00,0.00,0.00,ST_ATR10x3
2044426158,2026.07.25 00:57:01,1784941021,,0,2,0,0.00,0.00000,90000.00,0.00,0.00,D-trial-USD-6f81d92c04974d
2045764908,2026.07.26 21:06:01,1785099961,USDJPYm,990120,1,1,0.01,163.55400,-1.62,0.00,0.00,[sl 163.554]
2045785138,2026.07.26 22:00:00,1785103200,USDJPYm,990120,1,0,0.01,163.62700,0.00,0.00,0.00,12_Breakout L0
2045829754,2026.07.26 22:05:06,1785103506,XAGUSDm,990302,0,1,0.01,59.53700,-85.50,0.00,0.00,[sl 59.537]
2046103649,2026.07.27 00:02:08,1785110528,XAUUSDm,990020,0,1,0.01,4104.18200,-57.08,0.00,0.00,[sl 4104.182]
2047917222,2026.07.27 07:29:54,1785137394,USDJPYm,990120,0,1,0.01,163.33900,1.76,0.00,0.00,[tp 163.33900]
2048051763,2026.07.27 08:00:00,1785139200,XAUUSDm,999094,1,0,0.01,4089.03300,0.00,0.00,0.00,MACDDIV_SELL
2048530663,2026.07.27 10:00:00,1785146400,USDJPYm,990001,1,0,0.01,163.53500,0.00,0.00,0.00,17_Wave5 L0
2049131330,2026.07.27 12:16:24,1785154584,USDJPYm,990001,0,1,0.01,163.69600,-0.98,0.00,0.00,[sl 163.69600]
2051326237,2026.07.27 19:00:00,1785178800,USDJPYm,990120,0,0,0.01,163.78700,0.00,0.00,0.00,12_Breakout L0
2053822408,2026.07.28 09:00:00,1785229200,XAUUSDm,990068,1,0,0.10,4045.41600,0.00,0.00,0.00,IchiADX
2054078271,2026.07.28 09:57:42,1785232662,XAUUSDm,999094,0,1,0.01,4025.63700,63.39,0.00,0.00,[tp 4025.63700]
2054657319,2026.07.28 12:00:00,1785240000,XAUUSDm,999094,1,0,0.01,4028.27700,0.00,0.00,0.00,MACDDIV_SELL
2056128427,2026.07.28 15:47:11,1785253631,XAUUSDm,990068,0,1,0.10,4044.88800,5.28,0.00,0.00,[sl 4044.888]
2056192635,2026.07.28 16:00:00,1785254400,EURUSDm,990984,1,0,0.05,1.14003,0.00,0.00,0.00,PSARB_SA
2056192646,2026.07.28 16:00:00,1785254400,GBPUSDm,990984,0,0,0.05,1.33096,0.00,0.00,0.00,PSARB_LB
2056385279,2026.07.28 17:00:00,1785258000,XAUUSDm,992017,1,0,0.01,4037.83700,0.00,0.00,0.00,PIVOT_SELL
2058102186,2026.07.29 03:45:31,1785296731,USDJPYm,990120,1,1,0.01,163.60600,-1.11,0.00,0.00,[sl 163.60600]
2058139945,2026.07.29 04:00:00,1785297600,USDJPYm,990120,1,0,0.01,163.62000,0.00,0.00,0.00,12_Breakout L0
2058281080,2026.07.29 04:42:24,1785300144,USDJPYm,990120,0,1,0.01,163.31400,1.87,0.00,0.00,[tp 163.31400]
2058281082,2026.07.29 04:42:24,1785300144,USDJPYm,990120,1,0,0.01,163.30400,0.00,0.00,0.00,12_Breakout L0
2058637195,2026.07.29 06:07:57,1785305277,USDJPYm,990120,0,1,0.01,163.55300,-1.52,0.00,0.00,[sl 163.55300]
2059430555,2026.07.29 10:00:01,1785319201,XAGUSDm,990302,0,0,0.01,57.76400,0.00,0.00,0.00,17_Wave5 L0
2059965777,2026.07.29 12:17:17,1785327437,XAGUSDm,990302,1,1,0.01,57.35800,-20.30,0.00,0.00,[sl 57.35800]
2060846413,2026.07.29 14:00:00,1785333600,EURUSDm,991070,0,0,0.01,1.13921,0.00,0.00,0.00,EMASTO_BUY
2061333915,2026.07.29 15:00:00,1785337200,USDJPYm,990120,0,0,0.01,163.89600,0.00,0.00,0.00,12_Breakout L0
2062432522,2026.07.29 18:00:01,1785348001,EURUSDm,991070,1,1,0.01,1.14004,0.83,0.00,0.00,[tp 1.14004]
2062432846,2026.07.29 18:00:01,1785348001,USDJPYm,990120,1,1,0.01,163.56500,-2.02,0.00,0.00,[sl 163.62400]
2062441923,2026.07.29 18:00:02,1785348002,XAUUSDm,992017,0,1,0.01,4062.99000,-25.15,0.00,0.00,[sl 4058.75100]
2062445014,2026.07.29 18:00:05,1785348005,XAUUSDm,999094,0,1,0.01,4077.90900,-49.63,0.00,0.00,[sl 4077.90900]
2063465938,2026.07.29 19:00:00,1785351600,XAUUSDm,992017,0,0,0.01,4106.83100,0.00,0.00,0.00,PIVOT_BUY
2063466125,2026.07.29 19:00:00,1785351600,EURUSDm,990103,1,0,0.01,1.14518,0.00,0.00,0.00,MR_SELL
2063797939,2026.07.29 19:33:13,1785353593,XAUUSDm,992017,1,1,0.01,4079.14400,-27.69,0.00,0.00,[sl 4079.14400]
2065647784,2026.07.30 04:00:00,1785384000,XAUUSDm,999094,1,0,0.01,4058.75300,0.00,0.00,0.00,MACDDIV_SELL
2067751979,2026.07.30 11:00:00,1785409200,USDJPYm,990120,1,0,0.01,162.81900,0.00,0.00,0.00,12_Breakout L0
2068736663,2026.07.30 13:36:08,1785418568,USDJPYm,990120,0,1,0.01,162.22700,3.65,0.00,0.00,[tp 162.22700]
