ticket,open_time,close_time,symbol,magic,type,lots,open_price,close_price,profit,swap,commission,comment
366644236,2026.08.31 14:53:13,2026.09.01 05:04:54,EURUSDc,7777,0,0.06,1.16125,1.16180,3.30,0.00,0.00,partial close
366644238,2026.08.31 15:18:02,2026.09.01 05:04:56,EURUSDc,7777,1,0.06,1.16119,1.16095,1.44,0.00,0.00,ZGH
366651086,2026.08.31 16:00:16,2026.09.01 05:04:55,EURUSDc,7777,1,0.16,1.16149,1.16095,8.64,0.00,0.00,ZGH
366678875,2026.08.31 23:54:13,2026.09.01 01:22:18,XAUUSDc,1115,1,0.01,4450.95900,4442.94200,8.02,0.00,0.00,Gk
366681321,2026.09.01 00:56:56,2026.09.01 05:04:54,EURUSDc,7777,1,0.00,1.16180,1.16180,0.00,0.00,0.00,close hedge by #366687690
366687690,2026.09.01 05:04:49,2026.09.01 05:04:54,EURUSDc,7777,0,0.16,1.16096,1.16180,13.44,0.00,0.00,partial close
366712218,2026.09.01 04:12:56,2026.09.01 04:12:56,,0,6,0.01,0.00000,0.00000,1.00,0.00,0.00,D-INTARB-USC-INT-1032978046978
366716573,2026.09.01 05:04:41,2026.09.01 07:30:28,XAUUSDc,1115,1,0.01,4431.00400,4423.00400,8.00,0.00,0.00,Gk
366716588,2026.09.01 00:56:56,2026.09.01 05:04:54,EURUSDc,7777,1,0.00,1.16180,1.16180,0.00,0.00,0.00,close hedge by #366644236
366716590,2026.09.01 00:56:56,2026.09.01 05:04:55,EURUSDc,7777,1,0.06,1.16180,1.16095,5.10,0.00,0.00,from #366644236
366716737,2026.09.01 07:00:02,2026.09.02 13:22:12,EURUSDc,7777,0,0.06,1.16058,1.15862,-11.76,0.00,0.00,ZGH
366716738,2026.09.01 06:19:48,2026.09.02 13:22:08,EURUSDc,7777,1,0.00,1.16053,1.16053,0.00,0.00,0.00,close hedge by #366965820
366725338,2026.09.01 06:11:03,2026.09.01 13:01:45,XAUUSDc,1112,0,0.01,4434.44900,4344.44900,-90.00,0.00,0.00,Gk[sl]
366734412,2026.09.01 09:07:42,2026.09.02 13:22:11,EURUSDc,7777,0,0.16,1.15965,1.15862,-16.48,0.00,0.00,ZGH
366736892,2026.09.01 07:40:01,2026.09.01 19:39:56,XAUUSDc,1112,0,0.01,4413.96300,4322.73000,-91.23,0.00,0.00,Gk[sl]
366743461,2026.09.01 08:09:53,2026.09.02 01:05:44,XAUUSDc,1112,0,0.01,4395.50600,4305.50600,-90.00,0.00,0.00,Gk[sl]
366750653,2026.09.01 08:32:20,2026.09.02 03:34:55,XAUUSDc,1112,0,0.01,4375.40200,4285.40200,-90.00,0.00,0.00,Gk[sl]
366792700,2026.09.01 13:01:47,2026.09.02 06:13:32,XAUUSDc,1112,0,0.01,4344.46900,4327.91700,-16.55,0.00,0.00,Gk
366811729,2026.09.01 14:23:46,2026.09.01 14:29:42,XAUUSDc,1113,1,0.01,4375.16200,4367.29900,7.86,0.00,0.00,Gk
366811737,2026.09.01 14:23:47,2026.09.01 14:29:40,XAUUSDc,1113,1,0.01,4375.17100,4367.53200,7.64,0.00,0.00,Gk
366827836,2026.09.01 17:29:47,2026.09.02 13:22:11,EURUSDc,7777,0,0.28,1.15937,1.15862,-21.00,0.00,0.00,ZGH
366836456,2026.09.01 17:34:29,2026.09.02 13:22:08,EURUSDc,7777,1,0.00,1.15898,1.15898,0.00,0.00,0.00,close hedge by #366965815
366846235,2026.09.01 19:39:58,2026.09.02 06:13:31,XAUUSDc,1112,0,0.01,4323.46200,4328.24900,4.79,0.00,0.00,Gk
366862744,2026.09.02 05:33:43,2026.09.02 13:22:10,EURUSDc,7777,0,0.40,1.15814,1.15863,19.60,0.00,0.00,ZGH
366873168,2026.09.02 01:51:17,2026.09.02 06:13:30,XAUUSDc,1112,0,0.01,4300.98200,4328.49400,27.51,0.00,0.00,Gk
366895021,2026.09.02 04:12:46,2026.09.02 04:12:46,,0,6,0.01,0.00000,0.00000,2.00,0.00,0.00,D-INTARB-USC-INT-1036679667714
366897022,2026.09.02 04:32:51,2026.09.02 08:54:40,XAUUSDc,1115,1,0.01,4307.43300,4314.59500,-7.17,0.00,0.00,Gk
366903868,2026.09.02 05:30:45,2026.09.02 08:54:38,XAUUSDc,1113,1,0.01,4320.44500,4314.15900,6.29,0.00,0.00,Gk
366904709,2026.09.02 06:19:06,2026.09.02 13:22:08,EURUSDc,7777,1,0.00,1.15774,1.15774,0.00,0.00,0.00,close hedge by #366916134
366910870,2026.09.02 06:13:16,2026.09.02 08:54:37,XAUUSDc,1115,1,0.01,4327.40300,4314.29100,13.11,0.00,0.00,Gk
366916134,2026.09.02 07:31:17,2026.09.02 13:22:08,EURUSDc,7777,0,0.28,1.15754,1.15774,5.60,0.00,0.00,partial close
366932025,2026.09.02 08:54:33,2026.09.02 08:54:35,XAUUSDc,1112,0,0.01,4313.88600,4313.89200,0.00,0.00,0.00,Gk
366932054,2026.09.02 08:54:41,2026.09.02 11:14:40,XAUUSDc,1112,0,0.01,4314.73000,4322.56200,7.83,0.00,0.00,Gk
366965815,2026.09.02 07:31:17,2026.09.02 13:22:08,EURUSDc,7777,0,0.16,1.15754,1.15898,23.04,0.00,0.00,partial close
366965820,2026.09.02 07:31:17,2026.09.02 13:22:08,EURUSDc,7777,0,0.06,1.15754,1.16053,17.94,0.00,0.00,partial close
366965825,2026.09.02 07:31:17,2026.09.02 13:22:09,EURUSDc,7777,0,0.05,1.15754,1.15862,5.40,0.00,0.00,partial close
366966005,2026.09.02 13:24:47,2026.09.03 12:53:18,EURUSDc,7777,0,0.06,1.15906,1.16277,22.26,0.00,0.00,so: -4.3%/-3.2/73.8
366966006,2026.09.02 13:27:15,2026.09.03 12:53:18,EURUSDc,7777,1,0.06,1.16026,1.16285,-15.54,0.00,0.00,so: -4.3%/-3.2/73.8
367010652,2026.09.02 19:43:45,2026.09.03 12:38:31,XAUUSDc,1113,1,0.01,4385.80900,4475.80900,-90.00,0.00,0.00,Gk[sl]
367010687,2026.09.02 19:43:58,2026.09.03 12:38:40,XAUUSDc,1115,1,0.01,4386.91000,4477.74400,-90.83,0.00,0.00,Gk[sl]
367025253,2026.09.03 01:11:17,2026.09.03 12:48:34,XAUUSDc,1113,1,0.01,4405.65900,4479.46000,-73.80,0.00,0.00,Gk
367025388,2026.09.03 01:11:49,2026.09.03 12:48:34,XAUUSDc,1115,1,0.01,4407.58000,4479.77500,-72.20,0.00,0.00,Gk
367041886,2026.09.03 03:07:16,2026.09.03 12:48:34,XAUUSDc,1113,1,0.01,4425.36400,4479.77500,-54.42,0.00,0.00,Gk
367042984,2026.09.03 03:12:18,2026.09.03 12:48:34,XAUUSDc,1115,1,0.01,4427.30100,4479.61400,-52.31,0.00,0.00,Gk
367049329,2026.09.03 04:12:51,2026.09.03 04:12:51,,0,6,0.01,0.00000,0.00000,5.00,0.00,0.00,D-INTARB-USC-INT-1039817826306
367072946,2026.09.03 07:15:43,2026.09.03 12:53:18,EURUSDc,7777,1,0.16,1.16058,1.16285,-36.32,0.00,0.00,so: -4.3%/-3.2/73.8
367094017,2026.09.03 09:02:33,2026.09.03 12:53:18,EURUSDc,7777,1,0.28,1.16089,1.16285,-54.88,0.00,0.00,so: -4.3%/-3.2/73.8
367094302,2026.09.03 12:04:18,2026.09.03 12:53:18,EURUSDc,7777,0,0.16,1.16161,1.16277,18.56,0.00,0.00,so: -4.3%/-3.2/73.8
367118580,2026.09.03 12:01:14,2026.09.03 12:48:34,XAUUSDc,1113,1,0.01,4445.46200,4479.61400,-34.15,0.00,0.00,Gk
367118987,2026.09.03 12:03:32,2026.09.03 12:48:33,XAUUSDc,1115,1,0.01,4447.38300,4479.61400,-32.23,0.00,0.00,Gk
367119301,2026.09.03 12:12:48,2026.09.03 12:53:18,EURUSDc,7777,1,0.40,1.16119,1.16285,-66.40,0.00,0.00,so: -4.3%/-3.2/73.8
367120894,2026.09.03 12:30:01,2026.09.03 12:53:18,EURUSDc,7777,0,0.28,1.16191,1.16277,24.08,0.00,0.00,so: -4.3%/-3.2/73.8
367125228,2026.09.03 12:35:20,2026.09.03 12:53:18,EURUSDc,7777,1,0.55,1.16179,1.16285,-58.30,0.00,0.00,so: -4.3%/-3.2/73.8
367128588,2026.09.03 12:38:31,2026.09.03 12:48:33,XAUUSDc,1113,1,0.01,4475.41500,4479.61400,-4.19,0.00,0.00,Gk
367128687,2026.09.03 12:38:40,2026.09.03 12:48:33,XAUUSDc,1115,1,0.01,4477.12500,4479.65900,-2.53,0.00,0.00,Gk
367130892,2026.09.03 12:51:24,2026.09.03 12:53:18,EURUSDc,7777,1,0.72,1.16209,1.16285,-54.72,0.00,0.00,so: -4.3%/-3.2/73.8
367131695,2026.09.03 12:53:13,2026.09.03 12:53:18,EURUSDc,7777,0,0.40,1.16280,1.16277,-1.20,0.00,0.00,so: -4.3%/-3.2/73.8
367132790,2026.09.03 12:53:19,2026.09.03 12:53:19,,0,6,0.01,0.00000,0.00000,3.19,0.00,0.00,D-NULL
367215687,2026.09.04 07:00:05,2026.09.04 12:32:45,EURUSDc,7777,1,0.06,1.16262,1.15892,22.20,0.00,0.00,so: -29.1%/-0.6/2.2
367217171,2026.09.04 06:01:31,2026.09.04 12:32:45,EURUSDc,7777,0,0.06,1.16298,1.15884,-24.84,0.00,0.00,so: -29.1%/-0.6/2.2
367217922,2026.09.04 04:13:20,2026.09.04 04:13:20,,0,6,0.01,0.00000,0.00000,10.00,0.00,0.00,D-INTARB-USC-INT-1043145695234
367258966,2026.09.04 11:26:24,2026.09.04 12:29:52,XAUUSDc,1114,0,0.01,4466.37700,4474.50400,8.12,0.00,0.00,Gk
367258968,2026.09.04 11:26:24,2026.09.04 12:29:52,XAUUSDc,1114,0,0.01,4466.32000,4474.83100,8.51,0.00,0.00,Gk
367263579,2026.09.04 12:30:03,2026.09.04 12:30:07,XAUUSDc,1114,0,0.01,4432.16800,4426.81300,-5.36,0.00,0.00,Gk
367266935,2026.09.04 12:31:32,2026.09.04 12:32:21,XAUUSDc,1114,0,0.01,4404.21700,4397.46500,-6.75,0.00,0.00,Gk
367267695,2026.09.04 12:32:22,2026.09.04 12:32:40,XAUUSDc,1114,0,0.01,4397.08300,4392.68600,-4.39,0.00,0.00,Gk
367267913,2026.09.04 12:32:41,2026.09.04 12:32:46,XAUUSDc,1114,0,0.01,4391.56000,4379.00100,-12.56,0.00,0.00,Gk
367268057,2026.09.04 12:32:47,2026.09.04 12:32:47,,0,6,0.01,0.00000,0.00000,5.07,0.00,0.00,D-NULL
367321112,2026.09.05 04:13:25,2026.09.05 04:13:25,,0,6,0.01,0.00000,0.00000,1.00,0.00,0.00,D-INTARB-USC-INT-1046370893826
