row_type,login,server_time,currency,equity,balance,margin,free_margin,margin_level_pct,stopout_mode,stopout_level,magic,symbols,float_pl,open_lots,open_positions,oldest_open_hours,pending_orders
ACCOUNT,159475669,2026.08.05 00:36:21,USC,10030.18,10193.26,37.86,9992.32,26492.8,PERCENT,0.0,,,,,,,
MAGIC,159475669,2026.08.05 00:36:21,,,,,,,,,20240001,CHFJPYc,-98.83,0.07,7,514.5,0
MAGIC,159475669,2026.08.05 00:36:21,,,,,,,,,1524,EURUSDc,-107.86,0.11,10,179.5,0
MAGIC,159475669,2026.08.05 00:36:21,,,,,,,,,9397,GBPUSDc,43.61,0.02,2,1046.6,0
MAGIC,159475669,2026.08.05 00:36:21,,,,,,,,,8002,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.08.05 00:36:21,,,,,,,,,8008,XAUUSDc,0.00,0.00,0,0.0,2
MAGIC,159475669,2026.08.05 00:36:21,,,,,,,,,8005,XAUUSDc,0.00,0.00,0,0.0,2
SYMBOL,159475669,2026.08.05 00:36:21,,,,,,,,,,CHFJPYc,-98.83,0.07,7,,
SYMBOL,159475669,2026.08.05 00:36:21,,,,,,,,,,EURUSDc,-107.86,0.11,10,,
SYMBOL,159475669,2026.08.05 00:36:21,,,,,,,,,,GBPUSDc,43.61,0.02,2,,
