magic,ea_name,account,net,trades,PF,win%,realized_DD
0,UNMAPPED,159475669,6784.45,23,17.0,56.5,286.92
939721,ST_EA03 Count-MACD user config,159475669,3627.09,13,12.2,76.9,323.9
7777,Zeus Gold Hedge V1.2_fix,141049900,1114.26,248,1.55,44.8,801.75
1114,Gold_Kangaroo L3,141049900,211.84,37,3.31,78.4,28.86
1113,Gold_Kangaroo L2,141049900,191.53,33,3.1,75.8,38.56
9398,ST_EA03 Count-MACD,159475669,169.54,8,inf,100.0,0.0
1112,Gold_Kangaroo L1,141049900,151.44,58,1.46,70.7,180.0
990201,Boss_14_GridLog,415573666,136.53,8,8.22,87.5,18.92
1115,Gold_Kangaroo L4,141049900,104.37,22,2.57,68.2,35.0
990101,(Boss)_ZeusInspired_GridLog,159503454,96.6,4,inf,100.0,0.0
1524,NuiIndy Dynamic RSI+ADX,159475669,92.77,51,8.82,88.2,7.45
20240001,UNMAPPED,159475669,85.26,31,3.5,71.0,18.35
8014,UNMAPPED,159475669,76.8,4,inf,100.0,0.0
990302,Boss_17_Wave5,463666728,43.7,3,1.86,33.3,51.1
990205,Boss_14_GridLog size-light thin,415573666,26.66,1,inf,100.0,0.0
990301,Boss_17_Wave5,463666728,3.59,2,inf,100.0,0.0
990120,Boss_12_Breakout (MacroGate leg),463666728,1.34,3,2.06,66.7,1.27
991070,EmaStoRev,463666728,0.0,1,,0.0,0.0
990202,Boss_14_GridLog,415573666,-16.33,1,0.0,0.0,16.33
990206,Boss_14_GridLog SELL,415573666,-17.53,6,0.67,66.7,30.5
991002,(BRK)_TrendlineBreakout,159503454,-23.5,1,0.0,0.0,23.5
990010,ST03 replica,159475669,-24.16,28,0.27,82.1,33.1
991001,EA_BREAKOUT_XAU,159503454,-25.7,1,0.0,0.0,25.7
990203,Boss_14_GridLog size-light,415573666,-32.34,1,0.0,0.0,32.34
8015,UNMAPPED,159475669,-65.6,6,0.65,33.3,190.0
8002,UNMAPPED,159475669,-150.9,2,0.21,50.0,191.8
990204,Boss_14_GridLog,415573666,-186.51,6,0.0,0.0,186.51
8012,UNMAPPED,159475669,-202.9,6,0.27,16.7,279.7
8009,UNMAPPED,159475669,-233.1,5,0.34,60.0,355.2
12345,UNMAPPED,415573666,-566.79,30,0.29,96.7,800.0
0,UNMAPPED,415573666,-949.01,7,0.02,28.6,949.22
990207,Boss_14_GridLog,415573666,-990.95,13,0.33,61.5,1394.38
0,UNMAPPED,159503454,-1160.93,11,0.22,18.2,1423.65
