"date","YIELD_SHOCK","YIELD_SHOCK_cov","CREDIT_STRESS","CREDIT_STRESS_cov","INFLATION_OIL","INFLATION_OIL_cov"
"2019-05-01","5.6","1","4.3","0.65","6.6","1"
"2019-05-02","9.0","1","2.7","0.65","4.2","1"
"2019-05-03","7.7","1","1.9","0.65","5.6","1"
"2019-05-06","6.8","1","4.1","0.65","3.3","1"
"2019-05-07","15.5","1","12.3","0.65","1.2","1"
"2019-05-08","12.6","1","9.0","0.65","3.2","1"
"2019-05-09","13.0","1","12.7","0.65","2.2","1"
"2019-05-10","15.9","1","8.6","0.65","2.1","1"
"2019-05-13","25","1","20.1","0.65","0.6","1"
"2019-05-14","13.6","1","12.6","0.65","4.8","1"
"2019-05-15","10.0","1","13.6","0.65","3.4","1"
"2019-05-16","4.0","1","7.9","0.65","12.4","1"
"2019-05-17","8.8","1","10.2","0.65","11.8","1"
"2019-05-20","1.5","1","6.7","0.65","19.6","1"
"2019-05-21","1.0","1","4.6","0.65","14.0","1"
"2019-05-22","6.0","1","5.1","0.65","4.0","1"
"2019-05-23","14.4","1","12.7","0.65","0","1"
"2019-05-24","10.8","1","12.2","0.65","0","1"
"2019-05-28","11.6","1","17.0","0.65","0","1"
"2019-05-29","19.2","1","20.3","0.65","0","1"
"2019-05-30","16.8","1","19.9","0.65","0","1"
"2019-05-31","18.2","1","25.9","0.65","0","1"
"2019-06-03","20.5","1","29.3","0.65","0","1"
"2019-06-04","6.4","1","17.6","0.65","0","1"
"2019-06-05","2.2","1","15.1","0.65","0","1"
"2019-06-06","1.0","1","12.0","0.65","0","1"
"2019-06-07","0","1","11.2","0.65","3.2","1"
"2019-06-10","8.7","1","9.3","0.65","7.8","1"
"2019-06-11","2.9","1","8.9","0.65","2.6","1"
"2019-06-12","0.6","1","10.0","0.65","0.5","1"
"2019-06-13","1.6","1","11.1","0.65","0","1"
"2019-06-14","7.0","1","12.1","0.65","1.1","1"
"2019-06-17","6.5","1","14.0","0.65","0","1"
"2019-06-18","1.9","1","11.1","0.65","4.1","1"
"2019-06-19","0.4","1","8.2","0.65","17.9","1"
"2019-06-20","0.7","1","7.4","0.65","29.3","1"
"2019-06-21","1.3","1","8.0","0.65","32.8","1"
"2019-06-24","1.1","1","8.5","0.65","35","1"
"2019-06-25","6.3","1","12.0","0.65","25.5","1"
"2019-06-26","11.0","1","10.1","0.65","38.4","1"
"2019-06-27","10.5","1","10.4","0.65","18.8","1"
"2019-06-28","6.6","1","10.3","0.65","6.3","1"
"2019-07-01","3.6","1","9.4","0.65","9.4","1"
"2019-07-02","0","1","8.2","0.65","0","1"
"2019-07-03","0","1","8.1","0.65","0","1"
"2019-07-05","6.0","1","7.0","0.65","5.4","1"
"2019-07-08","4.8","1","7.2","0.65","4.2","1"
"2019-07-09","5.2","1","7.2","0.65","2.5","1"
"2019-07-10","13.5","1","6.5","0.65","41.8","1"
"2019-07-11","27.7","1","5.7","0.65","43.1","1"
"2019-07-12","9.2","1","5.5","0.65","28.6","1"
"2019-07-15","8.1","1","5.8","0.65","22.3","1"
"2019-07-16","10.4","1","5.7","0.65","8.5","1"
"2019-07-17","6.4","1","8.5","0.65","0.0","1"
"2019-07-18","5.8","1","10.7","0.65","0","1"
"2019-07-19","11.2","1","10.8","0.65","0","1"
"2019-07-22","9.8","1","8.3","0.65","0","1"
"2019-07-23","4.8","1","6.2","0.65","0","1"
"2019-07-24","0","1","5.6","0.65","0","1"
"2019-07-25","8.6","1","5.4","0.65","9.0","1"
"2019-07-26","4.6","1","4.8","0.65","7.7","1"
"2019-07-29","1.7","1","5.3","0.65","5.6","1"
"2019-07-30","3.7","1","5.3","0.65","9.7","1"
"2019-07-31","11.5","1","8.6","0.65","20.4","1"
