"date","YIELD_SHOCK","CREDIT_STRESS","INFLATION_OIL"
"2021-04-01","9.1","6.6","65.4"
"2021-04-05","8.4","8.3","47.5"
"2021-04-06","0","8.9","40"
"2021-04-07","0","6.2","40"
"2021-04-08","0","5.6","42.6"
"2021-04-09","0","4.9","40"
"2021-04-12","0","5.4","46.3"
"2021-04-13","0","4.7","45.0"
"2021-04-14","0","5.7","59.8"
"2021-04-15","0","4.5","62.7"
"2021-04-16","0","3.5","62.5"
"2021-04-19","0.7","6.6","61.6"
"2021-04-20","5.8","10.5","53.2"
"2021-04-21","0","7.1","40"
"2021-04-22","12.6","10.6","43.0"
"2021-04-23","5.6","6.6","40"
"2021-04-26","2.1","7.5","40"
"2021-04-27","8.4","7.3","50.3"
"2021-04-28","11.7","6.5","61.3"
"2021-04-29","12.0","7.5","71.2"
"2021-04-30","13.8","10.3","56.1"
"2021-05-03","9.6","9.4","59.2"
"2021-05-04","7.6","12.8","55.3"
"2021-05-05","6.9","11.8","49.7"
"2021-05-06","6.2","9.7","40"
"2021-05-07","0","4.9","47.3"
"2021-05-10","5.5","13.3","42.3"
"2021-05-11","11.0","19.5","44.0"
"2021-05-12","33.1","36","56.3"
"2021-05-13","30.6","23.2","53.4"
"2021-05-14","20.1","10.9","49.8"
"2021-05-17","13.3","13.5","52.0"
"2021-05-18","10.4","18.1","43.4"
"2021-05-19","0","20.5","40"
"2021-05-20","0","16.2","36.2"
"2021-05-21","7.2","14.7","40"
"2021-05-24","1.0","9.7","40"
"2021-05-25","0","11.0","43.1"
"2021-05-26","0","6.7","55.8"
"2021-05-27","0","5.0","67.1"
"2021-05-28","0","5.0","55.1"
"2021-06-01","5.4","8.3","49.7"
"2021-06-02","6.4","7.1","58.0"
"2021-06-03","12.5","8.7","60.1"
"2021-06-04","1.6","4.1","54.5"
"2021-06-07","2.3","4.1","55.4"
"2021-06-08","2.0","5.9","52.0"
"2021-06-09","3.6","8.2","45.7"
"2021-06-10","0","3.1","47.5"
"2021-06-11","2.9","1.8","46.5"
"2021-06-14","1.6","3.9","48.3"
"2021-06-15","2.7","5.8","50.4"
"2021-06-16","15.7","9.0","61.0"
"2021-06-17","14.3","7.9","50.2"
"2021-06-18","14.5","16.3","43.6"
"2021-06-21","8.6","8.2","53.7"
"2021-06-22","5.0","4.7","44.6"
"2021-06-23","2.8","3.8","44.5"
"2021-06-24","0","2.8","51.1"
"2021-06-25","12.0","1.8","62.5"
"2021-06-28","0","2.2","40"
"2021-06-29","1.1","2.9","41.0"
"2021-06-30","0","2.3","41.9"
"2021-07-01","0","1.4","49.2"
"2021-07-02","0","0.2","45.2"
"2021-07-06","0","4.1","42.2"
"2021-07-07","0","3.4","40"
"2021-07-08","2.3","11.4","40"
"2021-07-09","0","3.4","40"
"2021-07-12","1.3","3.4","40"
"2021-07-13","8.4","6.1","54.6"
"2021-07-14","8.0","3.8","48.9"
"2021-07-15","1.7","5.8","41.1"
