"date","YIELD_SHOCK","YIELD_SHOCK_cov","CREDIT_STRESS","CREDIT_STRESS_cov","INFLATION_OIL","INFLATION_OIL_cov"
"2021-04-01","9.1","1","1.8","0.65","65.4","1"
"2021-04-05","8.4","1","2.2","0.65","47.5","1"
"2021-04-06","0","1","2.5","0.65","40","1"
"2021-04-07","0","1","1.7","0.65","40","1"
"2021-04-08","0","1","4.5","0.65","42.6","1"
"2021-04-09","0","1","1.6","0.65","40","1"
"2021-04-12","0","1","3.2","0.65","46.3","1"
"2021-04-13","0","1","3.1","0.65","45.0","1"
"2021-04-14","0","1","3.2","0.65","59.8","1"
"2021-04-15","0","1","2.6","0.65","62.7","1"
"2021-04-16","0","1","2.8","0.65","62.5","1"
"2021-04-19","0.7","1","3.7","0.65","61.6","1"
"2021-04-20","5.8","1","5.2","0.65","53.2","1"
"2021-04-21","0","1","3.5","0.65","40","1"
"2021-04-22","12.6","1","4.5","0.65","43.0","1"
"2021-04-23","5.6","1","2.2","0.65","40","1"
"2021-04-26","2.1","1","2.0","0.65","40","1"
"2021-04-27","8.4","1","2.0","0.65","50.3","1"
"2021-04-28","11.7","1","1.8","0.65","61.3","1"
"2021-04-29","12.0","1","2.0","0.65","71.2","1"
"2021-04-30","13.8","1","2.8","0.65","56.1","1"
"2021-05-03","9.6","1","2.5","0.65","59.2","1"
"2021-05-04","7.6","1","4.9","0.65","55.3","1"
"2021-05-05","6.9","1","4.6","0.65","49.7","1"
"2021-05-06","6.2","1","5.4","0.65","40","1"
"2021-05-07","0","1","3.5","0.65","47.3","1"
"2021-05-10","5.5","1","4.3","0.65","42.3","1"
"2021-05-11","11.0","1","5.3","0.65","44.0","1"
"2021-05-12","33.1","1","9.7","0.65","56.3","1"
"2021-05-13","30.6","1","6.2","0.65","53.4","1"
"2021-05-14","20.1","1","2.9","0.65","49.8","1"
"2021-05-17","13.3","1","3.6","0.65","52.0","1"
"2021-05-18","10.4","1","5.6","0.65","43.4","1"
"2021-05-19","0","1","6.2","0.65","40","1"
"2021-05-20","0","1","5.0","0.65","36.2","1"
"2021-05-21","7.2","1","4.6","0.65","40","1"
"2021-05-24","1.0","1","2.9","0.65","40","1"
"2021-05-25","0","1","3.6","0.65","43.1","1"
"2021-05-26","0","1","2.1","0.65","55.8","1"
"2021-05-27","0","1","1.3","0.65","67.1","1"
"2021-05-28","0","1","1.7","0.65","55.1","1"
"2021-06-01","5.4","1","2.4","0.65","49.7","1"
"2021-06-02","6.4","1","1.9","0.65","58.0","1"
"2021-06-03","12.5","1","2.3","0.65","60.1","1"
"2021-06-04","1.6","1","2.0","0.65","54.5","1"
"2021-06-07","2.3","1","1.5","0.65","55.4","1"
"2021-06-08","2.0","1","3.0","0.65","52.0","1"
"2021-06-09","3.6","1","4.6","0.65","45.7","1"
"2021-06-10","0","1","4.1","0.65","47.5","1"
"2021-06-11","2.9","1","1.8","0.65","46.5","1"
"2021-06-14","1.6","1","1.9","0.65","48.3","1"
"2021-06-15","2.7","1","1.7","0.65","50.4","1"
"2021-06-16","15.7","1","2.4","0.65","61.0","1"
"2021-06-17","14.3","1","2.1","0.65","50.2","1"
"2021-06-18","14.5","1","5","0.65","43.6","1"
"2021-06-21","8.6","1","2.2","0.65","53.7","1"
"2021-06-22","5.0","1","1.3","0.65","44.6","1"
"2021-06-23","2.8","1","2.6","0.65","44.5","1"
"2021-06-24","0","1","0.8","0.65","51.1","1"
"2021-06-25","12.0","1","0.5","0.65","62.5","1"
"2021-06-28","0","1","0.6","0.65","40","1"
"2021-06-29","1.1","1","0.8","0.65","41.0","1"
"2021-06-30","0","1","0.6","0.65","41.9","1"
"2021-07-01","0","1","0.7","0.65","49.2","1"
"2021-07-02","0","1","2.4","0.65","45.2","1"
"2021-07-06","0","1","4.4","0.65","42.2","1"
"2021-07-07","0","1","5.4","0.65","40","1"
"2021-07-08","2.3","1","8.9","0.65","40","1"
"2021-07-09","0","1","4.1","0.65","40","1"
"2021-07-12","1.3","1","3.3","0.65","40","1"
"2021-07-13","8.4","1","1.7","0.65","54.6","1"
"2021-07-14","8.0","1","1.1","0.65","48.9","1"
"2021-07-15","1.7","1","1.7","0.65","41.1","1"
