"date","YIELD_SHOCK","YIELD_SHOCK_cov","CREDIT_STRESS","CREDIT_STRESS_cov","INFLATION_OIL","INFLATION_OIL_cov"
"2020-02-03","5.0","1","11.3","0.65","0","1"
"2020-02-04","1.8","1","6.2","0.65","0","1"
"2020-02-05","7.7","1","1.4","0.65","6.9","1"
"2020-02-06","12.0","1","1.2","0.65","10.8","1"
"2020-02-07","8.1","1","3.1","0.65","7.2","1"
"2020-02-10","3.8","1","2.8","0.65","3.4","1"
"2020-02-11","0","1","2.1","0.65","2.3","1"
"2020-02-12","0","1","0.6","0.65","2.9","1"
"2020-02-13","0.8","1","0.7","0.65","3.2","1"
"2020-02-14","1.4","1","1.3","0.65","13.3","1"
"2020-02-18","3.5","1","2.1","0.65","18.6","1"
"2020-02-19","0.8","1","2.3","0.65","23.5","1"
"2020-02-20","5.9","1","5.3","0.65","17.8","1"
"2020-02-21","11.7","1","10.4","0.65","13.3","1"
"2020-02-24","29.8","1","29.9","0.65","0","1"
"2020-02-25","30.0","1","36.7","0.65","0","1"
"2020-02-26","29.9","1","35.6","0.65","0","1"
"2020-02-27","31.5","1","53.3","0.65","0","1"
"2020-02-28","36.3","1","59.4","0.65","0","1"
"2020-03-02","35.0","1","47.1","0.65","0","1"
"2020-03-03","34.4","1","53.9","0.65","0","1"
"2020-03-04","8.4","1","39.3","0.65","0","1"
"2020-03-05","7.7","1","49.5","0.65","0","1"
"2020-03-06","17.7","1","66.0","0.65","0","1"
"2020-03-09","45","1","97.4","0.65","0","1"
"2020-03-10","40.3","1","72.8","0.65","0","1"
"2020-03-11","41.5","1","86.3","0.65","0","1"
"2020-03-12","45","1","100","0.65","0","1"
"2020-03-13","78.8","1","74.8","0.65","25","1"
"2020-03-16","72.6","1","89.9","0.65","25","1"
"2020-03-17","71.2","1","86.3","0.65","25","1"
"2020-03-18","75.5","1","96.3","0.65","25","1"
"2020-03-19","74.4","1","94.3","0.65","25","1"
"2020-03-20","43.1","1","98.5","0.65","0","1"
"2020-03-23","48.7","1","99.0","0.65","4.5","1"
"2020-03-24","32.9","1","93.6","0.65","0","1"
"2020-03-25","4.9","1","68.0","0.65","35","1"
"2020-03-26","5.3","1","57.9","0.65","0","1"
"2020-03-27","5.2","1","57.9","0.65","0","1"
"2020-03-30","5.9","1","58.4","0.65","0","1"
"2020-03-31","4.0","1","56.9","0.65","0","1"
"2020-04-01","9.8","1","57.4","0.65","0","1"
"2020-04-02","25.2","1","68.1","0.65","35","1"
"2020-04-03","15.4","1","74.1","0.65","35","1"
"2020-04-06","0.8","1","65.9","0.65","35.8","1"
"2020-04-07","6.0","1","61.0","0.65","39.8","1"
"2020-04-08","19.7","1","55.1","0.65","51.1","1"
"2020-04-09","15.5","1","43.3","0.65","12.8","1"
"2020-04-13","24.4","1","46.3","0.65","20.2","1"
"2020-04-14","10.6","1","44.2","0.65","9.5","1"
"2020-04-15","0.1","1","48.2","0.65","0","1"
"2020-04-16","0","1","48.3","0.65","0","1"
"2020-04-17","0","1","54.8","0.65","0","1"
"2020-04-20","0.2","1","60.8","0.65","0","1"
"2020-04-21","25.3","1","74.0","0.65","0","1"
"2020-04-22","2.8","1","60.5","0.65","0","1"
"2020-04-23","5.9","1","59.7","0.65","0.5","1"
"2020-04-24","11.6","1","68.1","0.65","0","1"
"2020-04-27","4.2","1","54.3","0.65","3.8","1"
"2020-04-28","5.5","1","50.4","0.65","39.9","1"
"2020-04-29","1.1","1","44.4","0.65","33.5","1"
"2020-04-30","1.3","1","45.5","0.65","36.1","1"
"2020-05-01","12.5","1","50.9","0.65","40.8","1"
"2020-05-04","11.2","1","52.2","0.65","35","1"
"2020-05-05","10.7","1","47.7","0.65","40.9","1"
"2020-05-06","32.3","1","53.0","0.65","45.5","1"
"2020-05-07","11.6","1","54.5","0.65","36.1","1"
"2020-05-08","5.6","1","41.1","0.65","40.0","1"
"2020-05-11","12.5","1","41.0","0.65","46.1","1"
"2020-05-12","7.6","1","46.0","0.65","20.0","1"
"2020-05-13","10.0","1","50.7","0.65","19.0","1"
"2020-05-14","10.0","1","50.3","0.65","35","1"
"2020-05-15","16.3","1","53.1","0.65","35","1"
