"date","YIELD_SHOCK","YIELD_SHOCK_cov","CREDIT_STRESS","CREDIT_STRESS_cov","INFLATION_OIL","INFLATION_OIL_cov"
"2022-02-15","30.2","1","16.4","0.65","59.5","1"
"2022-02-16","40.2","1","14.3","0.65","70.4","1"
"2022-02-17","26.2","1","22.5","0.65","43.5","1"
"2022-02-18","19.9","1","18.4","0.65","34.3","1"
"2022-02-22","23.3","1","22.1","0.65","36.7","1"
"2022-02-23","32.2","1","23.3","0.65","35.9","1"
"2022-02-24","33.8","1","22.3","0.65","37.0","1"
"2022-02-25","13.1","1","14.9","0.65","35.8","1"
"2022-02-28","10.8","1","21.1","0.65","57.9","1"
"2022-03-01","18.6","1","35.8","0.65","75","1"
"2022-03-02","11.5","1","23.1","0.65","75","1"
"2022-03-03","12.9","1","29.5","0.65","75","1"
"2022-03-04","29.0","1","46.8","0.65","75","1"
"2022-03-07","44.8","1","49.7","0.65","75","1"
"2022-03-08","62.0","1","40.6","0.65","95.6","1"
"2022-03-09","40.7","1","31.2","0.65","50.4","1"
"2022-03-10","50.4","1","27.8","0.65","60.9","1"
"2022-03-11","62.7","1","25.8","0.65","65","1"
"2022-03-14","53.3","1","27.6","0.65","65","1"
"2022-03-15","43.9","1","23.2","0.65","62.6","1"
"2022-03-16","42.3","1","16.8","0.65","59.3","1"
"2022-03-17","31.6","1","13","0.65","62.6","1"
"2022-03-18","26.4","1","11.6","0.65","58.0","1"
"2022-03-21","33.6","1","13.6","0.65","92.8","1"
"2022-03-22","39.9","1","13.9","0.65","100","1"
"2022-03-23","28.8","1","14.4","0.65","91.6","1"
"2022-03-24","33.2","1","14.6","0.65","90.4","1"
"2022-03-25","50.8","1","16.6","0.65","95.8","1"
"2022-03-28","39.6","1","16.6","0.65","60.2","1"
"2022-03-29","17.5","1","13.5","0.65","43.4","1"
"2022-03-30","17.5","1","12.8","0.65","44.6","1"
"2022-03-31","14.4","1","12.4","0.65","39.7","1"
"2022-04-01","15.7","1","12.0","0.65","37.4","1"
"2022-04-04","15.2","1","11.2","0.65","40","1"
"2022-04-05","51.6","1","15.5","0.65","59.5","1"
"2022-04-06","68.6","1","17.3","0.65","55.3","1"
"2022-04-07","58.4","1","16.6","0.65","54.7","1"
"2022-04-08","62.0","1","16.8","0.65","58.8","1"
"2022-04-11","75.6","1","23.3","0.65","50.7","1"
"2022-04-12","56.4","1","19.1","0.65","58.9","1"
"2022-04-13","33.0","1","15.4","0.65","78.9","1"
"2022-04-14","55.8","1","16.8","0.65","97.0","1"
"2022-04-18","51.6","1","17.0","0.65","93.6","1"
"2022-04-19","33.7","1","16.5","0.65","87.3","1"
"2022-04-20","31.8","1","16.2","0.65","61.9","1"
"2022-04-21","60.5","1","19.2","0.65","65","1"
"2022-04-22","46.3","1","25.0","0.65","47.8","1"
"2022-04-25","33.5","1","24.6","0.65","31.0","1"
"2022-04-26","41.9","1","36.0","0.65","36.8","1"
"2022-04-27","42.2","1","32.8","0.65","37.0","1"
"2022-04-28","33.9","1","28.0","0.65","45.3","1"
"2022-04-29","38.1","1","30.8","0.65","49.0","1"
"2022-05-02","63.8","1","30.4","0.65","84.8","1"
"2022-05-03","47.4","1","23.4","0.65","62.2","1"
"2022-05-04","28.7","1","19.4","0.65","72.3","1"
"2022-05-05","64.9","1","24.9","0.65","74.6","1"
"2022-05-06","53.8","1","23","0.65","82.0","1"
"2022-05-09","52.2","1","34.7","0.65","46.1","1"
"2022-05-10","45.8","1","33.8","0.65","33.3","1"
"2022-05-11","39.3","1","40.4","0.65","40.5","1"
"2022-05-12","38.9","1","39.3","0.65","40","1"
"2022-05-13","29.8","1","32.2","0.65","42.3","1"
"2022-05-16","16.6","1","28.6","0.65","75","1"
"2022-05-17","14.1","1","24.6","0.65","75","1"
"2022-05-18","19.3","1","32.4","0.65","52.8","1"
"2022-05-19","26.9","1","27.9","0.65","64.8","1"
"2022-05-20","32.0","1","32.8","0.65","48.7","1"
"2022-05-23","20.8","1","23.4","0.65","40","1"
"2022-05-24","34.8","1","28.6","0.65","40","1"
"2022-05-25","10.2","1","19.4","0.65","42.4","1"
"2022-05-26","9.3","1","16.8","0.65","45.9","1"
"2022-05-27","8.1","1","14.5","0.65","45.7","1"
"2022-05-31","10.6","1","16.8","0.65","53.9","1"
"2022-06-01","35.2","1","16.9","0.65","78.9","1"
"2022-06-02","31.3","1","13.9","0.65","81.3","1"
"2022-06-03","36.1","1","13.6","0.65","79.7","1"
"2022-06-06","53.6","1","15.4","0.65","75.4","1"
"2022-06-07","28.8","1","16.1","0.65","70.5","1"
"2022-06-08","27.0","1","18.2","0.65","73.0","1"
"2022-06-09","52.4","1","23.6","0.65","70.3","1"
"2022-06-10","65.5","1","29.3","0.65","70.2","1"
"2022-06-13","79.8","1","49.7","0.65","72.2","1"
"2022-06-14","80","1","39.1","0.65","65","1"
"2022-06-15","78.8","1","30.6","0.65","65","1"
"2022-06-16","79.5","1","45.1","0.65","65","1"
"2022-06-17","54.8","1","38.2","0.65","43.9","1"
"2022-06-21","22.7","1","31.4","0.65","35.0","1"
"2022-06-22","18.8","1","40.3","0.65","26.7","1"
"2022-06-23","20.2","1","40.6","0.65","23.0","1"
"2022-06-24","16.3","1","26.6","0.65","28.5","1"
"2022-06-27","18.1","1","27.9","0.65","31.5","1"
"2022-06-28","18.6","1","37.7","0.65","38.3","1"
"2022-06-29","17.3","1","37.5","0.65","42.8","1"
"2022-06-30","25.1","1","44.7","0.65","28.6","1"
"2022-07-01","36.0","1","50.6","0.65","30.5","1"
"2022-07-05","33.8","1","53.8","0.65","12.2","1"
"2022-07-06","21.9","1","45.6","0.65","10.2","1"
"2022-07-07","20","1","31.3","0.65","17.2","1"
"2022-07-08","38.1","1","28.5","0.65","36.5","1"
"2022-07-11","35.5","1","33.0","0.65","31.6","1"
"2022-07-12","47.5","1","33.3","0.65","23.1","1"
"2022-07-13","29.5","1","33.4","0.65","5.1","1"
"2022-07-14","38.7","1","35.0","0.65","4.0","1"
