"date","YIELD_SHOCK","YIELD_SHOCK_cov","CREDIT_STRESS","CREDIT_STRESS_cov","INFLATION_OIL","INFLATION_OIL_cov"
"2019-11-01","0","1","11.2","0.65","0","1"
"2019-11-04","0","1","8.0","0.65","4.6","1"
"2019-11-05","4.3","1","4.1","0.65","14.6","1"
"2019-11-06","2.3","1","4.8","0.65","10.2","1"
"2019-11-07","32.9","1","2.8","0.65","44.2","1"
"2019-11-08","29.4","1","2.2","0.65","31.5","1"
"2019-11-11","25.6","1","2.6","0.65","21.6","1"
"2019-11-12","8.2","1","2.6","0.65","5.4","1"
"2019-11-13","10.0","1","3.5","0.65","11.8","1"
"2019-11-14","3.2","1","8.3","0.65","0","1"
"2019-11-15","0.6","1","6.7","0.65","4.0","1"
"2019-11-18","0","1","7.9","0.65","1.2","1"
"2019-11-19","0.4","1","11.2","0.65","0","1"
"2019-11-20","2.7","1","13.3","0.65","0","1"
"2019-11-21","3.9","1","9.4","0.65","14.5","1"
"2019-11-22","6.6","1","8.3","0.65","1.3","1"
"2019-11-25","3.2","1","5.7","0.65","7.4","1"
"2019-11-26","1.8","1","5.0","0.65","22.9","1"
"2019-11-27","4.1","1","3.9","0.65","11.5","1"
"2019-11-29","0.6","1","4.2","0.65","0.5","1"
"2019-12-02","13.1","1","4.0","0.65","7.8","1"
"2019-12-03","11.4","1","10.4","0.65","0","1"
"2019-12-04","15.2","1","5.0","0.65","7.8","1"
"2019-12-05","15.0","1","3.9","0.65","8.2","1"
"2019-12-06","13.5","1","2.6","0.65","38.5","1"
"2019-12-09","1.4","1","3.4","0.65","23.3","1"
"2019-12-10","17.4","1","2.3","0.65","39.8","1"
"2019-12-11","1.6","1","2.2","0.65","6.4","1"
"2019-12-12","14.0","1","0","0.65","21.4","1"
"2019-12-13","1.4","1","0.7","0.65","12.0","1"
"2019-12-16","8.8","1","0","0.65","22.1","1"
"2019-12-17","7.8","1","0","0.65","26.2","1"
"2019-12-18","18.8","1","0","0.65","38.7","1"
"2019-12-19","1.5","1","0","0.65","23.2","1"
"2019-12-20","13.7","1","0","0.65","22.0","1"
"2019-12-23","6.0","1","0","0.65","14.9","1"
"2019-12-24","3.1","1","0","0.65","12.9","1"
"2019-12-26","0","1","1.7","0.65","15.1","1"
"2019-12-27","0","1","1.1","0.65","13.8","1"
"2019-12-30","5.0","1","0.6","0.65","17.9","1"
"2019-12-31","4.0","1","0","0.65","12.1","1"
"2020-01-02","0","1","0","0.65","9.7","1"
"2020-01-03","5.8","1","2.1","0.65","22.2","1"
"2020-01-06","4.0","1","1.4","0.65","23.8","1"
"2020-01-07","2.5","1","1.1","0.65","19.1","1"
"2020-01-08","1.6","1","1.6","0.65","4.8","1"
"2020-01-09","2.4","1","0.7","0.65","4.7","1"
"2020-01-10","5.5","1","0","0.65","7.9","1"
"2020-01-13","5.2","1","0","0.65","5.2","1"
"2020-01-14","0","1","0","0.65","1.0","1"
"2020-01-15","0","1","1.2","0.65","0","1"
"2020-01-16","0","1","1.0","0.65","2.0","1"
"2020-01-17","1.5","1","0.3","0.65","3.5","1"
"2020-01-21","0.0","1","3.1","0.65","3.1","1"
"2020-01-22","0","1","1.7","0.65","0","1"
"2020-01-23","0","1","3.5","0.65","0","1"
"2020-01-24","8.2","1","9.3","0.65","0","1"
"2020-01-27","17.9","1","20.1","0.65","0","1"
"2020-01-28","11.7","1","8.8","0.65","0","1"
"2020-01-29","12.3","1","12.8","0.65","0","1"
"2020-01-30","11.6","1","10.1","0.65","0","1"
"2020-01-31","16.5","1","15.8","0.65","0","1"
