"date","YIELD_SHOCK","CREDIT_STRESS","INFLATION_OIL"
"2023-03-01","41.1","15.5","26.6"
"2023-03-02","59.1","15.4","37.1"
"2023-03-03","23.3","14.2","17.3"
"2023-03-06","31.6","15.6","29.7"
"2023-03-07","35.6","17.5","9.8"
"2023-03-08","23.4","17.2","0"
"2023-03-09","35.5","26.3","0"
"2023-03-10","47.6","39.5","0"
"2023-03-13","45.2","52.3","0"
"2023-03-14","35.3","37.1","0"
"2023-03-15","37.5","48.3","0"
"2023-03-16","21.1","31.7","0"
"2023-03-17","20","38.0","0"
"2023-03-20","20","29.4","0"
"2023-03-21","21.4","21.6","0"
"2023-03-22","21.1","25.3","18.0"
"2023-03-23","26.4","35.1","8.3"
"2023-03-24","20","29.1","13.2"
"2023-03-27","28.7","24.4","32.6"
"2023-03-28","29.8","29.3","19.5"
"2023-03-29","30.1","19.7","18.5"
"2023-03-30","41.0","18.5","40.2"
"2023-03-31","34.8","17.3","46.6"
"2023-04-03","19.5","18.4","35"
"2023-04-04","20","21.6","35"
"2023-04-05","20","30.8","35"
"2023-04-06","20","29.3","29.8"
"2023-04-10","25.0","26.2","18.8"
"2023-04-11","27.4","21.6","5.3"
"2023-04-12","34.9","18.9","21.6"
"2023-04-13","37.4","13.1","27.3"
"2023-04-14","48.0","12.3","32.9"
