"date","YIELD_SHOCK","YIELD_SHOCK_cov","CREDIT_STRESS","CREDIT_STRESS_cov","INFLATION_OIL","INFLATION_OIL_cov"
"2023-08-01","44.0","1","10.2","0.65","34.4","1"
"2023-08-02","63.2","1","14.7","1","33.7","1"
"2023-08-03","58.5","1","20.1","1","38.4","1"
"2023-08-04","49.7","1","20.1","1","33.7","1"
"2023-08-07","51.6","1","18.9","1","26.2","1"
"2023-08-08","34.4","1","19.2","1","19.4","1"
"2023-08-09","29.0","1","12.8","1","37.6","1"
"2023-08-10","27.5","1","11.5","1","18.1","1"
"2023-08-11","42.6","1","11.6","1","28.5","1"
"2023-08-14","46.4","1","12.4","1","27.7","1"
"2023-08-15","63.5","1","13.8","1","33.3","1"
"2023-08-16","70.1","1","13.0","1","30.7","1"
"2023-08-17","73.3","1","18.2","1","32.9","1"
"2023-08-18","51.7","1","21.2","1","20.1","1"
"2023-08-21","65.7","1","20.9","1","28.5","1"
"2023-08-22","52.9","1","17.4","1","21.4","1"
"2023-08-23","24.5","1","16.9","1","5.1","1"
"2023-08-24","27.7","1","14.2","1","5.6","1"
"2023-08-25","22.3","1","12.1","1","7.4","1"
"2023-08-28","22.3","1","11.6","1","8.0","1"
"2023-08-29","19.9","1","11.6","1","13.8","1"
"2023-08-30","19.6","1","11.0","1","23.5","1"
"2023-08-31","18.7","1","11.1","1","35.9","1"
"2023-09-01","18.4","1","10.1","1","44.7","1"
"2023-09-05","29.4","1","11.2","1","57.8","1"
"2023-09-06","54.4","1","13.2","1","72.3","1"
"2023-09-07","52.1","1","12.3","1","62.5","1"
"2023-09-08","53.6","1","11.6","1","60.4","1"
"2023-09-11","45.4","1","11.0","1","44.5","1"
"2023-09-12","29.1","1","10.9","1","34.8","1"
"2023-09-13","23.9","1","10.2","1","29.3","1"
"2023-09-14","22.2","1","9.1","1","45.4","1"
"2023-09-15","33.3","1","9.1","1","50.8","1"
"2023-09-18","32.4","1","9.6","1","51.8","1"
"2023-09-19","41.6","1","9.9","1","52.3","1"
"2023-09-20","45.3","1","9.1","1","47.8","1"
"2023-09-21","74.6","1","15.3","1","50.8","1"
"2023-09-22","57.2","1","15.8","1","42.0","1"
"2023-09-25","76.7","1","18.1","1","51.6","1"
"2023-09-26","78.9","1","21.5","1","52.0","1"
"2023-09-27","84.4","1","22.8","1","72.6","1"
"2023-09-28","52.4","1","20.0","1","52.8","1"
"2023-09-29","54.3","1","16.9","1","47.8","1"
"2023-10-02","62.6","1","19.0","1","41.3","1"
"2023-10-03","81.7","1","26.5","1","49.4","1"
"2023-10-04","54.6","1","26.9","1","27.6","1"
"2023-10-05","60.0","1","29.8","1","24.9","1"
"2023-10-06","65.5","1","25.6","1","35.8","1"
"2023-10-09","49.4","1","24.5","1","32.4","1"
"2023-10-10","34.3","1","18.9","1","17.2","1"
"2023-10-11","30.9","1","17.8","1","12.0","1"
"2023-10-12","32.3","1","17.2","1","13.4","1"
"2023-10-13","34.5","1","22.2","1","41.2","1"
"2023-10-16","34.0","1","18.4","1","19.4","1"
"2023-10-17","65.3","1","18.4","1","45.0","1"
"2023-10-18","82.7","1","21.0","1","66.8","1"
"2023-10-19","86.5","1","24.4","1","75.8","1"
"2023-10-20","89.7","1","28.0","1","51.4","1"
"2023-10-23","76.0","1","27.2","1","31.0","1"
"2023-10-24","53.8","1","23.4","1","11.6","1"
"2023-10-25","63.5","1","21.6","1","21.0","1"
"2023-10-26","56.8","1","25.0","1","10.3","1"
"2023-10-27","52.5","1","22.2","1","15.0","1"
"2023-10-30","52.2","1","21.2","1","12.9","1"
"2023-10-31","50.8","1","19.4","1","10.1","1"
"2023-11-01","31.6","1","21.0","1","4.5","1"
"2023-11-02","29.5","1","14.9","1","8.6","1"
"2023-11-03","28.0","1","13.9","1","4.6","1"
"2023-11-06","30.3","1","14.0","1","5.2","1"
"2023-11-07","28.6","1","14.7","1","0","1"
"2023-11-08","27.1","1","14.0","1","0","1"
"2023-11-09","30.1","1","14.2","1","0","1"
"2023-11-10","38.2","1","13.5","1","8.8","1"
"2023-11-13","30.7","1","15.9","1","0.2","1"
"2023-11-14","28.0","1","14.2","1","4.2","1"
"2023-11-15","30.4","1","13.4","1","7.7","1"
